elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90834.0,4485.0,48.0,133.241,267545467471.0
0.095,0.0,90834.0,4485.0,48.0,133.257,267545480798.0
0.194,0.0,90834.0,4485.0,48.0,133.299,267545494133.0
0.589,0.0,90834.0,4485.0,48.0,133.18,267545533988.0
0.618,0.0,90834.0,4485.0,48.0,133.149,267545547315.0
0.730,0.0,90834.0,4485.0,48.0,133.063,267545560585.0
0.823,0.0,90834.0,4485.0,48.0,133.051,267545573855.0
0.909,0.0,90834.0,4485.0,48.0,133.051,267545587178.0
1.009,0.0,90834.0,4485.0,48.0,133.124,267545600520.0
1.123,0.0,90834.0,4485.0,47.0,133.094,267545613804.0
1.204,0.0,90834.0,4485.0,47.0,133.026,267545627072.0
1.307,0.0,90834.0,4485.0,47.0,133.035,267545640389.0
1.412,0.0,90834.0,4485.0,47.0,133.104,267545653717.0
1.504,0.0,90834.0,4485.0,47.0,133.09,267545666995.0
1.610,0.0,90834.0,4485.0,47.0,133.009,267545680249.0
1.707,0.0,90834.0,4485.0,47.0,133.014,267545693542.0
1.811,0.0,90834.0,4485.0,47.0,133.071,267545706867.0
1.908,0.0,90834.0,4485.0,47.0,133.044,267545720125.0
2.022,0.0,90834.0,4485.0,47.0,132.939,267545733384.0
2.107,0.0,90834.0,4485.0,47.0,132.941,267545746688.0
2.207,0.0,90834.0,4485.0,47.0,133.001,267545760009.0
2.320,0.0,90834.0,4485.0,47.0,132.986,267545773287.0
2.407,0.0,90834.0,4485.0,47.0,132.884,267545786515.0
2.508,0.0,90834.0,4485.0,47.0,132.889,267545799815.0
2.614,0.0,90834.0,4485.0,47.0,132.964,267545813143.0
2.710,0.0,90834.0,4485.0,47.0,132.95,267545826412.0
2.807,0.0,90834.0,4485.0,47.0,132.889,267545826412.0
2.910,0.0,90834.0,4485.0,47.0,132.916,267545852982.0
3.010,0.0,90834.0,4485.0,47.0,132.991,267545866296.0
3.108,0.0,90834.0,4485.0,47.0,132.959,267545879562.0
3.211,0.0,90834.0,4485.0,47.0,132.888,267545892811.0
3.306,0.0,90834.0,4485.0,47.0,132.888,267545906110.0
3.409,0.0,90834.0,4485.0,47.0,132.968,267545919424.0
3.522,0.0,90834.0,4485.0,47.0,132.95,267545932686.0
3.611,0.0,90834.0,4485.0,47.0,132.858,267545945930.0
3.706,0.0,90834.0,4485.0,47.0,132.86,267545959213.0
3.809,0.0,90834.0,4485.0,47.0,132.896,267545972524.0
3.917,0.0,90834.0,4485.0,47.0,132.791,267545985782.0
4.006,0.0,90834.0,4485.0,47.0,132.791,267545999011.0
4.108,0.0,90834.0,4485.0,47.0,132.811,267546012302.0
4.224,0.0,90834.0,4485.0,47.0,132.879,267546025615.0
4.313,0.0,90834.0,4485.0,47.0,132.852,267546038868.0
4.410,0.0,90834.0,4485.0,47.0,132.766,267546052121.0
4.509,0.0,90834.0,4485.0,47.0,132.793,267546065415.0
4.605,0.0,90834.0,4485.0,47.0,132.881,267546078736.0
4.709,0.0,90834.0,4485.0,47.0,132.867,267546091997.0
4.813,0.0,90834.0,4485.0,47.0,132.796,267546105253.0
4.922,0.0,90834.0,4485.0,47.0,132.807,267546118534.0
5.012,0.0,90834.0,4485.0,47.0,132.885,267546131840.0
5.110,0.0,90834.0,4485.0,47.0,132.864,267546145095.0
5.223,0.0,90834.0,4485.0,47.0,132.773,267546158321.0
5.309,0.0,90834.0,4485.0,47.0,132.785,267546171604.0
5.411,0.0,90834.0,4485.0,47.0,132.869,267546184922.0
5.508,0.0,90834.0,4485.0,47.0,132.859,267546198178.0
5.613,0.0,90834.0,4485.0,47.0,132.776,267546211421.0
5.711,0.0,90834.0,4485.0,47.0,132.792,267546211421.0
5.817,0.0,90834.0,4485.0,47.0,132.868,267546238024.0
5.911,0.0,90834.0,4485.0,47.0,132.843,267546251269.0
6.012,0.0,90834.0,4485.0,47.0,132.765,267546264516.0
6.120,0.0,90834.0,4485.0,47.0,132.799,267546277814.0
6.213,0.0,90834.0,4485.0,47.0,132.869,267546291117.0
6.305,0.0,90834.0,4485.0,47.0,132.866,267546304368.0
6.420,0.0,90834.0,4485.0,47.0,132.797,267546317621.0
6.508,0.0,90834.0,4485.0,47.0,132.8,267546330908.0
6.612,0.0,90834.0,4485.0,47.0,132.858,267546344191.0
6.725,0.0,90834.0,4485.0,47.0,132.758,267546357433.0
6.812,0.0,90834.0,4485.0,47.0,132.765,267546370700.0
6.906,0.0,90834.0,4485.0,47.0,132.765,267546383982.0
7.020,0.0,90834.0,4485.0,47.0,132.837,267546397284.0
7.109,0.0,90834.0,4485.0,47.0,132.807,267546410530.0
7.210,0.0,90834.0,4485.0,47.0,132.721,267546423766.0
7.319,0.0,90834.0,4485.0,47.0,132.73,267546437041.0
7.409,0.0,90834.0,4485.0,47.0,132.782,267546450345.0
7.515,0.0,90834.0,4485.0,47.0,132.769,267546463596.0
7.631,0.0,90834.0,4485.0,47.0,132.704,267546476842.0
7.716,0.0,90834.0,4485.0,47.0,132.765,267546490132.0
7.809,0.0,90834.0,4485.0,47.0,132.8,267546503434.0
7.908,0.0,90834.0,4485.0,47.0,132.792,267546516689.0
8.021,0.0,90834.0,4485.0,47.0,132.727,267546529928.0
8.109,0.0,90834.0,4485.0,47.0,132.751,267546543216.0
8.211,0.0,90834.0,4485.0,47.0,132.829,267546556517.0
8.317,0.0,90834.0,4485.0,47.0,132.812,267546569761.0
8.412,0.0,90834.0,4485.0,47.0,132.734,267546582988.0
8.510,0.0,90834.0,4485.0,47.0,132.748,267546596273.0
8.621,0.0,90834.0,4485.0,47.0,132.798,267546596273.0
8.712,0.0,90834.0,4485.0,47.0,132.765,267546622820.0
8.850,0.0,90834.0,4485.0,47.0,132.694,267546636062.0
8.910,0.0,90834.0,4485.0,47.0,132.726,267546649352.0
9.023,0.0,90834.0,4485.0,47.0,132.783,267546662652.0
9.117,0.0,90834.0,4485.0,47.0,132.781,267546675911.0
9.211,0.0,90834.0,4485.0,47.0,132.71,267546689162.0
9.313,0.0,90834.0,4485.0,47.0,132.729,267546702445.0
9.411,0.0,90834.0,4485.0,47.0,132.797,267546715744.0
9.511,0.0,90834.0,4485.0,47.0,132.789,267546728994.0
9.613,0.0,90834.0,4485.0,47.0,132.773,267546742242.0
9.712,0.0,90834.0,4485.0,47.0,132.773,267546755540.0
9.818,0.0,90834.0,4485.0,47.0,132.839,267546768828.0
9.914,0.0,90834.0,4485.0,47.0,132.798,267546782072.0
10.013,0.0,90834.0,4485.0,47.0,132.733,267546795313.0
10.112,0.0,90834.0,4485.0,47.0,132.771,267546808623.0
10.214,0.0,90834.0,4485.0,47.0,132.844,267546821919.0
10.313,0.0,90834.0,4485.0,47.0,132.814,267546835147.0
10.409,0.0,90834.0,4485.0,47.0,132.748,267546848410.0
10.524,0.0,90834.0,4485.0,47.0,132.781,267546861703.0
10.609,0.0,90834.0,4485.0,47.0,132.827,267546874995.0
10.709,0.0,90834.0,4485.0,47.0,132.808,267546888238.0
10.848,0.0,90834.0,4485.0,47.0,132.741,267546901490.0
10.919,0.0,90834.0,4485.0,47.0,132.762,267546914771.0
11.004,0.0,90834.0,4485.0,47.0,132.826,267546928053.0
11.105,0.0,90834.0,4485.0,47.0,132.783,267546941301.0
11.207,0.0,90834.0,4485.0,47.0,132.709,267546954543.0
11.308,0.0,90834.0,4485.0,47.0,132.742,267546954543.0
11.418,0.0,90834.0,4485.0,47.0,132.794,267546981128.0
11.509,0.0,90834.0,4485.0,47.0,132.768,267546994384.0
11.605,0.0,90834.0,4485.0,47.0,132.709,267547007631.0
11.708,0.0,90834.0,4485.0,47.0,132.729,267547020917.0
11.814,0.0,90834.0,4485.0,47.0,132.79,267547034200.0
11.905,0.0,90834.0,4485.0,47.0,132.76,267547047441.0
12.014,0.0,90834.0,4485.0,47.0,132.701,267547060702.0
12.121,0.0,90834.0,4485.0,47.0,132.751,267547074005.0
12.208,0.0,90834.0,4485.0,47.0,132.821,267547087308.0
12.309,0.0,90834.0,4485.0,47.0,132.807,267547100555.0
12.407,0.0,90834.0,4485.0,47.0,132.753,267547113810.0
12.515,0.0,90834.0,4485.0,47.0,132.774,267547127129.0
12.609,0.0,90834.0,4485.0,47.0,132.849,267547140415.0
12.717,0.0,90834.0,4485.0,47.0,132.83,267547153658.0
12.814,0.0,90834.0,4485.0,47.0,132.781,267547166917.0
12.910,0.0,90834.0,4485.0,47.0,132.822,267547180226.0
13.006,0.0,90834.0,4485.0,47.0,132.879,267547193500.0
13.107,0.0,90834.0,4485.0,47.0,132.841,267547206741.0
13.208,0.0,90834.0,4485.0,47.0,132.757,267547219981.0
13.307,0.0,90834.0,4485.0,47.0,132.791,267547233293.0
13.408,0.0,90834.0,4485.0,47.0,132.839,267547246587.0
13.508,0.0,90834.0,4485.0,47.0,132.807,267547259832.0
13.609,0.0,90834.0,4485.0,47.0,132.724,267547273076.0
13.708,0.0,90834.0,4485.0,47.0,132.773,267547286379.0
13.808,0.0,90834.0,4485.0,47.0,132.82,267547299668.0
13.944,0.0,90834.0,4485.0,47.0,132.777,267547312911.0
14.008,0.0,90834.0,4485.0,47.0,132.723,267547326168.0
14.122,0.0,90834.0,4485.0,47.0,132.723,267547326168.0
14.209,0.0,90834.0,4485.0,47.0,132.789,267547352780.0
14.306,0.0,90834.0,4485.0,47.0,132.785,267547366018.0
14.424,0.0,90834.0,4485.0,47.0,132.747,267547379273.0
14.510,0.0,90834.0,4485.0,47.0,132.8,267547392575.0
14.606,0.0,90834.0,4485.0,47.0,132.835,267547405851.0
14.708,0.0,90834.0,4485.0,47.0,132.783,267547419096.0
14.825,0.0,90834.0,4485.0,47.0,132.748,267547432348.0
14.911,0.0,90834.0,4485.0,47.0,132.815,267547445659.0
15.011,0.0,90834.0,4485.0,47.0,132.839,267547458941.0
15.105,0.0,90834.0,4485.0,47.0,132.755,267547472170.0
15.220,0.0,90834.0,4485.0,47.0,132.704,267547485414.0
15.308,0.0,90834.0,4485.0,47.0,132.784,267547498721.0
15.410,0.0,90834.0,4485.0,47.0,132.796,267547511996.0
15.507,0.0,90834.0,4485.0,47.0,132.735,267547525235.0
15.617,0.0,90834.0,4485.0,47.0,132.721,267547538503.0
15.709,0.0,90834.0,4485.0,47.0,132.784,267547551810.0
15.812,0.0,90834.0,4485.0,47.0,132.777,267547565068.0
15.906,0.0,90834.0,4485.0,47.0,132.702,267547578295.0
16.009,0.0,90834.0,4485.0,47.0,132.691,267547591570.0
16.107,0.0,90834.0,4485.0,47.0,132.768,267547604865.0
16.214,0.0,90834.0,4485.0,47.0,132.797,267547618137.0
16.300,0.0,90834.0,4485.0,47.0,132.723,267547631369.0
16.399,0.0,90834.0,4485.0,47.0,132.71,267547644625.0
16.500,0.0,90834.0,4485.0,47.0,132.777,267547657936.0
16.600,0.0,90834.0,4485.0,47.0,132.798,267547671213.0
16.707,0.0,90834.0,4485.0,47.0,132.707,267547671213.0
16.800,0.0,90834.0,4485.0,47.0,132.707,267547697720.0
16.900,0.0,90834.0,4485.0,47.0,132.733,267547711020.0
17.010,0.0,90834.0,4485.0,47.0,132.802,267547724292.0
17.101,0.0,90834.0,4485.0,47.0,132.741,267547737532.0
17.201,0.0,90834.0,4485.0,47.0,132.743,267547750811.0
17.304,0.0,90834.0,4485.0,47.0,132.811,267547764112.0
17.401,0.0,90834.0,4485.0,47.0,132.818,267547777383.0
17.507,0.0,90834.0,4485.0,47.0,132.74,267547790626.0
17.599,0.0,90834.0,4485.0,47.0,132.745,267547803907.0
17.701,0.0,90834.0,4485.0,47.0,132.825,267547817211.0
17.805,0.0,90834.0,4485.0,47.0,132.823,267547830465.0
17.899,0.0,90834.0,4485.0,47.0,132.736,267547843687.0
18.000,0.0,90834.0,4485.0,47.0,132.727,267547856956.0
18.100,0.0,90834.0,4485.0,47.0,132.798,267547870269.0
18.202,0.0,90834.0,4485.0,47.0,132.783,267547883522.0
18.301,0.0,90834.0,4485.0,47.0,132.71,267547896751.0
18.404,0.0,90834.0,4485.0,47.0,132.727,267547910033.0
18.499,0.0,90834.0,4485.0,47.0,132.804,267547923340.0
18.602,0.0,90834.0,4485.0,47.0,132.798,267547936613.0
18.712,0.0,90834.0,4485.0,47.0,132.739,267547949855.0
18.802,0.0,90834.0,4485.0,47.0,132.742,267547963132.0
18.902,0.0,90834.0,4485.0,47.0,132.844,267547976442.0
19.000,0.0,90834.0,4485.0,47.0,132.847,267547989703.0
19.106,0.0,90834.0,4485.0,47.0,132.756,267548002929.0
19.200,0.0,90834.0,4485.0,47.0,132.762,267548016193.0
19.301,0.0,90834.0,4485.0,47.0,132.844,267548016193.0
19.403,0.0,90834.0,4485.0,47.0,132.811,267548029509.0
19.505,0.0,90834.0,4485.0,47.0,132.811,267548056003.0
19.603,0.0,90834.0,4485.0,47.0,132.732,267548069275.0
19.700,0.0,90834.0,4485.0,47.0,132.725,267548082573.0
19.811,0.0,90834.0,4485.0,47.0,132.759,267548095834.0
19.901,0.0,90834.0,4485.0,47.0,132.685,267548109070.0
20.002,0.0,90834.0,4485.0,47.0,132.684,267548122349.0
20.102,0.0,90834.0,4485.0,47.0,132.763,267548135656.0
20.210,0.0,90834.0,4485.0,47.0,132.771,267548148925.0
20.299,0.0,90834.0,4485.0,47.0,132.704,267548162165.0
20.402,0.0,90834.0,4485.0,47.0,132.719,267548175445.0
20.511,0.0,90834.0,4485.0,47.0,132.78,267548188747.0
20.603,0.0,90834.0,4485.0,47.0,132.774,267548202002.0
20.701,0.0,90834.0,4485.0,47.0,132.697,267548215238.0
20.801,0.0,90834.0,4485.0,47.0,132.745,267548228525.0
20.907,0.0,90834.0,4485.0,47.0,132.807,267548241829.0
21.002,0.0,90834.0,4485.0,47.0,132.786,267548255086.0
21.102,0.0,90834.0,4485.0,47.0,132.715,267548268325.0
21.210,0.0,90834.0,4485.0,47.0,132.757,267548281635.0
21.319,0.0,90834.0,4485.0,47.0,132.816,267548294926.0
21.402,0.0,90834.0,4485.0,47.0,132.789,267548308185.0
21.513,0.0,90834.0,4485.0,47.0,132.726,267548321422.0
21.603,0.0,90834.0,4485.0,47.0,132.771,267548334718.0
21.703,0.0,90834.0,4485.0,47.0,132.856,267548348022.0
21.810,0.0,90834.0,4485.0,47.0,132.818,267548361279.0
21.900,0.0,90834.0,4485.0,47.0,132.755,267548374525.0
22.001,0.0,90834.0,4485.0,47.0,132.798,267548387813.0
22.108,0.0,90834.0,4485.0,47.0,132.864,267548387813.0
22.203,0.0,90834.0,4485.0,47.0,132.806,267548414384.0
22.303,0.0,90834.0,4485.0,47.0,132.753,267548427629.0
22.405,0.0,90834.0,4485.0,47.0,132.823,267548440937.0
22.500,0.0,90834.0,4485.0,47.0,132.875,267548454219.0
22.602,0.0,90834.0,4485.0,47.0,132.831,267548467476.0
22.703,0.0,90834.0,4485.0,47.0,132.765,267548480723.0
22.802,0.0,90834.0,4485.0,47.0,132.799,267548494021.0
22.904,0.0,90834.0,4485.0,47.0,132.844,267548507301.0
23.009,0.0,90834.0,4485.0,47.0,132.797,267548520540.0
23.101,0.0,90834.0,4485.0,47.0,132.797,267548533787.0
23.202,0.0,90834.0,4485.0,47.0,132.73,267548547088.0
23.309,0.0,90834.0,4485.0,47.0,132.779,267548560377.0
23.404,0.0,90834.0,4485.0,47.0,132.827,267548573622.0
