elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90192.0,5127.0,47.0,121.849,214328726336.0
0.109,0.0,90192.0,5127.0,47.0,121.792,214328738493.0
0.200,0.0,90192.0,5127.0,47.0,121.792,214328750663.0
0.297,0.0,90192.0,5127.0,47.0,121.781,214328750663.0
0.397,0.0,90192.0,5127.0,47.0,121.693,214328762806.0
0.497,0.0,90192.0,5127.0,47.0,121.66,214328774953.0
0.605,0.0,90192.0,5127.0,47.0,121.642,214328787106.0
0.698,0.0,90192.0,5127.0,47.0,121.632,214328799266.0
0.797,0.0,90192.0,5127.0,47.0,121.568,214328811375.0
0.897,0.0,90192.0,5127.0,46.0,121.55,214328823530.0
1.011,0.0,90192.0,5127.0,46.0,121.58,214328835693.0
1.102,0.0,90192.0,5127.0,46.0,121.551,214328847837.0
1.197,0.0,90192.0,5127.0,46.0,121.52,214328859973.0
1.297,0.0,90192.0,5127.0,46.0,121.511,214328872148.0
1.398,0.0,90192.0,5127.0,46.0,121.478,214328884275.0
1.503,0.0,90192.0,5127.0,46.0,121.466,214328896398.0
1.612,0.0,90192.0,5127.0,46.0,121.447,214328908534.0
1.697,0.0,90192.0,5127.0,46.0,121.414,214328920642.0
1.797,0.0,90192.0,5127.0,46.0,121.434,214328932755.0
1.906,0.0,90192.0,5127.0,46.0,121.415,214328944899.0
1.997,0.0,90192.0,5127.0,46.0,121.364,214328957012.0
2.098,0.0,90192.0,5127.0,46.0,121.38,214328981260.0
2.198,0.0,90192.0,5127.0,46.0,121.353,214328993403.0
2.297,0.0,90192.0,5127.0,46.0,121.331,214329005544.0
2.400,0.0,90192.0,5127.0,46.0,121.374,214329017700.0
2.497,0.0,90192.0,5127.0,46.0,121.392,214329029791.0
2.597,0.0,90192.0,5127.0,46.0,121.317,214329041884.0
2.697,0.0,90192.0,5127.0,46.0,121.361,214329054022.0
2.805,0.0,90192.0,5127.0,46.0,121.358,214329066163.0
2.897,0.0,90192.0,5127.0,46.0,121.38,214329078288.0
2.997,0.0,90192.0,5127.0,46.0,121.38,214329078288.0
3.097,0.0,90192.0,5127.0,46.0,121.375,214329090425.0
3.205,0.0,90192.0,5127.0,46.0,121.365,214329102539.0
3.297,0.0,90192.0,5127.0,46.0,121.326,214329114641.0
3.398,0.0,90192.0,5127.0,46.0,121.323,214329126769.0
3.497,0.0,90192.0,5127.0,46.0,121.276,214329138917.0
3.605,0.0,90192.0,5127.0,46.0,121.267,214329151002.0
3.697,0.0,90192.0,5127.0,46.0,121.309,214329163109.0
3.797,0.0,90192.0,5127.0,46.0,121.322,214329175259.0
3.897,0.0,90192.0,5127.0,46.0,121.311,214329187415.0
3.997,0.0,90192.0,5127.0,46.0,121.287,214329199524.0
4.100,0.0,90192.0,5127.0,46.0,121.313,214329211667.0
4.198,0.0,90192.0,5127.0,46.0,121.321,214329223780.0
4.297,0.0,90192.0,5127.0,46.0,121.349,214329235928.0
4.398,0.0,90192.0,5127.0,46.0,121.277,214329248021.0
4.507,0.0,90192.0,5127.0,46.0,121.308,214329260135.0
4.599,0.0,90192.0,5127.0,46.0,121.332,214329272263.0
4.697,0.0,90192.0,5127.0,46.0,121.35,214329284398.0
4.797,0.0,90192.0,5127.0,46.0,121.314,214329296510.0
4.909,0.0,90192.0,5127.0,46.0,121.264,214329320707.0
4.997,0.0,90192.0,5127.0,46.0,121.22,214329332778.0
5.097,0.0,90192.0,5127.0,46.0,121.159,214329344895.0
5.197,0.0,90192.0,5127.0,46.0,121.165,214329357046.0
5.297,0.0,90192.0,5127.0,46.0,121.115,214329369151.0
5.404,0.0,90192.0,5127.0,46.0,121.163,214329381261.0
5.497,0.0,90192.0,5127.0,46.0,121.121,214329393368.0
5.597,0.0,90192.0,5127.0,46.0,121.127,214329405516.0
5.697,0.0,90192.0,5127.0,46.0,121.125,214329417640.0
5.797,0.0,90192.0,5127.0,46.0,121.125,214329429747.0
5.905,0.0,90192.0,5127.0,46.0,121.133,214329429747.0
5.997,0.0,90192.0,5127.0,46.0,121.156,214329441836.0
6.097,0.0,90192.0,5127.0,46.0,121.187,214329453937.0
6.197,0.0,90192.0,5127.0,46.0,121.193,214329466064.0
6.305,0.0,90192.0,5127.0,46.0,121.187,214329478156.0
6.397,0.0,90192.0,5127.0,46.0,121.167,214329490268.0
6.497,0.0,90192.0,5127.0,46.0,121.171,214329502357.0
6.597,0.0,90192.0,5127.0,46.0,121.162,214329514470.0
6.706,0.0,90192.0,5127.0,46.0,121.118,214329526589.0
6.809,0.0,90192.0,5127.0,46.0,121.106,214329538671.0
6.897,0.0,90192.0,5127.0,46.0,121.118,214329550771.0
6.997,0.0,90192.0,5127.0,46.0,121.152,214329562898.0
7.106,0.0,90192.0,5127.0,46.0,121.163,214329575008.0
7.197,0.0,90192.0,5127.0,46.0,121.18,214329587138.0
7.297,0.0,90192.0,5127.0,46.0,121.193,214329599272.0
7.397,0.0,90192.0,5127.0,46.0,121.218,214329611396.0
7.503,0.0,90192.0,5127.0,46.0,121.234,214329623508.0
7.597,0.0,90192.0,5127.0,46.0,121.218,214329635611.0
7.697,0.0,90192.0,5127.0,46.0,121.227,214329659826.0
7.798,0.0,90192.0,5127.0,46.0,121.236,214329671947.0
7.904,0.0,90192.0,5127.0,46.0,121.256,214329684045.0
7.997,0.0,90192.0,5127.0,46.0,121.232,214329696195.0
8.097,0.0,90192.0,5127.0,46.0,121.246,214329708303.0
8.211,0.0,90192.0,5127.0,46.0,121.198,214329720424.0
8.299,0.0,90192.0,5127.0,46.0,121.212,214329732553.0
8.397,0.0,90192.0,5127.0,46.0,121.201,214329744672.0
8.497,0.0,90192.0,5127.0,46.0,121.244,214329756787.0
8.604,0.0,90192.0,5127.0,46.0,121.244,214329768918.0
8.697,0.0,90192.0,5127.0,46.0,121.277,214329768918.0
8.797,0.0,90192.0,5127.0,46.0,121.289,214329781043.0
8.897,0.0,90192.0,5127.0,46.0,121.278,214329793160.0
8.998,0.0,90192.0,5127.0,46.0,121.269,214329805281.0
9.105,0.0,90192.0,5127.0,46.0,121.249,214329817372.0
9.197,0.0,90192.0,5127.0,46.0,121.281,214329829488.0
9.298,0.0,90192.0,5127.0,46.0,121.239,214329841590.0
9.401,0.0,90192.0,5127.0,46.0,121.267,214329853732.0
9.497,0.0,90192.0,5127.0,46.0,121.273,214329865863.0
9.597,0.0,90192.0,5127.0,46.0,121.225,214329877961.0
9.697,0.0,90192.0,5127.0,46.0,121.17,214329890073.0
9.797,0.0,90192.0,5127.0,46.0,121.169,214329902196.0
9.897,0.0,90192.0,5127.0,46.0,121.197,214329914314.0
9.997,0.0,90192.0,5127.0,46.0,121.139,214329926397.0
10.098,0.0,90192.0,5127.0,46.0,121.168,214329938493.0
10.203,0.0,90192.0,5127.0,46.0,121.179,214329950622.0
10.297,0.0,90192.0,5127.0,46.0,121.192,214329962732.0
10.397,0.0,90192.0,5127.0,46.0,121.168,214329974835.0
10.497,0.0,90192.0,5127.0,46.0,121.18,214329999100.0
10.597,0.0,90192.0,5127.0,46.0,121.216,214330011226.0
10.702,0.0,90192.0,5127.0,46.0,121.221,214330023305.0
