elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90192.0,5127.0,47.0,134.149,176027290182.0
0.091,0.0,90192.0,5127.0,47.0,134.07,176027303539.0
0.191,0.0,90192.0,5127.0,47.0,133.998,176027316902.0
0.297,0.0,90192.0,5127.0,47.0,133.939,176027330267.0
0.391,0.0,90192.0,5127.0,47.0,133.874,176027343583.0
0.491,0.0,90192.0,5127.0,47.0,133.771,176027356928.0
0.601,0.0,90192.0,5127.0,47.0,133.716,176027370239.0
0.691,0.0,90192.0,5127.0,47.0,133.646,176027383592.0
0.790,0.0,90192.0,5127.0,47.0,133.581,176027396933.0
0.890,0.0,90192.0,5127.0,47.0,133.519,176027410312.0
0.991,0.0,90192.0,5127.0,47.0,133.51,176027423629.0
1.090,0.0,90192.0,5127.0,47.0,133.502,176027436964.0
1.191,0.0,90192.0,5127.0,47.0,133.474,176027450309.0
1.303,0.0,90192.0,5127.0,47.0,133.469,176027463644.0
1.390,0.0,90192.0,5127.0,47.0,133.473,176027476989.0
1.490,0.0,90192.0,5127.0,47.0,133.471,176027490316.0
1.590,0.0,90192.0,5127.0,47.0,133.471,176027503649.0
1.699,0.0,90192.0,5127.0,47.0,133.465,176027516976.0
1.795,0.0,90192.0,5127.0,47.0,133.446,176027530308.0
1.891,0.0,90192.0,5127.0,47.0,133.445,176027543632.0
1.990,0.0,90192.0,5127.0,47.0,133.419,176027556957.0
2.100,0.0,90192.0,5127.0,47.0,133.425,176027570287.0
2.191,0.0,90192.0,5127.0,47.0,133.389,176027583626.0
2.290,0.0,90192.0,5127.0,47.0,133.39,176027583626.0
2.399,0.0,90192.0,5127.0,47.0,133.374,176027596935.0
2.490,0.0,90192.0,5127.0,47.0,133.365,176027623611.0
2.590,0.0,90192.0,5127.0,47.0,133.363,176027636926.0
2.690,0.0,90192.0,5127.0,47.0,133.35,176027650258.0
2.797,0.0,90192.0,5127.0,47.0,133.329,176027663580.0
2.890,0.0,90192.0,5127.0,47.0,133.324,176027676898.0
2.991,0.0,90192.0,5127.0,47.0,133.342,176027690233.0
3.091,0.0,90192.0,5127.0,47.0,133.326,176027703559.0
3.192,0.0,90192.0,5127.0,47.0,133.338,176027716896.0
3.290,0.0,90192.0,5127.0,47.0,133.321,176027730223.0
3.390,0.0,90192.0,5127.0,47.0,133.31,176027743532.0
3.489,0.0,90192.0,5127.0,47.0,133.292,176027756845.0
3.590,0.0,90192.0,5127.0,47.0,133.284,176027770136.0
3.691,0.0,90192.0,5127.0,47.0,133.293,176027783465.0
3.791,0.0,90192.0,5127.0,47.0,133.293,176027796793.0
3.891,0.0,90192.0,5127.0,47.0,133.299,176027810128.0
3.991,0.0,90192.0,5127.0,47.0,133.278,176027823458.0
4.090,0.0,90192.0,5127.0,47.0,133.27,176027836767.0
4.191,0.0,90192.0,5127.0,47.0,133.25,176027850077.0
4.292,0.0,90192.0,5127.0,47.0,133.258,176027863407.0
4.391,0.0,90192.0,5127.0,47.0,133.278,176027876726.0
4.490,0.0,90192.0,5127.0,47.0,133.282,176027890052.0
4.599,0.0,90192.0,5127.0,47.0,133.311,176027903375.0
4.691,0.0,90192.0,5127.0,47.0,133.307,176027916700.0
4.791,0.0,90192.0,5127.0,47.0,133.266,176027929992.0
4.891,0.0,90192.0,5127.0,47.0,133.238,176027943288.0
4.990,0.0,90192.0,5127.0,47.0,133.238,176027956599.0
5.091,0.0,90192.0,5127.0,47.0,133.22,176027956599.0
5.191,0.0,90192.0,5127.0,47.0,133.194,176027969890.0
5.301,0.0,90192.0,5127.0,47.0,133.215,176027996524.0
5.391,0.0,90192.0,5127.0,47.0,133.2,176028009827.0
5.495,0.0,90192.0,5127.0,47.0,133.181,176028023141.0
5.591,0.0,90192.0,5127.0,47.0,133.184,176028036459.0
5.699,0.0,90192.0,5127.0,47.0,133.128,176028049764.0
5.790,0.0,90192.0,5127.0,47.0,133.131,176028063051.0
5.890,0.0,90192.0,5127.0,47.0,133.134,176028076377.0
5.991,0.0,90192.0,5127.0,47.0,133.157,176028089673.0
6.091,0.0,90192.0,5127.0,47.0,133.149,176028102993.0
6.190,0.0,90192.0,5127.0,47.0,133.178,176028116300.0
6.292,0.0,90192.0,5127.0,47.0,133.161,176028129624.0
6.390,0.0,90192.0,5127.0,47.0,133.186,176028142927.0
6.491,0.0,90192.0,5127.0,47.0,133.175,176028156246.0
6.590,0.0,90192.0,5127.0,47.0,133.184,176028169544.0
6.699,0.0,90192.0,5127.0,47.0,133.187,176028182842.0
6.790,0.0,90192.0,5127.0,47.0,133.206,176028196157.0
6.890,0.0,90192.0,5127.0,47.0,133.183,176028209449.0
6.991,0.0,90192.0,5127.0,47.0,133.191,176028222764.0
7.100,0.0,90192.0,5127.0,47.0,133.185,176028236067.0
7.191,0.0,90192.0,5127.0,47.0,133.179,176028249384.0
7.291,0.0,90192.0,5127.0,47.0,133.167,176028262680.0
7.390,0.0,90192.0,5127.0,47.0,133.166,176028275998.0
7.501,0.0,90192.0,5127.0,47.0,133.182,176028289311.0
7.591,0.0,90192.0,5127.0,47.0,133.183,176028302604.0
7.691,0.0,90192.0,5127.0,47.0,133.194,176028315928.0
7.791,0.0,90192.0,5127.0,47.0,133.194,176028329236.0
7.890,0.0,90192.0,5127.0,47.0,133.178,176028329236.0
7.990,0.0,90192.0,5127.0,47.0,133.201,176028342555.0
8.091,0.0,90192.0,5127.0,47.0,133.175,176028369167.0
8.200,0.0,90192.0,5127.0,47.0,133.175,176028382470.0
8.290,0.0,90192.0,5127.0,47.0,133.184,176028395791.0
8.391,0.0,90192.0,5127.0,47.0,133.188,176028409095.0
8.491,0.0,90192.0,5127.0,47.0,133.187,176028422400.0
8.591,0.0,90192.0,5127.0,47.0,133.167,176028435710.0
8.700,0.0,90192.0,5127.0,47.0,133.164,176028449015.0
8.791,0.0,90192.0,5127.0,47.0,133.141,176028462327.0
8.895,0.0,90192.0,5127.0,47.0,133.142,176028475638.0
9.000,0.0,90192.0,5127.0,47.0,133.133,176028488954.0
9.091,0.0,90192.0,5127.0,47.0,133.151,176028502266.0
9.191,0.0,90192.0,5127.0,47.0,133.166,176028515573.0
9.291,0.0,90192.0,5127.0,47.0,133.159,176028528891.0
9.391,0.0,90192.0,5127.0,47.0,133.157,176028542204.0
9.491,0.0,90192.0,5127.0,47.0,133.18,176028555518.0
9.590,0.0,90192.0,5127.0,47.0,133.186,176028568840.0
9.738,0.0,90192.0,5127.0,47.0,133.177,176028595454.0
9.792,0.0,90192.0,5127.0,47.0,133.177,176028595454.0
9.899,0.0,90192.0,5127.0,47.0,133.188,176028608774.0
9.991,0.0,90192.0,5127.0,47.0,133.173,176028622082.0
10.089,0.0,90192.0,5127.0,47.0,133.181,176028635400.0
10.190,0.0,90192.0,5127.0,47.0,133.187,176028648701.0
10.291,0.0,90192.0,5127.0,47.0,133.161,176028662010.0
10.392,0.0,90192.0,5127.0,47.0,133.095,176028675258.0
10.491,0.0,90192.0,5127.0,47.0,133.008,176028688499.0
10.591,0.0,90192.0,5127.0,47.0,133.008,176028701741.0
10.772,0.0,90192.0,5127.0,47.0,132.875,176028714959.0
10.794,0.0,90192.0,5127.0,47.0,132.875,176028714959.0
10.891,0.0,90192.0,5127.0,47.0,132.829,176028741438.0
10.991,0.0,90192.0,5127.0,47.0,132.734,176028754683.0
11.091,0.0,90192.0,5127.0,47.0,132.669,176028767903.0
11.200,0.0,90192.0,5127.0,47.0,132.582,176028781132.0
11.291,0.0,90192.0,5127.0,47.0,132.492,176028794357.0
11.390,0.0,90192.0,5127.0,47.0,132.448,176028807582.0
11.490,0.0,90192.0,5127.0,47.0,132.402,176028820820.0
11.592,0.0,90192.0,5127.0,47.0,132.437,176028834058.0
11.690,0.0,90192.0,5127.0,47.0,132.425,176028847310.0
11.791,0.0,90192.0,5127.0,47.0,132.447,176028860546.0
11.891,0.0,90192.0,5127.0,47.0,132.417,176028873778.0
11.999,0.0,90192.0,5127.0,47.0,132.407,176028886985.0
12.091,0.0,90192.0,5127.0,47.0,132.392,176028900219.0
12.191,0.0,90192.0,5127.0,47.0,132.407,176028913442.0
12.291,0.0,90192.0,5127.0,47.0,132.386,176028926686.0
12.391,0.0,90192.0,5127.0,47.0,132.379,176028939897.0
12.491,0.0,90192.0,5127.0,47.0,132.264,176028953076.0
12.592,0.0,90192.0,5127.0,47.0,132.103,176028966153.0
12.790,0.0,90192.0,5127.0,47.0,131.726,176028992278.0
12.799,0.0,90192.0,5127.0,47.0,131.726,176028992278.0
12.900,0.0,90192.0,5127.0,47.0,131.557,176029005318.0
13.006,0.0,90192.0,5127.0,47.0,131.416,176029018391.0
13.099,0.0,90192.0,5127.0,47.0,131.246,176029031451.0
13.201,0.0,90192.0,5127.0,47.0,131.047,176029044515.0
13.302,0.0,90192.0,5127.0,47.0,130.904,176029057571.0
13.399,0.0,90192.0,5127.0,47.0,130.904,176029070607.0
13.516,0.0,90192.0,5127.0,47.0,130.694,176029070607.0
13.602,0.0,90192.0,5127.0,47.0,130.646,176029083660.0
13.701,0.0,90192.0,5127.0,47.0,130.628,176029109755.0
13.799,0.0,90192.0,5127.0,47.0,130.594,176029122762.0
13.900,0.0,90192.0,5127.0,47.0,130.558,176029135789.0
14.001,0.0,90192.0,5127.0,47.0,130.522,176029148816.0
14.100,0.0,90192.0,5127.0,47.0,130.473,176029161818.0
14.200,0.0,90192.0,5127.0,47.0,130.436,176029174830.0
14.306,0.0,90192.0,5127.0,47.0,130.37,176029187840.0
14.401,0.0,90192.0,5127.0,47.0,130.323,176029200857.0
14.500,0.0,90192.0,5127.0,47.0,130.321,176029213875.0
14.610,0.0,90192.0,5127.0,47.0,130.258,176029226911.0
14.701,0.0,90192.0,5127.0,47.0,130.235,176029239935.0
14.800,0.0,90192.0,5127.0,47.0,130.224,176029252957.0
14.919,0.0,90192.0,5127.0,47.0,130.233,176029278989.0
15.007,0.0,90192.0,5127.0,47.0,130.233,176029278989.0
15.102,0.0,90192.0,5127.0,47.0,130.268,176029292006.0
15.200,0.0,90192.0,5127.0,47.0,130.245,176029305022.0
15.300,0.0,90192.0,5127.0,47.0,130.254,176029318045.0
15.403,0.0,90192.0,5127.0,47.0,130.247,176029331044.0
15.502,0.0,90192.0,5127.0,47.0,130.239,176029344064.0
15.601,0.0,90192.0,5127.0,47.0,130.235,176029357079.0
15.718,0.0,90192.0,5127.0,47.0,130.229,176029370096.0
15.808,0.0,90192.0,5127.0,47.0,130.22,176029383104.0
15.901,0.0,90192.0,5127.0,47.0,130.214,176029396112.0
16.000,0.0,90192.0,5127.0,47.0,130.243,176029409138.0
16.101,0.0,90192.0,5127.0,47.0,130.243,176029422155.0
16.209,0.0,90192.0,5127.0,47.0,130.223,176029422155.0
16.302,0.0,90192.0,5127.0,47.0,130.243,176029435170.0
16.402,0.0,90192.0,5127.0,47.0,130.226,176029461200.0
16.519,0.0,90192.0,5127.0,47.0,130.249,176029487247.0
16.607,0.0,90192.0,5127.0,47.0,130.249,176029487247.0
16.699,0.0,90192.0,5127.0,47.0,130.239,176029500259.0
16.798,0.0,90192.0,5127.0,47.0,130.257,176029513275.0
16.898,0.0,90192.0,5127.0,47.0,130.277,176029526296.0
16.997,0.0,90192.0,5127.0,47.0,130.282,176029539318.0
17.098,0.0,90192.0,5127.0,47.0,130.257,176029552337.0
17.210,0.0,90192.0,5127.0,47.0,130.262,176029565351.0
17.299,0.0,90192.0,5127.0,47.0,130.251,176029578364.0
17.400,0.0,90192.0,5127.0,47.0,130.263,176029591367.0
17.498,0.0,90192.0,5127.0,47.0,130.263,176029604404.0
17.599,0.0,90192.0,5127.0,47.0,130.257,176029617399.0
17.698,0.0,90192.0,5127.0,47.0,130.251,176029630425.0
17.799,0.0,90192.0,5127.0,47.0,130.24,176029643436.0
17.904,0.0,90192.0,5127.0,47.0,130.243,176029656456.0
18.000,0.0,90192.0,5127.0,47.0,130.26,176029669488.0
18.098,0.0,90192.0,5127.0,47.0,130.279,176029682514.0
18.197,0.0,90192.0,5127.0,47.0,130.308,176029695551.0
18.304,0.0,90192.0,5127.0,47.0,130.302,176029708593.0
18.399,0.0,90192.0,5127.0,47.0,130.297,176029721618.0
18.498,0.0,90192.0,5127.0,47.0,130.305,176029734633.0
18.606,0.0,90192.0,5127.0,47.0,130.306,176029747651.0
18.699,0.0,90192.0,5127.0,47.0,130.32,176029760660.0
18.799,0.0,90192.0,5127.0,47.0,130.291,176029773683.0
18.898,0.0,90192.0,5127.0,47.0,130.28,176029786689.0
19.005,0.0,90192.0,5127.0,47.0,130.265,176029786689.0
19.098,0.0,90192.0,5127.0,47.0,130.261,176029799708.0
19.198,0.0,90192.0,5127.0,47.0,130.243,176029825751.0
19.307,0.0,90192.0,5127.0,47.0,130.235,176029838775.0
19.398,0.0,90192.0,5127.0,47.0,130.22,176029851779.0
19.498,0.0,90192.0,5127.0,47.0,130.226,176029864806.0
19.598,0.0,90192.0,5127.0,47.0,130.216,176029877816.0
19.708,0.0,90192.0,5127.0,46.0,130.206,176029890839.0
19.799,0.0,90192.0,5127.0,47.0,130.219,176029903848.0
19.899,0.0,90192.0,5127.0,47.0,130.211,176029916862.0
19.998,0.0,90192.0,5127.0,47.0,130.207,176029929880.0
20.107,0.0,90192.0,5127.0,47.0,130.192,176029942888.0
20.199,0.0,90192.0,5127.0,47.0,130.166,176029955902.0
20.299,0.0,90192.0,5127.0,47.0,130.192,176029968915.0
20.398,0.0,90192.0,5127.0,47.0,130.197,176029981933.0
20.501,0.0,90192.0,5127.0,47.0,130.183,176029994933.0
20.600,0.0,90192.0,5127.0,47.0,130.177,176030007960.0
20.699,0.0,90192.0,5127.0,47.0,130.19,176030020970.0
20.800,0.0,90192.0,5127.0,47.0,130.179,176030033979.0
20.902,0.0,90192.0,5127.0,47.0,130.196,176030046996.0
20.999,0.0,90192.0,5127.0,47.0,130.208,176030060016.0
21.101,0.0,90192.0,5127.0,47.0,130.2,176030073033.0
21.199,0.0,90192.0,5127.0,47.0,130.223,176030086037.0
21.308,0.0,90192.0,5127.0,47.0,130.217,176030099050.0
21.400,0.0,90192.0,5127.0,47.0,130.229,176030112072.0
21.498,0.0,90192.0,5127.0,47.0,130.234,176030125086.0
