elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,88580.0,6739.0,46.0,132.24,419303062884.0
0.094,0.0,88580.0,6739.0,46.0,124.852,419303062884.0
0.194,0.0,88580.0,6739.0,46.0,124.693,419303075348.0
0.306,0.0,88580.0,6739.0,45.0,124.676,419303087797.0
0.401,0.0,88580.0,6739.0,45.0,124.656,419303100251.0
0.493,0.0,88580.0,6739.0,45.0,124.59,419303112675.0
0.594,0.0,88580.0,6739.0,45.0,124.595,419303125103.0
0.705,0.0,88580.0,6739.0,45.0,124.595,419303137557.0
0.793,0.0,88580.0,6739.0,45.0,124.57,419303150005.0
0.892,0.0,88580.0,6739.0,45.0,124.547,419303162446.0
0.994,0.0,88580.0,6739.0,45.0,124.527,419303174900.0
1.093,0.0,88580.0,6739.0,45.0,124.537,419303187353.0
1.199,0.0,88580.0,6739.0,45.0,124.523,419303199799.0
1.293,0.0,88580.0,6739.0,45.0,124.523,419303212256.0
1.403,0.0,88580.0,6739.0,45.0,124.519,419303224715.0
1.494,0.0,88580.0,6739.0,45.0,124.538,419303237149.0
1.593,0.0,88580.0,6739.0,45.0,124.562,419303262053.0
1.703,0.0,88580.0,6739.0,45.0,124.57,419303274499.0
1.794,0.0,88580.0,6739.0,45.0,124.555,419303286946.0
1.893,0.0,88580.0,6739.0,45.0,124.576,419303299387.0
1.994,0.0,88580.0,6739.0,45.0,124.564,419303311830.0
2.094,0.0,88580.0,6739.0,45.0,124.56,419303324278.0
2.194,0.0,88580.0,6739.0,45.0,124.544,419303336720.0
2.294,0.0,88580.0,6739.0,45.0,124.543,419303349167.0
2.404,0.0,88580.0,6739.0,45.0,124.532,419303361608.0
2.493,0.0,88580.0,6739.0,45.0,124.531,419303374048.0
2.593,0.0,88580.0,6739.0,45.0,124.516,419303386480.0
2.694,0.0,88580.0,6739.0,45.0,124.519,419303398921.0
2.794,0.0,88580.0,6739.0,45.0,124.501,419303398921.0
2.894,0.0,88580.0,6739.0,45.0,124.48,419303411373.0
2.993,0.0,88580.0,6739.0,45.0,124.495,419303423818.0
3.092,0.0,88580.0,6739.0,45.0,124.482,419303436250.0
3.200,0.0,88580.0,6739.0,45.0,124.496,419303448708.0
3.294,0.0,88580.0,6739.0,45.0,124.499,419303461160.0
3.394,0.0,88580.0,6739.0,45.0,124.519,419303473616.0
3.494,0.0,88580.0,6739.0,45.0,124.51,419303486058.0
3.600,0.0,88580.0,6739.0,45.0,124.537,419303498502.0
3.693,0.0,88580.0,6739.0,45.0,124.546,419303510950.0
3.794,0.0,88580.0,6739.0,45.0,124.546,419303523399.0
3.897,0.0,88580.0,6739.0,45.0,124.553,419303535837.0
4.005,0.0,88580.0,6739.0,45.0,124.554,419303548286.0
4.093,0.0,88580.0,6739.0,45.0,124.559,419303560727.0
4.194,0.0,88580.0,6739.0,45.0,124.54,419303573182.0
4.299,0.0,88580.0,6739.0,45.0,124.538,419303585618.0
4.394,0.0,88580.0,6739.0,45.0,124.545,419303610522.0
4.494,0.0,88580.0,6739.0,45.0,124.549,419303622989.0
4.601,0.0,88580.0,6739.0,45.0,124.549,419303635436.0
4.693,0.0,88580.0,6739.0,45.0,124.549,419303647889.0
4.794,0.0,88580.0,6739.0,45.0,124.547,419303660324.0
4.903,0.0,88580.0,6739.0,45.0,124.542,419303672780.0
4.993,0.0,88580.0,6739.0,45.0,124.553,419303685225.0
5.093,0.0,88580.0,6739.0,45.0,124.553,419303697681.0
5.207,0.0,88580.0,6739.0,45.0,124.568,419303710115.0
5.293,0.0,88580.0,6739.0,45.0,124.568,419303722573.0
5.393,0.0,88580.0,6739.0,45.0,124.571,419303735030.0
5.494,0.0,88580.0,6739.0,45.0,124.574,419303747471.0
5.601,0.0,88580.0,6739.0,45.0,124.563,419303747471.0
5.694,0.0,88580.0,6739.0,45.0,124.551,419303759916.0
5.794,0.0,88580.0,6739.0,45.0,124.551,419303772354.0
5.904,0.0,88580.0,6739.0,45.0,124.539,419303784807.0
5.994,0.0,88580.0,6739.0,45.0,124.563,419303797264.0
6.094,0.0,88580.0,6739.0,45.0,124.558,419303809719.0
6.193,0.0,88580.0,6739.0,45.0,124.587,419303822177.0
6.293,0.0,88580.0,6739.0,45.0,124.575,419303834629.0
6.398,0.0,88580.0,6739.0,45.0,124.574,419303847075.0
6.493,0.0,88580.0,6739.0,45.0,124.581,419303859532.0
6.593,0.0,88580.0,6739.0,45.0,124.584,419303871963.0
6.693,0.0,88580.0,6739.0,45.0,124.578,419303884420.0
6.794,0.0,88580.0,6739.0,45.0,124.593,419303896855.0
6.894,0.0,88580.0,6739.0,45.0,124.583,419303909306.0
6.992,0.0,88580.0,6739.0,45.0,124.569,419303921742.0
7.095,0.0,88580.0,6739.0,45.0,124.552,419303934192.0
7.193,0.0,88580.0,6739.0,45.0,124.531,419303959083.0
7.294,0.0,88580.0,6739.0,45.0,124.542,419303971528.0
7.401,0.0,88580.0,6739.0,45.0,124.524,419303983977.0
7.492,0.0,88580.0,6739.0,45.0,124.524,419303996421.0
7.593,0.0,88580.0,6739.0,45.0,124.518,419304008883.0
7.694,0.0,88580.0,6739.0,45.0,124.522,419304021310.0
7.802,0.0,88580.0,6739.0,45.0,124.506,419304033776.0
7.893,0.0,88580.0,6739.0,45.0,124.532,419304046222.0
7.994,0.0,88580.0,6739.0,45.0,124.523,419304058682.0
8.093,0.0,88580.0,6739.0,45.0,124.547,419304071118.0
8.193,0.0,88580.0,6739.0,45.0,124.547,419304083583.0
8.293,0.0,88580.0,6739.0,45.0,124.536,419304096021.0
8.403,0.0,88580.0,6739.0,45.0,124.556,419304096021.0
8.494,0.0,88580.0,6739.0,45.0,124.532,419304108466.0
8.594,0.0,88580.0,6739.0,45.0,124.548,419304120906.0
8.694,0.0,88580.0,6739.0,45.0,124.519,419304133350.0
8.793,0.0,88580.0,6739.0,45.0,124.54,419304145781.0
8.893,0.0,88580.0,6739.0,45.0,124.534,419304158237.0
8.993,0.0,88580.0,6739.0,45.0,124.531,419304170687.0
9.096,0.0,88580.0,6739.0,45.0,124.52,419304183141.0
9.193,0.0,88580.0,6739.0,45.0,124.512,419304195575.0
9.293,0.0,88580.0,6739.0,45.0,124.506,419304208020.0
9.393,0.0,88580.0,6739.0,45.0,124.507,419304220452.0
