elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90842.0,4477.0,45.0,123.149,572218281228.0
0.098,0.0,90842.0,4477.0,45.0,123.152,572218281228.0
0.197,0.0,90842.0,4477.0,45.0,123.133,572218293535.0
0.297,0.0,90842.0,4477.0,45.0,123.138,572218305832.0
0.396,0.0,90842.0,4477.0,45.0,123.147,572218318124.0
0.496,0.0,90842.0,4477.0,45.0,123.147,572218330448.0
0.596,0.0,90842.0,4477.0,45.0,123.135,572218342734.0
0.697,0.0,90842.0,4477.0,45.0,123.116,572218355030.0
0.796,0.0,90842.0,4477.0,45.0,123.129,572218367323.0
0.896,0.0,90842.0,4477.0,45.0,123.101,572218379626.0
0.995,0.0,90842.0,4477.0,45.0,123.07,572218391931.0
1.097,0.0,90842.0,4477.0,45.0,123.084,572218404227.0
1.197,0.0,90842.0,4477.0,45.0,123.107,572218428866.0
1.297,0.0,90842.0,4477.0,45.0,123.119,572218441178.0
1.395,0.0,90842.0,4477.0,45.0,123.115,572218453487.0
1.497,0.0,90842.0,4477.0,45.0,123.119,572218465797.0
1.597,0.0,90842.0,4477.0,45.0,123.132,572218478104.0
1.696,0.0,90842.0,4477.0,45.0,123.126,572218490394.0
1.796,0.0,90842.0,4477.0,45.0,123.121,572218502696.0
1.897,0.0,90842.0,4477.0,45.0,123.126,572218515000.0
1.997,0.0,90842.0,4477.0,45.0,123.144,572218527311.0
2.097,0.0,90842.0,4477.0,45.0,123.122,572218539611.0
2.197,0.0,90842.0,4477.0,45.0,123.108,572218551912.0
2.297,0.0,90842.0,4477.0,45.0,123.111,572218564221.0
2.397,0.0,90842.0,4477.0,45.0,123.102,572218576529.0
2.496,0.0,90842.0,4477.0,45.0,123.099,572218588838.0
2.596,0.0,90842.0,4477.0,45.0,123.111,572218601139.0
2.696,0.0,90842.0,4477.0,45.0,123.111,572218613442.0
2.797,0.0,90842.0,4477.0,45.0,123.105,572218625748.0
