elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,91062.0,4257.0,47.0,122.976,264460647005.0
0.103,0.0,91062.0,4257.0,47.0,122.95,264460659289.0
0.193,0.0,91062.0,4257.0,47.0,122.928,264460671601.0
0.294,0.0,91062.0,4257.0,47.0,122.908,264460683858.0
0.393,0.0,91062.0,4257.0,47.0,122.849,264460696086.0
0.492,0.0,91062.0,4257.0,47.0,122.841,264460708367.0
0.593,0.0,91062.0,4257.0,47.0,122.821,264460720601.0
0.694,0.0,91062.0,4257.0,47.0,122.783,264460732864.0
0.793,0.0,91062.0,4257.0,47.0,122.675,264460745088.0
0.892,0.0,91062.0,4257.0,47.0,122.679,264460757359.0
0.993,0.0,91062.0,4257.0,47.0,122.676,264460769616.0
1.102,0.0,91062.0,4257.0,47.0,122.646,264460781863.0
1.193,0.0,91062.0,4257.0,47.0,122.604,264460794154.0
1.292,0.0,91062.0,4257.0,47.0,122.607,264460806446.0
1.399,0.0,91062.0,4257.0,47.0,122.637,264460818704.0
1.493,0.0,91062.0,4257.0,47.0,122.673,264460830981.0
1.594,0.0,91062.0,4257.0,47.0,122.689,264460843231.0
1.703,0.0,91062.0,4257.0,47.0,122.716,264460843231.0
1.794,0.0,91062.0,4257.0,47.0,122.757,264460855520.0
1.894,0.0,91062.0,4257.0,47.0,122.755,264460867793.0
1.993,0.0,91062.0,4257.0,47.0,122.736,264460880060.0
2.092,0.0,91062.0,4257.0,47.0,122.736,264460892315.0
2.193,0.0,91062.0,4257.0,47.0,122.761,264460904560.0
2.299,0.0,91062.0,4257.0,47.0,122.731,264460929102.0
2.393,0.0,91062.0,4257.0,47.0,122.731,264460941380.0
2.496,0.0,91062.0,4257.0,47.0,122.707,264460953643.0
2.603,0.0,91062.0,4257.0,47.0,122.701,264460965891.0
2.693,0.0,91062.0,4257.0,47.0,122.693,264460978131.0
2.799,0.0,91062.0,4257.0,47.0,122.64,264460990348.0
2.894,0.0,91062.0,4257.0,47.0,122.639,264461002608.0
2.993,0.0,91062.0,4257.0,47.0,122.59,264461014824.0
3.103,0.0,91062.0,4257.0,47.0,122.577,264461027081.0
3.192,0.0,91062.0,4257.0,47.0,122.552,264461039292.0
3.293,0.0,91062.0,4257.0,47.0,122.515,264461051535.0
3.391,0.0,91062.0,4257.0,47.0,122.533,264461063809.0
3.500,0.0,91062.0,4257.0,47.0,122.533,264461076067.0
3.593,0.0,91062.0,4257.0,47.0,122.525,264461088322.0
3.693,0.0,91062.0,4257.0,47.0,122.524,264461100583.0
3.792,0.0,91062.0,4257.0,47.0,122.567,264461112844.0
3.893,0.0,91062.0,4257.0,47.0,122.585,264461125094.0
3.994,0.0,91062.0,4257.0,47.0,122.61,264461137351.0
4.097,0.0,91062.0,4257.0,47.0,122.632,264461149597.0
4.193,0.0,91062.0,4257.0,47.0,122.614,264461161853.0
4.293,0.0,91062.0,4257.0,47.0,122.626,264461174078.0
4.393,0.0,91062.0,4257.0,47.0,122.621,264461186329.0
4.498,0.0,91062.0,4257.0,47.0,122.611,264461186329.0
4.593,0.0,91062.0,4257.0,47.0,122.593,264461198580.0
4.693,0.0,91062.0,4257.0,47.0,122.587,264461210828.0
4.797,0.0,91062.0,4257.0,47.0,122.556,264461223093.0
4.893,0.0,91062.0,4257.0,47.0,122.544,264461235317.0
4.994,0.0,91062.0,4257.0,47.0,122.542,264461247571.0
5.100,0.0,91062.0,4257.0,47.0,122.524,264461259809.0
5.194,0.0,91062.0,4257.0,47.0,122.535,264461284317.0
5.293,0.0,91062.0,4257.0,47.0,122.534,264461296537.0
5.393,0.0,91062.0,4257.0,47.0,122.503,264461308778.0
5.493,0.0,91062.0,4257.0,47.0,122.489,264461321028.0
5.593,0.0,91062.0,4257.0,47.0,122.507,264461333254.0
5.692,0.0,91062.0,4257.0,47.0,122.507,264461345499.0
5.794,0.0,91062.0,4257.0,47.0,122.503,264461357735.0
5.893,0.0,91062.0,4257.0,47.0,122.475,264461370008.0
5.993,0.0,91062.0,4257.0,47.0,122.509,264461382264.0
6.098,0.0,91062.0,4257.0,47.0,122.523,264461394498.0
6.198,0.0,91062.0,4257.0,47.0,122.552,264461406765.0
6.293,0.0,91062.0,4257.0,47.0,122.556,264461418999.0
6.398,0.0,91062.0,4257.0,47.0,122.575,264461431259.0
6.492,0.0,91062.0,4257.0,47.0,122.558,264461443484.0
6.593,0.0,91062.0,4257.0,47.0,122.528,264461455704.0
6.703,0.0,91062.0,4257.0,47.0,122.522,264461467938.0
6.793,0.0,91062.0,4257.0,47.0,122.532,264461480174.0
6.893,0.0,91062.0,4257.0,47.0,122.511,264461492426.0
