elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89904.0,5415.0,47.0,124.168,5030547639.0
0.097,0.0,89904.0,5415.0,47.0,124.21,5030560064.0
0.197,0.0,89904.0,5415.0,47.0,124.21,5030560064.0
0.296,0.0,89904.0,5415.0,47.0,124.129,5030572423.0
0.397,0.0,89904.0,5415.0,47.0,124.127,5030584844.0
0.497,0.0,89904.0,5415.0,47.0,124.181,5030609653.0
0.596,0.0,89904.0,5415.0,47.0,124.092,5030622050.0
0.696,0.0,89904.0,5415.0,47.0,124.159,5030634512.0
0.797,0.0,89904.0,5415.0,47.0,124.105,5030646877.0
0.897,0.0,89904.0,5415.0,47.0,124.12,5030659296.0
0.997,0.0,89904.0,5415.0,47.0,124.191,5030671762.0
1.097,0.0,89904.0,5415.0,47.0,124.098,5030684123.0
1.197,0.0,89904.0,5415.0,47.0,124.156,5030696540.0
1.297,0.0,89904.0,5415.0,47.0,124.185,5030708966.0
1.397,0.0,89904.0,5415.0,47.0,124.135,5030721332.0
1.496,0.0,89904.0,5415.0,47.0,124.164,5030733737.0
1.597,0.0,89904.0,5415.0,47.0,124.217,5030746193.0
1.697,0.0,89904.0,5415.0,47.0,124.135,5030758574.0
1.797,0.0,89904.0,5415.0,47.0,124.186,5030771001.0
1.897,0.0,89904.0,5415.0,47.0,124.207,5030783435.0
1.997,0.0,89904.0,5415.0,47.0,124.125,5030795795.0
2.097,0.0,89904.0,5415.0,47.0,124.205,5030808228.0
2.197,0.0,89904.0,5415.0,47.0,124.206,5030820665.0
2.297,0.0,89904.0,5415.0,47.0,124.144,5030833034.0
2.397,0.0,89904.0,5415.0,47.0,124.224,5030845476.0
2.497,0.0,89904.0,5415.0,47.0,124.242,5030857902.0
2.597,0.0,89904.0,5415.0,47.0,124.138,5030870249.0
2.696,0.0,89904.0,5415.0,47.0,124.192,5030882668.0
2.797,0.0,89904.0,5415.0,47.0,124.198,5030895103.0
2.896,0.0,89904.0,5415.0,47.0,124.129,5030907463.0
2.997,0.0,89904.0,5415.0,47.0,124.179,5030919890.0
3.097,0.0,89904.0,5415.0,47.0,124.167,5030932317.0
3.196,0.0,89904.0,5415.0,47.0,124.135,5030944703.0
3.297,0.0,89904.0,5415.0,47.0,124.135,5030944703.0
3.397,0.0,89904.0,5415.0,47.0,124.217,5030957155.0
3.497,0.0,89904.0,5415.0,47.0,124.191,5030969575.0
3.597,0.0,89904.0,5415.0,47.0,124.151,5030994390.0
3.697,0.0,89904.0,5415.0,47.0,124.231,5031006801.0
3.796,0.0,89904.0,5415.0,47.0,124.204,5031019169.0
3.897,0.0,89904.0,5415.0,47.0,124.23,5031031625.0
3.997,0.0,89904.0,5415.0,47.0,124.197,5031044030.0
4.097,0.0,89904.0,5415.0,47.0,124.177,5031056427.0
4.197,0.0,89904.0,5415.0,47.0,124.22,5031068863.0
4.297,0.0,89904.0,5415.0,47.0,124.145,5031081249.0
4.397,0.0,89904.0,5415.0,47.0,124.108,5031093636.0
4.497,0.0,89904.0,5415.0,47.0,124.159,5031106054.0
4.596,0.0,89904.0,5415.0,47.0,124.123,5031118434.0
4.696,0.0,89904.0,5415.0,47.0,124.113,5031130835.0
4.797,0.0,89904.0,5415.0,47.0,124.187,5031143272.0
4.897,0.0,89904.0,5415.0,47.0,124.085,5031155644.0
4.997,0.0,89904.0,5415.0,47.0,124.071,5031168028.0
5.097,0.0,89904.0,5415.0,47.0,124.122,5031180466.0
5.197,0.0,89904.0,5415.0,47.0,124.053,5031192840.0
5.297,0.0,89904.0,5415.0,47.0,124.059,5031205234.0
5.397,0.0,89904.0,5415.0,47.0,124.153,5031217699.0
5.497,0.0,89904.0,5415.0,47.0,124.096,5031230065.0
5.597,0.0,89904.0,5415.0,47.0,124.111,5031242461.0
5.696,0.0,89904.0,5415.0,47.0,124.162,5031254917.0
5.797,0.0,89904.0,5415.0,47.0,124.107,5031267300.0
5.896,0.0,89904.0,5415.0,47.0,124.18,5031279721.0
