elapsed_s,time_wait_count
0.000,15
2.012,15
4.024,16
6.039,35
8.054,1037
10.068,1038
12.090,1036
14.104,1036
16.119,1037
18.134,1997
20.149,2057
22.472,2060
24.489,2039
26.506,2633
28.523,3038
30.889,2778
32.905,2779
34.921,2780
36.938,3774
38.954,3801
40.976,3805
42.995,3805
45.013,3822
47.031,4820
49.050,4828
51.068,4738
53.088,4773
55.108,5595
57.127,5759
59.148,5518
61.167,5515
63.187,5517
65.207,6526
67.226,6539
69.247,5265
71.268,5265
73.287,5281
75.307,6278
78.245,5875
80.266,5875
82.286,5081
84.305,6053
86.325,5848
88.346,5849
90.364,5375
92.383,6138
94.403,6151
