elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89904.0,5415.0,45.0,126.345,9493659385.0
0.098,0.0,89904.0,5415.0,45.0,126.313,9493671983.0
0.198,0.0,89904.0,5415.0,45.0,126.25,9493684612.0
0.298,0.0,89904.0,5415.0,45.0,126.224,9493697225.0
0.398,0.0,89904.0,5415.0,45.0,126.186,9493709844.0
0.498,0.0,89904.0,5415.0,45.0,126.212,9493722443.0
0.597,0.0,89904.0,5415.0,45.0,126.212,9493722443.0
0.698,0.0,89904.0,5415.0,45.0,126.217,9493735069.0
0.798,0.0,89904.0,5415.0,45.0,126.207,9493747686.0
0.909,0.0,89904.0,5415.0,45.0,126.214,9493760293.0
0.998,0.0,89904.0,5415.0,45.0,126.185,9493772897.0
1.098,0.0,89904.0,5415.0,45.0,126.172,9493785506.0
1.198,0.0,89904.0,5415.0,45.0,126.175,9493798101.0
1.298,0.0,89904.0,5415.0,45.0,126.159,9493810691.0
1.398,0.0,89904.0,5415.0,45.0,126.14,9493823301.0
1.497,0.0,89904.0,5415.0,45.0,126.128,9493835899.0
1.597,0.0,89904.0,5415.0,45.0,126.144,9493848502.0
1.698,0.0,89904.0,5415.0,45.0,126.148,9493861136.0
1.798,0.0,89904.0,5415.0,45.0,126.146,9493873754.0
1.896,0.0,89904.0,5415.0,45.0,126.156,9493898976.0
1.998,0.0,89904.0,5415.0,45.0,126.159,9493911578.0
2.096,0.0,89904.0,5415.0,45.0,126.167,9493924159.0
2.197,0.0,89904.0,5415.0,45.0,126.151,9493936769.0
2.297,0.0,89904.0,5415.0,45.0,126.169,9493949362.0
2.398,0.0,89904.0,5415.0,45.0,126.155,9493961967.0
2.497,0.0,89904.0,5415.0,45.0,126.149,9493974559.0
2.597,0.0,89904.0,5415.0,45.0,126.167,9493987166.0
2.698,0.0,89904.0,5415.0,45.0,126.135,9493999780.0
2.797,0.0,89904.0,5415.0,45.0,126.135,9494012397.0
2.896,0.0,89904.0,5415.0,45.0,126.114,9494024994.0
2.998,0.0,89904.0,5415.0,45.0,126.133,9494037632.0
3.096,0.0,89904.0,5415.0,45.0,126.183,9494050259.0
3.197,0.0,89904.0,5415.0,45.0,126.171,9494062852.0
3.298,0.0,89904.0,5415.0,45.0,126.188,9494075459.0
3.398,0.0,89904.0,5415.0,45.0,126.188,9494088062.0
3.496,0.0,89904.0,5415.0,45.0,126.203,9494088062.0
3.597,0.0,89904.0,5415.0,45.0,126.19,9494100681.0
3.697,0.0,89904.0,5415.0,45.0,126.202,9494113286.0
3.798,0.0,89904.0,5415.0,45.0,126.181,9494125859.0
3.898,0.0,89904.0,5415.0,45.0,126.17,9494138474.0
3.998,0.0,89904.0,5415.0,45.0,126.149,9494151083.0
4.098,0.0,89904.0,5415.0,45.0,126.138,9494163683.0
4.198,0.0,89904.0,5415.0,45.0,126.12,9494176303.0
4.297,0.0,89904.0,5415.0,45.0,126.138,9494188907.0
4.397,0.0,89904.0,5415.0,45.0,126.142,9494201503.0
4.497,0.0,89904.0,5415.0,45.0,126.144,9494214111.0
4.596,0.0,89904.0,5415.0,45.0,126.138,9494226716.0
4.699,0.0,89904.0,5415.0,45.0,126.15,9494251933.0
4.798,0.0,89904.0,5415.0,45.0,126.156,9494264542.0
4.898,0.0,89904.0,5415.0,45.0,126.165,9494277158.0
4.998,0.0,89904.0,5415.0,45.0,126.15,9494289734.0
5.097,0.0,89904.0,5415.0,45.0,126.125,9494302325.0
5.197,0.0,89904.0,5415.0,45.0,126.12,9494314939.0
5.298,0.0,89904.0,5415.0,45.0,126.105,9494327531.0
5.398,0.0,89904.0,5415.0,45.0,126.074,9494340107.0
5.498,0.0,89904.0,5415.0,45.0,126.076,9494352728.0
5.597,0.0,89904.0,5415.0,45.0,126.062,9494365330.0
5.698,0.0,89904.0,5415.0,45.0,126.059,9494377932.0
5.798,0.0,89904.0,5415.0,45.0,126.066,9494390521.0
5.898,0.0,89904.0,5415.0,45.0,126.059,9494403139.0
5.999,0.0,89904.0,5415.0,45.0,126.045,9494415738.0
6.098,0.0,89904.0,5415.0,45.0,126.059,9494428325.0
6.198,0.0,89904.0,5415.0,45.0,126.085,9494440954.0
6.298,0.0,89904.0,5415.0,45.0,126.105,9494453557.0
6.397,0.0,89904.0,5415.0,45.0,126.137,9494466168.0
6.497,0.0,89904.0,5415.0,45.0,126.121,9494466168.0
6.597,0.0,89904.0,5415.0,45.0,126.141,9494478764.0
6.697,0.0,89904.0,5415.0,45.0,126.125,9494491367.0
6.797,0.0,89904.0,5415.0,45.0,126.132,9494503970.0
6.898,0.0,89904.0,5415.0,45.0,126.135,9494516575.0
6.998,0.0,89904.0,5415.0,45.0,126.146,9494529162.0
7.098,0.0,89904.0,5415.0,45.0,126.13,9494541758.0
7.197,0.0,89904.0,5415.0,45.0,126.138,9494554363.0
7.298,0.0,89904.0,5415.0,45.0,126.122,9494566963.0
7.398,0.0,89904.0,5415.0,45.0,126.11,9494579556.0
7.498,0.0,89904.0,5415.0,45.0,126.114,9494592174.0
7.598,0.0,89904.0,5415.0,45.0,126.124,9494604756.0
7.698,0.0,89904.0,5415.0,45.0,126.14,9494630008.0
7.798,0.0,89904.0,5415.0,45.0,126.131,9494642619.0
7.898,0.0,89904.0,5415.0,45.0,126.131,9494655200.0
7.997,0.0,89904.0,5415.0,45.0,126.114,9494667809.0
8.097,0.0,89904.0,5415.0,45.0,126.132,9494680422.0
8.198,0.0,89904.0,5415.0,45.0,126.108,9494693011.0
8.298,0.0,89904.0,5415.0,45.0,126.11,9494705586.0
8.398,0.0,89904.0,5415.0,45.0,126.089,9494718181.0
8.497,0.0,89904.0,5415.0,45.0,126.071,9494730775.0
8.598,0.0,89904.0,5415.0,45.0,126.059,9494743377.0
8.697,0.0,89904.0,5415.0,45.0,126.062,9494755990.0
8.798,0.0,89904.0,5415.0,45.0,126.037,9494768586.0
8.897,0.0,89904.0,5415.0,45.0,126.033,9494781181.0
8.998,0.0,89904.0,5415.0,45.0,126.022,9494793780.0
9.098,0.0,89904.0,5415.0,45.0,126.043,9494806388.0
9.198,0.0,89904.0,5415.0,45.0,126.041,9494818983.0
9.298,0.0,89904.0,5415.0,45.0,126.041,9494818983.0
9.397,0.0,89904.0,5415.0,45.0,126.074,9494831562.0
9.498,0.0,89904.0,5415.0,45.0,126.068,9494844172.0
9.598,0.0,89904.0,5415.0,45.0,126.095,9494856775.0
9.698,0.0,89904.0,5415.0,45.0,126.086,9494869385.0
9.798,0.0,89904.0,5415.0,45.0,126.075,9494881966.0
9.898,0.0,89904.0,5415.0,45.0,126.061,9494894575.0
9.998,0.0,89904.0,5415.0,45.0,126.031,9494907144.0
10.097,0.0,89904.0,5415.0,45.0,126.005,9494919701.0
10.198,0.0,89904.0,5415.0,45.0,125.987,9494932300.0
10.297,0.0,89904.0,5415.0,45.0,126.002,9494944900.0
10.398,0.0,89904.0,5415.0,45.0,126.015,9494957503.0
10.498,0.0,89904.0,5415.0,45.0,126.008,9494970112.0
10.598,0.0,89904.0,5415.0,45.0,126.007,9494995323.0
10.698,0.0,89904.0,5415.0,45.0,126.014,9495007938.0
10.798,0.0,89904.0,5415.0,45.0,126.015,9495020533.0
10.897,0.0,89904.0,5415.0,45.0,126.038,9495033154.0
10.998,0.0,89904.0,5415.0,45.0,126.092,9495045743.0
11.099,0.0,89904.0,5415.0,45.0,126.091,9495058326.0
11.198,0.0,89904.0,5415.0,45.0,126.079,9495070925.0
11.297,0.0,89904.0,5415.0,45.0,126.096,9495083532.0
11.397,0.0,89904.0,5415.0,45.0,126.083,9495096104.0
11.498,0.0,89904.0,5415.0,45.0,126.084,9495108720.0
11.597,0.0,89904.0,5415.0,45.0,126.08,9495121332.0
11.698,0.0,89904.0,5415.0,45.0,126.085,9495133930.0
11.798,0.0,89904.0,5415.0,45.0,126.084,9495146531.0
11.898,0.0,89904.0,5415.0,45.0,126.092,9495159141.0
11.998,0.0,89904.0,5415.0,45.0,126.089,9495171754.0
12.096,0.0,89904.0,5415.0,45.0,126.089,9495171754.0
12.198,0.0,89904.0,5415.0,45.0,126.135,9495184351.0
12.298,0.0,89904.0,5415.0,45.0,126.091,9495196933.0
12.398,0.0,89904.0,5415.0,45.0,126.09,9495209527.0
12.497,0.0,89904.0,5415.0,45.0,126.096,9495222129.0
12.598,0.0,89904.0,5415.0,45.0,126.078,9495234711.0
12.697,0.0,89904.0,5415.0,45.0,126.064,9495247322.0
12.797,0.0,89904.0,5415.0,45.0,126.043,9495259908.0
12.897,0.0,89904.0,5415.0,45.0,126.055,9495272519.0
12.997,0.0,89904.0,5415.0,45.0,126.061,9495285130.0
13.097,0.0,89904.0,5415.0,45.0,126.05,9495297733.0
13.197,0.0,89904.0,5415.0,45.0,126.037,9495310320.0
13.298,0.0,89904.0,5415.0,45.0,126.066,9495322921.0
13.398,0.0,89904.0,5415.0,45.0,126.067,9495348140.0
13.497,0.0,89904.0,5415.0,45.0,126.093,9495360727.0
13.598,0.0,89904.0,5415.0,45.0,126.068,9495373314.0
13.697,0.0,89904.0,5415.0,45.0,126.07,9495385903.0
13.798,0.0,89904.0,5415.0,45.0,126.085,9495398503.0
13.897,0.0,89904.0,5415.0,45.0,126.061,9495411072.0
13.998,0.0,89904.0,5415.0,45.0,126.02,9495423674.0
14.098,0.0,89904.0,5415.0,45.0,126.024,9495436273.0
14.197,0.0,89904.0,5415.0,45.0,126.018,9495448871.0
14.298,0.0,89904.0,5415.0,45.0,126.001,9495461460.0
14.398,0.0,89904.0,5415.0,45.0,125.974,9495474039.0
14.496,0.0,89904.0,5415.0,45.0,125.946,9495486617.0
14.597,0.0,89904.0,5415.0,45.0,125.949,9495499212.0
14.699,0.0,89904.0,5415.0,45.0,125.944,9495511799.0
14.798,0.0,89904.0,5415.0,45.0,125.946,9495524411.0
14.898,0.0,89904.0,5415.0,45.0,125.946,9495524411.0
14.999,0.0,89904.0,5415.0,45.0,125.972,9495537026.0
15.097,0.0,89904.0,5415.0,45.0,125.97,9495549611.0
15.197,0.0,89904.0,5415.0,45.0,125.99,9495562213.0
15.297,0.0,89904.0,5415.0,45.0,125.983,9495574806.0
15.398,0.0,89904.0,5415.0,45.0,126.035,9495587398.0
15.498,0.0,89904.0,5415.0,45.0,126.033,9495600025.0
15.597,0.0,89904.0,5415.0,45.0,126.042,9495612603.0
15.698,0.0,89904.0,5415.0,45.0,126.057,9495625187.0
15.798,0.0,89904.0,5415.0,45.0,126.052,9495637784.0
15.898,0.0,89904.0,5415.0,45.0,126.038,9495650392.0
15.998,0.0,89904.0,5415.0,45.0,126.093,9495662999.0
16.098,0.0,89904.0,5415.0,45.0,126.123,9495675639.0
16.197,0.0,89904.0,5415.0,45.0,126.112,9495700860.0
16.298,0.0,89904.0,5415.0,45.0,126.114,9495713455.0
16.397,0.0,89904.0,5415.0,45.0,126.109,9495726047.0
16.498,0.0,89904.0,5415.0,45.0,126.082,9495738660.0
16.597,0.0,89904.0,5415.0,45.0,126.124,9495751284.0
16.697,0.0,89904.0,5415.0,45.0,126.138,9495763882.0
16.798,0.0,89904.0,5415.0,45.0,126.138,9495776500.0
16.899,0.0,89904.0,5415.0,45.0,126.145,9495789103.0
16.998,0.0,89904.0,5415.0,45.0,126.116,9495801701.0
17.098,0.0,89904.0,5415.0,45.0,126.116,9495814297.0
17.198,0.0,89904.0,5415.0,45.0,126.118,9495826906.0
17.297,0.0,89904.0,5415.0,45.0,126.137,9495839509.0
17.398,0.0,89904.0,5415.0,45.0,126.131,9495852088.0
17.498,0.0,89904.0,5415.0,45.0,126.146,9495864697.0
17.598,0.0,89904.0,5415.0,45.0,126.127,9495877308.0
17.699,0.0,89904.0,5415.0,45.0,126.127,9495877308.0
17.797,0.0,89904.0,5415.0,45.0,126.1,9495889917.0
17.897,0.0,89904.0,5415.0,45.0,126.111,9495902520.0
17.997,0.0,89904.0,5415.0,45.0,126.108,9495915136.0
18.098,0.0,89904.0,5415.0,45.0,126.096,9495927730.0
18.198,0.0,89904.0,5415.0,45.0,126.077,9495940327.0
18.298,0.0,89904.0,5415.0,45.0,126.062,9495952916.0
18.398,0.0,89904.0,5415.0,45.0,126.034,9495965546.0
18.497,0.0,89904.0,5415.0,45.0,126.056,9495978129.0
18.597,0.0,89904.0,5415.0,45.0,126.047,9495990705.0
18.698,0.0,89904.0,5415.0,45.0,126.066,9496003324.0
18.797,0.0,89904.0,5415.0,45.0,126.05,9496015908.0
18.898,0.0,89904.0,5415.0,45.0,126.033,9496028499.0
18.997,0.0,89904.0,5415.0,45.0,126.039,9496053721.0
19.098,0.0,89904.0,5415.0,45.0,126.05,9496066310.0
19.197,0.0,89904.0,5415.0,45.0,126.063,9496078906.0
19.298,0.0,89904.0,5415.0,45.0,126.069,9496091480.0
19.398,0.0,89904.0,5415.0,45.0,126.061,9496104092.0
19.496,0.0,89904.0,5415.0,45.0,126.05,9496116680.0
19.598,0.0,89904.0,5415.0,45.0,126.082,9496129282.0
19.698,0.0,89904.0,5415.0,45.0,126.064,9496141871.0
19.798,0.0,89904.0,5415.0,45.0,126.052,9496154445.0
19.897,0.0,89904.0,5415.0,45.0,126.023,9496167027.0
19.998,0.0,89904.0,5415.0,45.0,126.013,9496179627.0
20.099,0.0,89904.0,5415.0,45.0,125.999,9496192217.0
20.198,0.0,89904.0,5415.0,45.0,125.965,9496204816.0
20.299,0.0,89904.0,5415.0,45.0,125.979,9496217426.0
20.398,0.0,89904.0,5415.0,45.0,126.007,9496230026.0
20.498,0.0,89904.0,5415.0,45.0,125.995,9496242622.0
20.599,0.0,89904.0,5415.0,45.0,125.992,9496242622.0
20.699,0.0,89904.0,5415.0,45.0,125.995,9496255244.0
20.797,0.0,89904.0,5415.0,45.0,126.031,9496267839.0
20.898,0.0,89904.0,5415.0,45.0,126.049,9496280439.0
20.998,0.0,89904.0,5415.0,45.0,126.04,9496293033.0
21.097,0.0,89904.0,5415.0,45.0,126.052,9496305606.0
21.198,0.0,89904.0,5415.0,45.0,126.061,9496318202.0
21.298,0.0,89904.0,5415.0,45.0,126.045,9496330797.0
21.398,0.0,89904.0,5415.0,45.0,126.046,9496343388.0
21.497,0.0,89904.0,5415.0,45.0,126.06,9496355994.0
21.598,0.0,89904.0,5415.0,45.0,126.054,9496368602.0
21.697,0.0,89904.0,5415.0,45.0,126.062,9496381218.0
21.798,0.0,89904.0,5415.0,45.0,126.046,9496393786.0
21.898,0.0,89904.0,5415.0,45.0,126.032,9496418980.0
21.998,0.0,89904.0,5415.0,45.0,126.035,9496431576.0
22.098,0.0,89904.0,5415.0,45.0,126.041,9496444155.0
22.197,0.0,89904.0,5415.0,45.0,126.03,9496456771.0
22.298,0.0,89904.0,5415.0,45.0,126.045,9496469362.0
22.398,0.0,89904.0,5415.0,45.0,126.056,9496481951.0
22.498,0.0,89904.0,5415.0,45.0,126.049,9496494558.0
22.598,0.0,89904.0,5415.0,45.0,126.027,9496507168.0
22.697,0.0,89904.0,5415.0,45.0,126.039,9496519766.0
22.798,0.0,89904.0,5415.0,45.0,126.043,9496532394.0
22.898,0.0,89904.0,5415.0,45.0,126.096,9496545009.0
22.998,0.0,89904.0,5415.0,45.0,126.109,9496557618.0
23.097,0.0,89904.0,5415.0,45.0,126.122,9496570222.0
23.196,0.0,89904.0,5415.0,45.0,126.154,9496582850.0
23.298,0.0,89904.0,5415.0,45.0,126.138,9496595459.0
23.396,0.0,89904.0,5415.0,45.0,126.15,9496608055.0
23.498,0.0,89904.0,5415.0,45.0,126.175,9496620644.0
23.598,0.0,89904.0,5415.0,45.0,126.158,9496620644.0
23.697,0.0,89904.0,5415.0,45.0,126.151,9496633253.0
23.798,0.0,89904.0,5415.0,45.0,126.136,9496645846.0
23.898,0.0,89904.0,5415.0,45.0,126.079,9496658403.0
23.998,0.0,89904.0,5415.0,45.0,126.058,9496671019.0
24.098,0.0,89904.0,5415.0,45.0,126.001,9496683595.0
24.199,0.0,89904.0,5415.0,45.0,126.012,9496696178.0
24.298,0.0,89904.0,5415.0,45.0,125.988,9496708785.0
24.398,0.0,89904.0,5415.0,45.0,125.954,9496721391.0
24.498,0.0,89904.0,5415.0,45.0,125.986,9496733983.0
24.598,0.0,89904.0,5415.0,45.0,125.989,9496746562.0
24.698,0.0,89904.0,5415.0,45.0,125.986,9496759170.0
24.797,0.0,89904.0,5415.0,45.0,125.998,9496771781.0
24.896,0.0,89904.0,5415.0,45.0,125.992,9496784346.0
24.998,0.0,89904.0,5415.0,45.0,126.009,9496809541.0
25.098,0.0,89904.0,5415.0,45.0,126.045,9496822125.0
25.197,0.0,89904.0,5415.0,45.0,125.984,9496834711.0
25.296,0.0,89904.0,5415.0,45.0,125.987,9496847288.0
25.397,0.0,89904.0,5415.0,45.0,125.986,9496859889.0
25.498,0.0,89904.0,5415.0,45.0,125.976,9496872474.0
25.598,0.0,89904.0,5415.0,45.0,125.965,9496885061.0
25.698,0.0,89904.0,5415.0,45.0,125.962,9496897648.0
25.798,0.0,89904.0,5415.0,45.0,125.964,9496910255.0
