elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89904.0,5415.0,46.0,126.117,10115767833.0
0.098,0.0,89904.0,5415.0,46.0,126.122,10115780440.0
0.197,0.0,89904.0,5415.0,46.0,126.139,10115793061.0
0.297,0.0,89904.0,5415.0,46.0,126.126,10115805668.0
0.397,0.0,89904.0,5415.0,46.0,126.094,10115818240.0
0.497,0.0,89904.0,5415.0,46.0,126.114,10115830832.0
0.598,0.0,89904.0,5415.0,46.0,126.08,10115843435.0
0.696,0.0,89904.0,5415.0,46.0,126.059,10115856011.0
0.797,0.0,89904.0,5415.0,46.0,126.068,10115868603.0
0.896,0.0,89904.0,5415.0,46.0,126.073,10115881209.0
0.996,0.0,89904.0,5415.0,46.0,126.02,10115893790.0
1.097,0.0,89904.0,5415.0,46.0,125.968,10115906352.0
1.197,0.0,89904.0,5415.0,46.0,125.923,10115918906.0
1.297,0.0,89904.0,5415.0,46.0,125.912,10115931494.0
1.397,0.0,89904.0,5415.0,46.0,125.943,10115956693.0
1.497,0.0,89904.0,5415.0,46.0,125.913,10115969260.0
1.597,0.0,89904.0,5415.0,46.0,125.884,10115981839.0
1.697,0.0,89904.0,5415.0,46.0,125.888,10115994432.0
1.797,0.0,89904.0,5415.0,46.0,125.888,10115994432.0
1.897,0.0,89904.0,5415.0,46.0,125.87,10116007025.0
1.997,0.0,89904.0,5415.0,46.0,125.87,10116019630.0
2.097,0.0,89904.0,5415.0,46.0,125.899,10116032213.0
2.197,0.0,89904.0,5415.0,46.0,125.923,10116044791.0
2.297,0.0,89904.0,5415.0,46.0,125.921,10116057374.0
2.397,0.0,89904.0,5415.0,46.0,125.934,10116069956.0
2.497,0.0,89904.0,5415.0,46.0,125.918,10116082558.0
2.597,0.0,89904.0,5415.0,46.0,125.923,10116095125.0
2.697,0.0,89904.0,5415.0,46.0,125.911,10116107706.0
2.795,0.0,89904.0,5415.0,46.0,125.942,10116120275.0
2.897,0.0,89904.0,5415.0,46.0,125.928,10116132882.0
2.997,0.0,89904.0,5415.0,46.0,125.925,10116145470.0
3.097,0.0,89904.0,5415.0,46.0,125.941,10116158079.0
3.197,0.0,89904.0,5415.0,46.0,125.948,10116170660.0
3.296,0.0,89904.0,5415.0,46.0,125.958,10116183252.0
3.396,0.0,89904.0,5415.0,46.0,125.949,10116195846.0
3.497,0.0,89904.0,5415.0,46.0,125.947,10116208425.0
3.596,0.0,89904.0,5415.0,46.0,125.941,10116221001.0
3.695,0.0,89904.0,5415.0,46.0,125.935,10116233566.0
3.797,0.0,89904.0,5415.0,46.0,125.915,10116246134.0
3.895,0.0,89904.0,5415.0,46.0,125.88,10116258699.0
3.997,0.0,89904.0,5415.0,46.0,125.878,10116271267.0
4.097,0.0,89904.0,5415.0,46.0,125.868,10116283864.0
4.196,0.0,89904.0,5415.0,46.0,125.873,10116296455.0
4.297,0.0,89904.0,5415.0,46.0,125.847,10116321609.0
4.397,0.0,89904.0,5415.0,46.0,125.825,10116334188.0
4.497,0.0,89904.0,5415.0,46.0,125.848,10116346783.0
4.597,0.0,89904.0,5415.0,46.0,125.851,10116359380.0
4.697,0.0,89904.0,5415.0,46.0,125.897,10116371963.0
4.796,0.0,89904.0,5415.0,46.0,125.897,10116371963.0
4.896,0.0,89904.0,5415.0,46.0,125.92,10116384579.0
4.997,0.0,89904.0,5415.0,46.0,125.948,10116397145.0
5.097,0.0,89904.0,5415.0,46.0,125.916,10116409709.0
5.197,0.0,89904.0,5415.0,46.0,125.896,10116422291.0
5.296,0.0,89904.0,5415.0,46.0,125.887,10116434882.0
5.396,0.0,89904.0,5415.0,46.0,125.917,10116447441.0
5.497,0.0,89904.0,5415.0,46.0,125.898,10116459997.0
5.597,0.0,89904.0,5415.0,46.0,125.852,10116472571.0
5.697,0.0,89904.0,5415.0,46.0,125.848,10116485152.0
5.797,0.0,89904.0,5415.0,46.0,125.761,10116497710.0
5.897,0.0,89904.0,5415.0,46.0,125.751,10116510276.0
5.997,0.0,89904.0,5415.0,46.0,125.775,10116522849.0
6.096,0.0,89904.0,5415.0,46.0,125.772,10116535422.0
6.196,0.0,89904.0,5415.0,46.0,125.766,10116547980.0
6.297,0.0,89904.0,5415.0,46.0,125.752,10116560571.0
6.397,0.0,89904.0,5415.0,46.0,125.757,10116573144.0
6.497,0.0,89904.0,5415.0,46.0,125.791,10116585707.0
6.597,0.0,89904.0,5415.0,46.0,125.788,10116598306.0
6.697,0.0,89904.0,5415.0,46.0,125.795,10116610886.0
6.797,0.0,89904.0,5415.0,46.0,125.832,10116623471.0
6.897,0.0,89904.0,5415.0,46.0,125.821,10116636040.0
6.997,0.0,89904.0,5415.0,46.0,125.849,10116648629.0
7.096,0.0,89904.0,5415.0,46.0,125.839,10116661201.0
7.197,0.0,89904.0,5415.0,46.0,125.832,10116673772.0
7.297,0.0,89904.0,5415.0,46.0,125.822,10116698949.0
7.395,0.0,89904.0,5415.0,46.0,125.845,10116711538.0
7.497,0.0,89904.0,5415.0,46.0,125.863,10116724115.0
7.597,0.0,89904.0,5415.0,46.0,125.884,10116736719.0
7.697,0.0,89904.0,5415.0,46.0,125.884,10116736719.0
7.796,0.0,89904.0,5415.0,46.0,125.906,10116749283.0
7.896,0.0,89904.0,5415.0,46.0,125.872,10116761880.0
7.996,0.0,89904.0,5415.0,46.0,125.914,10116774469.0
8.096,0.0,89904.0,5415.0,46.0,125.884,10116787072.0
8.196,0.0,89904.0,5415.0,46.0,125.925,10116799644.0
8.297,0.0,89904.0,5415.0,46.0,125.955,10116812213.0
8.397,0.0,89904.0,5415.0,46.0,125.936,10116824766.0
8.497,0.0,89904.0,5415.0,46.0,125.911,10116837327.0
8.597,0.0,89904.0,5415.0,46.0,125.882,10116849902.0
8.696,0.0,89904.0,5415.0,46.0,125.867,10116862503.0
8.797,0.0,89904.0,5415.0,46.0,125.917,10116875090.0
8.897,0.0,89904.0,5415.0,46.0,125.878,10116887665.0
8.997,0.0,89904.0,5415.0,46.0,125.864,10116900243.0
9.097,0.0,89904.0,5415.0,46.0,125.863,10116912817.0
9.195,0.0,89904.0,5415.0,46.0,125.884,10116925437.0
9.297,0.0,89904.0,5415.0,46.0,125.907,10116938030.0
9.396,0.0,89904.0,5415.0,46.0,125.928,10116950607.0
9.497,0.0,89904.0,5415.0,46.0,125.95,10116963205.0
9.598,0.0,89904.0,5415.0,46.0,125.947,10116975792.0
9.697,0.0,89904.0,5415.0,46.0,125.926,10116988364.0
9.795,0.0,89904.0,5415.0,46.0,125.927,10117000952.0
9.897,0.0,89904.0,5415.0,46.0,125.937,10117013559.0
9.995,0.0,89904.0,5415.0,46.0,125.91,10117026100.0
10.096,0.0,89904.0,5415.0,46.0,125.888,10117038662.0
10.196,0.0,89904.0,5415.0,46.0,125.851,10117051216.0
10.297,0.0,89904.0,5415.0,46.0,125.872,10117063807.0
10.397,0.0,89904.0,5415.0,46.0,125.878,10117089006.0
10.497,0.0,89904.0,5415.0,46.0,125.875,10117101594.0
10.596,0.0,89904.0,5415.0,46.0,125.854,10117114153.0
10.696,0.0,89904.0,5415.0,46.0,125.837,10117126750.0
10.796,0.0,89904.0,5415.0,46.0,125.84,10117139337.0
10.897,0.0,89904.0,5415.0,46.0,125.843,10117151907.0
10.997,0.0,89904.0,5415.0,46.0,125.843,10117151907.0
11.097,0.0,89904.0,5415.0,46.0,125.908,10117164508.0
11.197,0.0,89904.0,5415.0,46.0,125.908,10117177088.0
11.297,0.0,89904.0,5415.0,46.0,125.918,10117189645.0
11.397,0.0,89904.0,5415.0,46.0,125.906,10117202204.0
11.497,0.0,89904.0,5415.0,46.0,125.88,10117214791.0
11.597,0.0,89904.0,5415.0,46.0,125.871,10117227357.0
11.697,0.0,89904.0,5415.0,46.0,125.89,10117239920.0
11.797,0.0,89904.0,5415.0,46.0,125.874,10117252481.0
11.896,0.0,89904.0,5415.0,46.0,125.857,10117265075.0
11.997,0.0,89904.0,5415.0,46.0,125.848,10117277655.0
12.097,0.0,89904.0,5415.0,46.0,125.865,10117290281.0
12.197,0.0,89904.0,5415.0,46.0,125.879,10117302855.0
12.297,0.0,89904.0,5415.0,46.0,125.857,10117315444.0
12.397,0.0,89904.0,5415.0,46.0,125.827,10117327986.0
12.497,0.0,89904.0,5415.0,46.0,125.829,10117340557.0
12.597,0.0,89904.0,5415.0,46.0,125.839,10117353155.0
12.697,0.0,89904.0,5415.0,46.0,125.852,10117365721.0
12.796,0.0,89904.0,5415.0,46.0,125.866,10117378297.0
12.896,0.0,89904.0,5415.0,46.0,125.88,10117390889.0
12.997,0.0,89904.0,5415.0,46.0,125.846,10117403492.0
13.096,0.0,89904.0,5415.0,46.0,125.834,10117416056.0
13.196,0.0,89904.0,5415.0,46.0,125.838,10117428620.0
13.297,0.0,89904.0,5415.0,46.0,125.839,10117441195.0
13.397,0.0,89904.0,5415.0,46.0,125.884,10117453771.0
13.497,0.0,89904.0,5415.0,46.0,125.872,10117466358.0
13.597,0.0,89904.0,5415.0,46.0,125.828,10117491494.0
13.697,0.0,89904.0,5415.0,46.0,125.856,10117504079.0
13.797,0.0,89904.0,5415.0,46.0,125.832,10117516673.0
13.896,0.0,89904.0,5415.0,46.0,125.811,10117529230.0
13.997,0.0,89904.0,5415.0,46.0,125.812,10117541823.0
14.096,0.0,89904.0,5415.0,46.0,125.848,10117554405.0
14.197,0.0,89904.0,5415.0,46.0,125.848,10117554405.0
14.297,0.0,89904.0,5415.0,46.0,125.847,10117566993.0
14.396,0.0,89904.0,5415.0,46.0,125.859,10117579550.0
14.497,0.0,89904.0,5415.0,46.0,125.811,10117592104.0
14.597,0.0,89904.0,5415.0,46.0,125.835,10117604705.0
14.697,0.0,89904.0,5415.0,46.0,125.872,10117617285.0
14.797,0.0,89904.0,5415.0,46.0,125.845,10117629864.0
14.897,0.0,89904.0,5415.0,46.0,125.845,10117642453.0
14.997,0.0,89904.0,5415.0,46.0,125.848,10117655043.0
15.097,0.0,89904.0,5415.0,46.0,125.875,10117667631.0
15.197,0.0,89904.0,5415.0,46.0,125.871,10117680211.0
15.297,0.0,89904.0,5415.0,46.0,125.882,10117692815.0
15.397,0.0,89904.0,5415.0,46.0,125.897,10117705397.0
15.497,0.0,89904.0,5415.0,46.0,125.957,10117718007.0
15.597,0.0,89904.0,5415.0,46.0,125.945,10117730590.0
15.697,0.0,89904.0,5415.0,46.0,125.921,10117743160.0
15.797,0.0,89904.0,5415.0,46.0,125.914,10117755714.0
15.896,0.0,89904.0,5415.0,46.0,125.895,10117768278.0
15.997,0.0,89904.0,5415.0,46.0,125.904,10117780851.0
16.097,0.0,89904.0,5415.0,46.0,125.901,10117793459.0
16.197,0.0,89904.0,5415.0,46.0,125.878,10117806043.0
16.301,0.0,89904.0,5415.0,46.0,125.833,10117818590.0
16.397,0.0,89904.0,5415.0,46.0,125.805,10117831153.0
16.497,0.0,89904.0,5415.0,46.0,125.8,10117843737.0
16.597,0.0,89904.0,5415.0,46.0,125.824,10117856320.0
16.697,0.0,89904.0,5415.0,46.0,125.866,10117881519.0
16.797,0.0,89904.0,5415.0,46.0,125.882,10117894094.0
16.897,0.0,89904.0,5415.0,46.0,125.861,10117906654.0
16.997,0.0,89904.0,5415.0,46.0,125.849,10117919227.0
17.097,0.0,89904.0,5415.0,46.0,125.849,10117919227.0
17.197,0.0,89904.0,5415.0,46.0,125.849,10117931835.0
17.297,0.0,89904.0,5415.0,46.0,125.861,10117944404.0
17.397,0.0,89904.0,5415.0,46.0,125.884,10117956973.0
17.497,0.0,89904.0,5415.0,46.0,125.869,10117969538.0
17.597,0.0,89904.0,5415.0,46.0,125.855,10117982125.0
17.697,0.0,89904.0,5415.0,46.0,125.871,10117994728.0
17.797,0.0,89904.0,5415.0,46.0,125.875,10118007288.0
17.897,0.0,89904.0,5415.0,46.0,125.858,10118019872.0
17.997,0.0,89904.0,5415.0,46.0,125.878,10118032455.0
18.097,0.0,89904.0,5415.0,46.0,125.891,10118045039.0
18.197,0.0,89904.0,5415.0,46.0,125.865,10118057597.0
18.297,0.0,89904.0,5415.0,46.0,125.859,10118070190.0
18.397,0.0,89904.0,5415.0,46.0,125.886,10118082758.0
18.497,0.0,89904.0,5415.0,46.0,125.897,10118095362.0
18.596,0.0,89904.0,5415.0,46.0,125.873,10118107935.0
18.697,0.0,89904.0,5415.0,46.0,125.852,10118120518.0
18.797,0.0,89904.0,5415.0,46.0,125.852,10118133088.0
18.896,0.0,89904.0,5415.0,46.0,125.838,10118145665.0
18.997,0.0,89904.0,5415.0,46.0,125.817,10118158248.0
19.097,0.0,89904.0,5415.0,46.0,125.819,10118170805.0
19.197,0.0,89904.0,5415.0,46.0,125.811,10118183367.0
19.297,0.0,89904.0,5415.0,46.0,125.807,10118195955.0
19.396,0.0,89904.0,5415.0,46.0,125.85,10118208542.0
19.497,0.0,89904.0,5415.0,46.0,125.831,10118221134.0
19.597,0.0,89904.0,5415.0,46.0,125.843,10118246302.0
19.697,0.0,89904.0,5415.0,46.0,125.829,10118258863.0
19.797,0.0,89904.0,5415.0,46.0,125.814,10118271437.0
19.897,0.0,89904.0,5415.0,46.0,125.844,10118284014.0
19.997,0.0,89904.0,5415.0,46.0,125.844,10118284014.0
20.097,0.0,89904.0,5415.0,46.0,125.865,10118296596.0
20.197,0.0,89904.0,5415.0,46.0,125.889,10118309193.0
