elapsed_s,time_wait_count
0.000,637
2.015,631
4.029,631
6.044,622
8.057,622
10.072,16
12.172,41
14.760,41
16.772,41
18.786,41
20.799,41
22.817,58
24.828,63
26.841,59
28.859,59
30.870,57
33.673,62
35.684,62
37.698,63
39.715,63
41.729,64
44.063,70
46.076,69
48.090,69
50.105,69
52.959,81
54.975,83
56.988,83
59.000,82
61.014,84
63.027,84
65.041,84
67.055,84
69.066,84
71.082,82
73.094,86
75.106,63
77.119,63
79.132,63
81.144,67
83.156,50
85.169,56
87.182,53
