elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89904.0,5415.0,47.0,125.922,2770740006.0
0.098,0.0,89904.0,5415.0,47.0,125.947,2770752582.0
0.197,0.0,89904.0,5415.0,47.0,125.928,2770765164.0
0.298,0.0,89904.0,5415.0,47.0,125.952,2770777757.0
0.397,0.0,89904.0,5415.0,47.0,125.949,2770790331.0
0.497,0.0,89904.0,5415.0,47.0,125.936,2770815506.0
0.597,0.0,89904.0,5415.0,47.0,125.936,2770815506.0
0.697,0.0,89904.0,5415.0,47.0,125.93,2770828092.0
0.797,0.0,89904.0,5415.0,47.0,125.919,2770840678.0
0.896,0.0,89904.0,5415.0,47.0,125.911,2770853255.0
0.997,0.0,89904.0,5415.0,47.0,125.917,2770865867.0
1.096,0.0,89904.0,5415.0,47.0,125.928,2770878430.0
1.197,0.0,89904.0,5415.0,47.0,125.929,2770891043.0
1.297,0.0,89904.0,5415.0,47.0,125.936,2770903632.0
1.397,0.0,89904.0,5415.0,47.0,125.954,2770916213.0
1.497,0.0,89904.0,5415.0,47.0,125.939,2770928803.0
1.595,0.0,89904.0,5415.0,47.0,125.928,2770941369.0
1.697,0.0,89904.0,5415.0,47.0,125.897,2770953957.0
1.797,0.0,89904.0,5415.0,47.0,125.91,2770966527.0
1.896,0.0,89904.0,5415.0,47.0,125.947,2770979135.0
1.997,0.0,89904.0,5415.0,47.0,125.917,2770991699.0
2.096,0.0,89904.0,5415.0,47.0,125.9,2771004267.0
2.197,0.0,89904.0,5415.0,47.0,125.874,2771016853.0
2.297,0.0,89904.0,5415.0,47.0,125.875,2771029441.0
2.397,0.0,89904.0,5415.0,47.0,125.87,2771042017.0
2.497,0.0,89904.0,5415.0,47.0,125.873,2771054598.0
2.597,0.0,89904.0,5415.0,47.0,125.881,2771067174.0
2.697,0.0,89904.0,5415.0,47.0,125.916,2771079776.0
2.797,0.0,89904.0,5415.0,47.0,125.901,2771092331.0
2.897,0.0,89904.0,5415.0,47.0,125.863,2771104911.0
2.996,0.0,89904.0,5415.0,47.0,125.872,2771117488.0
3.097,0.0,89904.0,5415.0,47.0,125.887,2771130061.0
3.197,0.0,89904.0,5415.0,47.0,125.853,2771142627.0
3.297,0.0,89904.0,5415.0,47.0,125.851,2771155204.0
3.397,0.0,89904.0,5415.0,47.0,125.83,2771180337.0
3.496,0.0,89904.0,5415.0,47.0,125.83,2771192907.0
3.596,0.0,89904.0,5415.0,47.0,125.792,2771192907.0
3.697,0.0,89904.0,5415.0,47.0,125.798,2771205489.0
3.797,0.0,89904.0,5415.0,47.0,125.763,2771218056.0
3.897,0.0,89904.0,5415.0,47.0,125.784,2771230661.0
3.997,0.0,89904.0,5415.0,47.0,125.788,2771243249.0
4.097,0.0,89904.0,5415.0,47.0,125.795,2771255814.0
4.197,0.0,89904.0,5415.0,47.0,125.823,2771268418.0
4.297,0.0,89904.0,5415.0,47.0,125.831,2771280993.0
4.397,0.0,89904.0,5415.0,47.0,125.815,2771293575.0
4.497,0.0,89904.0,5415.0,47.0,125.826,2771306128.0
4.597,0.0,89904.0,5415.0,47.0,125.829,2771318694.0
4.697,0.0,89904.0,5415.0,47.0,125.829,2771331279.0
4.796,0.0,89904.0,5415.0,47.0,125.839,2771343851.0
4.897,0.0,89904.0,5415.0,47.0,125.818,2771356434.0
4.997,0.0,89904.0,5415.0,47.0,125.83,2771369024.0
5.097,0.0,89904.0,5415.0,47.0,125.845,2771381598.0
5.197,0.0,89904.0,5415.0,47.0,125.838,2771394183.0
5.297,0.0,89904.0,5415.0,47.0,125.809,2771406735.0
5.397,0.0,89904.0,5415.0,47.0,125.792,2771419290.0
5.496,0.0,89904.0,5415.0,47.0,125.812,2771431861.0
5.597,0.0,89904.0,5415.0,47.0,125.838,2771444447.0
5.697,0.0,89904.0,5415.0,47.0,125.843,2771457034.0
5.797,0.0,89904.0,5415.0,47.0,125.836,2771469603.0
5.897,0.0,89904.0,5415.0,47.0,125.884,2771482234.0
5.997,0.0,89904.0,5415.0,47.0,125.895,2771494826.0
6.097,0.0,89904.0,5415.0,47.0,125.899,2771507414.0
6.197,0.0,89904.0,5415.0,47.0,125.882,2771519963.0
6.297,0.0,89904.0,5415.0,47.0,125.906,2771532544.0
6.397,0.0,89904.0,5415.0,47.0,125.914,2771557707.0
6.497,0.0,89904.0,5415.0,47.0,125.914,2771570295.0
6.597,0.0,89904.0,5415.0,47.0,125.923,2771570295.0
6.697,0.0,89904.0,5415.0,47.0,125.912,2771582868.0
6.797,0.0,89904.0,5415.0,47.0,125.904,2771595428.0
6.897,0.0,89904.0,5415.0,47.0,125.904,2771608003.0
6.997,0.0,89904.0,5415.0,47.0,125.827,2771620599.0
7.095,0.0,89904.0,5415.0,47.0,125.859,2771633200.0
7.196,0.0,89904.0,5415.0,47.0,125.861,2771645778.0
7.297,0.0,89904.0,5415.0,47.0,125.865,2771658356.0
7.397,0.0,89904.0,5415.0,47.0,125.818,2771670897.0
7.497,0.0,89904.0,5415.0,47.0,125.818,2771683461.0
7.597,0.0,89904.0,5415.0,47.0,125.808,2771696042.0
7.697,0.0,89904.0,5415.0,47.0,125.786,2771708602.0
7.797,0.0,89904.0,5415.0,47.0,125.807,2771721177.0
7.897,0.0,89904.0,5415.0,47.0,125.803,2771733737.0
7.996,0.0,89904.0,5415.0,47.0,125.778,2771746313.0
8.097,0.0,89904.0,5415.0,47.0,125.776,2771758904.0
8.197,0.0,89904.0,5415.0,47.0,125.747,2771771477.0
8.297,0.0,89904.0,5415.0,47.0,125.778,2771784043.0
8.397,0.0,89904.0,5415.0,47.0,125.779,2771796593.0
8.497,0.0,89904.0,5415.0,47.0,125.782,2771809145.0
8.597,0.0,89904.0,5415.0,47.0,125.793,2771821748.0
8.697,0.0,89904.0,5415.0,47.0,125.833,2771834315.0
8.797,0.0,89904.0,5415.0,47.0,125.842,2771846910.0
8.896,0.0,89904.0,5415.0,47.0,125.845,2771859490.0
8.997,0.0,89904.0,5415.0,47.0,125.857,2771872070.0
9.097,0.0,89904.0,5415.0,47.0,125.821,2771884655.0
9.197,0.0,89904.0,5415.0,47.0,125.825,2771897198.0
9.297,0.0,89904.0,5415.0,47.0,125.825,2771922360.0
9.397,0.0,89904.0,5415.0,47.0,125.803,2771922360.0
9.497,0.0,89904.0,5415.0,47.0,125.829,2771934938.0
9.597,0.0,89904.0,5415.0,47.0,125.867,2771947493.0
9.697,0.0,89904.0,5415.0,47.0,125.815,2771960070.0
9.797,0.0,89904.0,5415.0,47.0,125.817,2771972659.0
9.897,0.0,89904.0,5415.0,47.0,125.821,2771985256.0
9.997,0.0,89904.0,5415.0,47.0,125.83,2771997835.0
10.097,0.0,89904.0,5415.0,47.0,125.83,2772010427.0
10.197,0.0,89904.0,5415.0,47.0,125.886,2772023001.0
10.297,0.0,89904.0,5415.0,47.0,125.898,2772035579.0
10.395,0.0,89904.0,5415.0,47.0,125.894,2772048167.0
10.497,0.0,89904.0,5415.0,47.0,125.871,2772060740.0
10.597,0.0,89904.0,5415.0,47.0,125.896,2772073307.0
10.697,0.0,89904.0,5415.0,47.0,125.895,2772085880.0
10.797,0.0,89904.0,5415.0,47.0,125.874,2772098462.0
10.897,0.0,89904.0,5415.0,47.0,125.862,2772111038.0
10.997,0.0,89904.0,5415.0,47.0,125.872,2772123619.0
11.097,0.0,89904.0,5415.0,47.0,125.833,2772136201.0
11.197,0.0,89904.0,5415.0,47.0,125.827,2772148774.0
11.297,0.0,89904.0,5415.0,47.0,125.8,2772161331.0
11.397,0.0,89904.0,5415.0,47.0,125.808,2772173912.0
11.497,0.0,89904.0,5415.0,47.0,125.816,2772186488.0
