elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89904.0,5415.0,47.0,124.922,5545487739.0
0.099,0.0,89904.0,5415.0,47.0,124.833,5545500219.0
0.199,0.0,89904.0,5415.0,47.0,124.855,5545512729.0
0.300,0.0,89904.0,5415.0,47.0,124.875,5545525208.0
0.399,0.0,89904.0,5415.0,47.0,124.817,5545537609.0
0.499,0.0,89904.0,5415.0,47.0,124.804,5545550058.0
0.598,0.0,89904.0,5415.0,47.0,124.798,5545562514.0
0.699,0.0,89904.0,5415.0,47.0,124.783,5545574971.0
0.799,0.0,89904.0,5415.0,47.0,124.719,5545587470.0
0.898,0.0,89904.0,5415.0,47.0,124.706,5545599943.0
0.998,0.0,89904.0,5415.0,47.0,124.69,5545612369.0
1.098,0.0,89904.0,5415.0,47.0,124.717,5545624842.0
1.199,0.0,89904.0,5415.0,47.0,124.68,5545637284.0
1.304,0.0,89904.0,5415.0,47.0,124.647,5545649725.0
1.399,0.0,89904.0,5415.0,47.0,124.619,5545662183.0
1.498,0.0,89904.0,5415.0,47.0,124.652,5545674641.0
1.599,0.0,89904.0,5415.0,47.0,124.645,5545687115.0
1.699,0.0,89904.0,5415.0,47.0,124.672,5545699625.0
1.799,0.0,89904.0,5415.0,47.0,124.72,5545712081.0
1.899,0.0,89904.0,5415.0,47.0,124.707,5545724556.0
1.998,0.0,89904.0,5415.0,47.0,124.676,5545749490.0
2.098,0.0,89904.0,5415.0,47.0,124.71,5545749490.0
2.199,0.0,89904.0,5415.0,47.0,124.726,5545761947.0
2.299,0.0,89904.0,5415.0,47.0,124.735,5545774402.0
2.399,0.0,89904.0,5415.0,47.0,124.741,5545786842.0
2.499,0.0,89904.0,5415.0,47.0,124.74,5545799329.0
2.598,0.0,89904.0,5415.0,47.0,124.741,5545811798.0
2.699,0.0,89904.0,5415.0,47.0,124.747,5545824240.0
2.799,0.0,89904.0,5415.0,47.0,124.676,5545836709.0
2.899,0.0,89904.0,5415.0,47.0,124.732,5545849220.0
2.998,0.0,89904.0,5415.0,47.0,124.746,5545861657.0
3.098,0.0,89904.0,5415.0,47.0,124.78,5545874145.0
3.199,0.0,89904.0,5415.0,47.0,124.764,5545886610.0
3.299,0.0,89904.0,5415.0,47.0,124.758,5545899044.0
3.399,0.0,89904.0,5415.0,47.0,124.719,5545911467.0
3.498,0.0,89904.0,5415.0,47.0,124.714,5545923904.0
3.599,0.0,89904.0,5415.0,47.0,124.668,5545936331.0
3.699,0.0,89904.0,5415.0,47.0,124.663,5545948778.0
3.799,0.0,89904.0,5415.0,47.0,124.649,5545961254.0
3.899,0.0,89904.0,5415.0,47.0,124.618,5545973698.0
3.999,0.0,89904.0,5415.0,47.0,124.584,5545986147.0
4.098,0.0,89904.0,5415.0,47.0,124.561,5545998589.0
4.198,0.0,89904.0,5415.0,47.0,124.559,5546011002.0
4.299,0.0,89904.0,5415.0,47.0,124.549,5546023557.0
4.399,0.0,89904.0,5415.0,47.0,124.646,5546036073.0
4.499,0.0,89904.0,5415.0,47.0,124.729,5546048502.0
4.598,0.0,89904.0,5415.0,47.0,124.742,5546060940.0
4.698,0.0,89904.0,5415.0,47.0,124.742,5546073430.0
4.797,0.0,89904.0,5415.0,47.0,124.763,5546098252.0
4.899,0.0,89904.0,5415.0,47.0,124.702,5546098252.0
4.998,0.0,89904.0,5415.0,47.0,124.636,5546110666.0
5.099,0.0,89904.0,5415.0,47.0,124.634,5546123192.0
5.199,0.0,89904.0,5415.0,47.0,124.668,5546135652.0
5.298,0.0,89904.0,5415.0,47.0,124.718,5546148097.0
5.398,0.0,89904.0,5415.0,47.0,124.608,5546160551.0
5.498,0.0,89904.0,5415.0,47.0,124.558,5546173011.0
5.597,0.0,89904.0,5415.0,47.0,124.657,5546185476.0
5.698,0.0,89904.0,5415.0,47.0,124.577,5546197946.0
5.798,0.0,89904.0,5415.0,47.0,124.662,5546210401.0
