elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90516.0,4803.0,45.0,121.023,365644896344.0
0.097,0.0,90516.0,4803.0,45.0,121.009,365644908396.0
0.213,0.0,90516.0,4803.0,45.0,121.09,365644932578.0
0.301,0.0,90516.0,4803.0,45.0,121.09,365644932578.0
0.398,0.0,90516.0,4803.0,45.0,121.103,365644944699.0
0.498,0.0,90516.0,4803.0,45.0,121.152,365644956848.0
0.615,0.0,90516.0,4803.0,45.0,120.999,365644993085.0
0.720,0.0,90516.0,4803.0,45.0,120.926,365645005135.0
0.798,0.0,90516.0,4803.0,45.0,120.926,365645005135.0
0.897,0.0,90516.0,4803.0,45.0,120.918,365645017202.0
0.998,0.0,90516.0,4803.0,45.0,120.943,365645029310.0
1.102,0.0,90516.0,4803.0,45.0,120.997,365645041409.0
1.197,0.0,90516.0,4803.0,45.0,121.041,365645053547.0
1.317,0.0,90516.0,4803.0,45.0,121.068,365645077787.0
1.398,0.0,90516.0,4803.0,45.0,121.068,365645077787.0
1.497,0.0,90516.0,4803.0,45.0,120.976,365645089822.0
1.610,0.0,90516.0,4803.0,45.0,120.944,365645113922.0
1.698,0.0,90516.0,4803.0,45.0,120.944,365645113922.0
1.797,0.0,90516.0,4803.0,45.0,120.981,365645126019.0
1.912,0.0,90516.0,4803.0,45.0,121.051,365645138122.0
1.996,0.0,90516.0,4803.0,45.0,121.051,365645138122.0
2.098,0.0,90516.0,4803.0,45.0,121.084,365645150251.0
2.211,0.0,90516.0,4803.0,45.0,120.938,365645174519.0
2.296,0.0,90516.0,4803.0,45.0,120.938,365645174519.0
2.398,0.0,90516.0,4803.0,45.0,120.922,365645186572.0
2.506,0.0,90516.0,4803.0,45.0,120.971,365645210669.0
2.598,0.0,90516.0,4803.0,45.0,120.971,365645210669.0
2.701,0.0,90516.0,4803.0,45.0,121.004,365645222755.0
2.805,0.0,90516.0,4803.0,45.0,121.065,365645246958.0
2.897,0.0,90516.0,4803.0,45.0,121.065,365645246958.0
