elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,54.0,89908.0,5411.0,53.0,286.489,197894430610.0
0.131,55.0,89908.0,5411.0,53.0,270.681,197894453974.0
0.201,55.0,89908.0,5411.0,53.0,270.681,197894453974.0
0.302,53.0,89908.0,5411.0,52.0,260.971,197894475296.0
0.416,53.0,89908.0,5411.0,52.0,237.732,197894494600.0
0.504,53.0,89908.0,5411.0,51.0,228.482,197894512889.0
0.599,53.0,89908.0,5411.0,51.0,220.206,197894532410.0
0.730,52.0,89908.0,5411.0,51.0,208.812,197894573239.0
0.805,52.0,89908.0,5411.0,51.0,208.812,197894573239.0
0.901,52.0,89908.0,5411.0,51.0,208.287,197894593624.0
1.005,52.0,89908.0,5411.0,51.0,200.841,197894614676.0
1.113,53.0,89908.0,5411.0,51.0,201.747,197894631037.0
1.197,53.0,89908.0,5411.0,51.0,197.418,197894652308.0
1.301,53.0,89908.0,5411.0,50.0,193.486,197894686631.0
1.416,54.0,89908.0,5411.0,50.0,188.024,197894718184.0
1.505,54.0,89908.0,5411.0,50.0,188.024,197894718184.0
1.600,54.0,89908.0,5411.0,50.0,184.355,197894736806.0
1.702,53.0,89908.0,5411.0,50.0,182.641,197894752834.0
1.804,53.0,89908.0,5411.0,50.0,180.262,197894771489.0
1.903,54.0,89908.0,5411.0,50.0,175.025,197894787751.0
1.999,54.0,89908.0,5411.0,50.0,179.626,197894813270.0
2.106,52.0,89908.0,5411.0,50.0,181.417,197894833553.0
2.201,52.0,89908.0,5411.0,50.0,181.721,197894850959.0
2.301,51.0,89908.0,5411.0,50.0,180.616,197894865924.0
2.408,51.0,89908.0,5411.0,50.0,184.598,197894888670.0
2.505,50.0,89908.0,5411.0,50.0,186.434,197894907706.0
2.606,50.0,89908.0,5411.0,50.0,192.361,197894907706.0
2.710,50.0,89908.0,5411.0,50.0,189.52,197894927562.0
2.814,50.0,89908.0,5411.0,49.0,190.125,197894942237.0
2.903,50.0,89908.0,5411.0,49.0,190.166,197894962128.0
3.016,50.0,89908.0,5411.0,49.0,186.346,197894976766.0
3.102,49.0,89908.0,5411.0,49.0,178.38,197894994524.0
3.200,49.0,89908.0,5411.0,49.0,172.358,197895009561.0
3.314,0.0,89908.0,5411.0,48.0,169.363,197895021979.0
