elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90516.0,4803.0,48.0,125.943,10779347012.0
0.098,0.0,90516.0,4803.0,48.0,126.006,10779359689.0
0.198,0.0,90516.0,4803.0,48.0,126.079,10779372366.0
0.298,0.0,90516.0,4803.0,48.0,126.089,10779384985.0
0.398,0.0,90516.0,4803.0,48.0,126.078,10779397534.0
0.498,0.0,90516.0,4803.0,47.0,126.043,10779410074.0
0.598,0.0,90516.0,4803.0,47.0,126.006,10779422588.0
0.698,0.0,90516.0,4803.0,47.0,125.968,10779435090.0
0.798,0.0,90516.0,4803.0,47.0,125.927,10779447622.0
0.899,0.0,90516.0,4803.0,47.0,125.87,10779460207.0
0.998,0.0,90516.0,4803.0,47.0,125.846,10779472802.0
1.098,0.0,90516.0,4803.0,47.0,125.849,10779485454.0
1.198,0.0,90516.0,4803.0,47.0,125.838,10779498141.0
1.298,0.0,90516.0,4803.0,47.0,125.888,10779510778.0
1.398,0.0,90516.0,4803.0,47.0,125.898,10779523399.0
1.499,0.0,90516.0,4803.0,47.0,125.93,10779535948.0
1.597,0.0,90516.0,4803.0,47.0,125.939,10779548470.0
1.697,0.0,90516.0,4803.0,47.0,125.947,10779560978.0
1.798,0.0,90516.0,4803.0,47.0,125.919,10779573489.0
1.897,0.0,90516.0,4803.0,47.0,125.872,10779586045.0
1.998,0.0,90516.0,4803.0,47.0,125.819,10779598607.0
2.098,0.0,90516.0,4803.0,47.0,125.775,10779611206.0
2.198,0.0,90516.0,4803.0,47.0,125.795,10779623832.0
2.298,0.0,90516.0,4803.0,47.0,125.818,10779636500.0
2.398,0.0,90516.0,4803.0,47.0,125.882,10779649148.0
2.497,0.0,90516.0,4803.0,47.0,125.905,10779661756.0
2.598,0.0,90516.0,4803.0,47.0,125.926,10779686843.0
2.697,0.0,90516.0,4803.0,47.0,125.917,10779699356.0
2.798,0.0,90516.0,4803.0,47.0,125.883,10779711875.0
2.898,0.0,90516.0,4803.0,47.0,125.883,10779724392.0
2.998,0.0,90516.0,4803.0,47.0,125.853,10779724392.0
3.099,0.0,90516.0,4803.0,47.0,125.813,10779736939.0
3.198,0.0,90516.0,4803.0,47.0,125.755,10779749525.0
3.299,0.0,90516.0,4803.0,47.0,125.7,10779762143.0
3.398,0.0,90516.0,4803.0,47.0,125.713,10779774797.0
3.499,0.0,90516.0,4803.0,47.0,125.744,10779787455.0
3.598,0.0,90516.0,4803.0,47.0,125.798,10779800053.0
