elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90708.0,4611.0,47.0,122.511,1917969641.0
0.099,0.0,90708.0,4611.0,47.0,122.452,1917981867.0
0.199,0.0,90708.0,4611.0,47.0,122.419,1917994079.0
0.299,0.0,90708.0,4611.0,47.0,122.402,1918018544.0
0.398,0.0,90708.0,4611.0,47.0,122.379,1918030755.0
0.499,0.0,90708.0,4611.0,47.0,122.365,1918042996.0
0.600,0.0,90708.0,4611.0,47.0,122.328,1918055181.0
0.699,0.0,90708.0,4611.0,47.0,122.303,1918067389.0
0.800,0.0,90708.0,4611.0,47.0,122.234,1918079579.0
0.899,0.0,90708.0,4611.0,47.0,122.174,1918091768.0
0.999,0.0,90708.0,4611.0,47.0,122.122,1918103937.0
1.099,0.0,90708.0,4611.0,47.0,122.102,1918116139.0
1.199,0.0,90708.0,4611.0,47.0,122.07,1918128336.0
1.298,0.0,90708.0,4611.0,47.0,122.054,1918140540.0
1.398,0.0,90708.0,4611.0,47.0,122.056,1918152744.0
1.500,0.0,90708.0,4611.0,47.0,122.062,1918164962.0
1.599,0.0,90708.0,4611.0,47.0,122.048,1918177164.0
1.699,0.0,90708.0,4611.0,47.0,122.029,1918189353.0
1.799,0.0,90708.0,4611.0,47.0,122.051,1918201555.0
1.899,0.0,90708.0,4611.0,47.0,122.068,1918213739.0
1.999,0.0,90708.0,4611.0,47.0,122.102,1918225948.0
2.097,0.0,90708.0,4611.0,47.0,122.093,1918238144.0
2.199,0.0,90708.0,4611.0,47.0,122.069,1918250310.0
2.299,0.0,90708.0,4611.0,47.0,122.05,1918262488.0
2.399,0.0,90708.0,4611.0,47.0,122.015,1918274673.0
2.499,0.0,90708.0,4611.0,47.0,121.972,1918286854.0
2.600,0.0,90708.0,4611.0,47.0,121.957,1918299035.0
2.699,0.0,90708.0,4611.0,47.0,121.94,1918299035.0
2.799,0.0,90708.0,4611.0,47.0,121.921,1918311207.0
2.897,0.0,90708.0,4611.0,47.0,121.909,1918323389.0
2.998,0.0,90708.0,4611.0,47.0,121.884,1918335562.0
3.098,0.0,90708.0,4611.0,47.0,121.892,1918347750.0
3.199,0.0,90708.0,4611.0,47.0,121.895,1918359941.0
3.299,0.0,90708.0,4611.0,46.0,121.906,1918384308.0
3.399,0.0,90708.0,4611.0,47.0,121.911,1918396501.0
3.499,0.0,90708.0,4611.0,46.0,121.918,1918408675.0
3.599,0.0,90708.0,4611.0,46.0,121.914,1918420866.0
3.699,0.0,90708.0,4611.0,46.0,121.933,1918433053.0
3.800,0.0,90708.0,4611.0,46.0,121.912,1918445237.0
3.899,0.0,90708.0,4611.0,46.0,121.914,1918457418.0
3.998,0.0,90708.0,4611.0,46.0,121.909,1918469592.0
4.099,0.0,90708.0,4611.0,46.0,121.881,1918481766.0
4.198,0.0,90708.0,4611.0,46.0,121.889,1918493953.0
4.298,0.0,90708.0,4611.0,46.0,121.868,1918506128.0
