elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90708.0,4611.0,50.0,158.899,173688492397.0
0.098,0.0,90708.0,4611.0,50.0,134.181,173688505601.0
0.205,0.0,90708.0,4611.0,50.0,133.401,173688518773.0
0.297,0.0,90708.0,4611.0,50.0,132.929,173688531935.0
0.399,0.0,90708.0,4611.0,49.0,132.555,173688545010.0
0.499,0.0,90708.0,4611.0,49.0,132.218,173688558063.0
0.620,0.0,90708.0,4611.0,49.0,131.891,173688571315.0
0.708,0.0,90708.0,4611.0,49.0,131.655,173688584161.0
0.799,0.0,90708.0,4611.0,49.0,131.437,173688597213.0
0.899,0.0,90708.0,4611.0,49.0,131.217,173688610248.0
0.999,0.0,90708.0,4611.0,49.0,131.018,173688623275.0
1.118,0.0,90708.0,4611.0,49.0,130.819,173688636294.0
1.199,0.0,90708.0,4611.0,49.0,130.646,173688649298.0
1.305,0.0,90708.0,4611.0,49.0,130.474,173688662302.0
1.403,0.0,90708.0,4611.0,48.0,130.379,173688675297.0
1.499,0.0,90708.0,4611.0,48.0,130.313,173688688299.0
1.599,0.0,90708.0,4611.0,48.0,130.258,173688701278.0
1.699,0.0,90708.0,4611.0,48.0,130.258,173688714256.0
1.798,0.0,90708.0,4611.0,48.0,130.124,173688714256.0
1.903,0.0,90708.0,4611.0,48.0,130.048,173688727247.0
1.999,0.0,90708.0,4611.0,48.0,129.986,173688740201.0
2.099,0.0,90708.0,4611.0,48.0,129.924,173688766127.0
2.215,0.0,90708.0,4611.0,48.0,129.872,173688779085.0
2.307,0.0,90708.0,4611.0,48.0,129.825,173688792049.0
2.399,0.0,90708.0,4611.0,48.0,129.788,173688805002.0
2.499,0.0,90708.0,4611.0,48.0,129.76,173688817961.0
2.599,0.0,90708.0,4611.0,48.0,129.712,173688830918.0
2.699,0.0,90708.0,4611.0,48.0,129.66,173688843854.0
2.800,0.0,90708.0,4611.0,48.0,129.635,173688856788.0
2.918,0.0,90708.0,4611.0,48.0,129.603,173688869727.0
2.999,0.0,90708.0,4611.0,48.0,129.574,173688882662.0
3.100,0.0,90708.0,4611.0,48.0,129.545,173688895592.0
3.198,0.0,90708.0,4611.0,48.0,129.509,173688908518.0
3.299,0.0,90708.0,4611.0,48.0,129.469,173688921438.0
3.399,0.0,90708.0,4611.0,48.0,129.432,173688934351.0
3.510,0.0,90708.0,4611.0,48.0,129.393,173688947279.0
3.602,0.0,90708.0,4611.0,48.0,129.365,173688960209.0
3.699,0.0,90708.0,4611.0,48.0,129.352,173688973135.0
3.798,0.0,90708.0,4611.0,48.0,129.341,173688986065.0
