elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90516.0,4803.0,49.0,126.602,47275719257.0
0.098,0.0,90516.0,4803.0,49.0,126.484,47275731849.0
0.198,0.0,90516.0,4803.0,49.0,126.349,47275744428.0
0.298,0.0,90516.0,4803.0,49.0,126.25,47275757000.0
0.398,0.0,90516.0,4803.0,49.0,126.146,47275769576.0
0.498,0.0,90516.0,4803.0,49.0,126.068,47275782138.0
0.598,0.0,90516.0,4803.0,49.0,125.979,47275794699.0
0.698,0.0,90516.0,4803.0,49.0,125.902,47275819827.0
0.798,0.0,90516.0,4803.0,49.0,125.785,47275832369.0
0.898,0.0,90516.0,4803.0,49.0,125.72,47275844912.0
0.998,0.0,90516.0,4803.0,48.0,125.685,47275857449.0
1.098,0.0,90516.0,4803.0,48.0,125.656,47275870015.0
1.198,0.0,90516.0,4803.0,48.0,125.605,47275882544.0
1.298,0.0,90516.0,4803.0,48.0,125.576,47275895082.0
1.398,0.0,90516.0,4803.0,48.0,125.558,47275907621.0
1.498,0.0,90516.0,4803.0,48.0,125.516,47275920143.0
1.598,0.0,90516.0,4803.0,48.0,125.494,47275932686.0
1.698,0.0,90516.0,4803.0,48.0,125.505,47275945238.0
1.798,0.0,90516.0,4803.0,48.0,125.479,47275957768.0
1.898,0.0,90516.0,4803.0,48.0,125.442,47275970286.0
1.998,0.0,90516.0,4803.0,48.0,125.428,47275982810.0
2.098,0.0,90516.0,4803.0,48.0,125.394,47275995337.0
2.198,0.0,90516.0,4803.0,48.0,125.374,47276007840.0
2.298,0.0,90516.0,4803.0,48.0,125.337,47276020341.0
2.398,0.0,90516.0,4803.0,48.0,125.332,47276032868.0
2.498,0.0,90516.0,4803.0,48.0,125.325,47276045385.0
2.598,0.0,90516.0,4803.0,48.0,125.307,47276057911.0
2.698,0.0,90516.0,4803.0,48.0,125.259,47276070412.0
2.797,0.0,90516.0,4803.0,48.0,125.263,47276082945.0
2.898,0.0,90516.0,4803.0,48.0,125.263,47276095449.0
2.998,0.0,90516.0,4803.0,48.0,125.253,47276095449.0
3.098,0.0,90516.0,4803.0,48.0,125.281,47276108002.0
3.198,0.0,90516.0,4803.0,48.0,125.276,47276120514.0
3.298,0.0,90516.0,4803.0,48.0,125.272,47276133022.0
3.398,0.0,90516.0,4803.0,48.0,125.255,47276145525.0
3.498,0.0,90516.0,4803.0,48.0,125.242,47276158033.0
3.598,0.0,90516.0,4803.0,48.0,125.238,47276170534.0
3.698,0.0,90516.0,4803.0,48.0,125.195,47276183031.0
3.798,0.0,90516.0,4803.0,48.0,125.195,47276195537.0
3.898,0.0,90516.0,4803.0,48.0,125.177,47276220544.0
3.998,0.0,90516.0,4803.0,48.0,125.159,47276233051.0
4.098,0.0,90516.0,4803.0,48.0,125.09,47276245545.0
4.198,0.0,90516.0,4803.0,48.0,125.091,47276258046.0
4.298,0.0,90516.0,4803.0,48.0,125.085,47276270537.0
4.398,0.0,90516.0,4803.0,48.0,125.085,47276283050.0
4.498,0.0,90516.0,4803.0,48.0,125.077,47276295545.0
4.598,0.0,90516.0,4803.0,48.0,125.07,47276308036.0
4.698,0.0,90516.0,4803.0,48.0,125.045,47276320522.0
4.798,0.0,90516.0,4803.0,48.0,125.053,47276333025.0
4.898,0.0,90516.0,4803.0,48.0,125.047,47276345509.0
4.998,0.0,90516.0,4803.0,48.0,125.018,47276357994.0
5.098,0.0,90516.0,4803.0,48.0,125.019,47276370487.0
5.198,0.0,90516.0,4803.0,48.0,125.012,47276382976.0
5.298,0.0,90516.0,4803.0,48.0,124.981,47276395454.0
5.398,0.0,90516.0,4803.0,48.0,124.956,47276407937.0
5.498,0.0,90516.0,4803.0,48.0,124.958,47276420432.0
5.598,0.0,90516.0,4803.0,48.0,124.959,47276432918.0
5.698,0.0,90516.0,4803.0,48.0,124.952,47276445399.0
5.798,0.0,90516.0,4803.0,48.0,124.962,47276457896.0
5.898,0.0,90516.0,4803.0,48.0,124.961,47276470380.0
5.998,0.0,90516.0,4803.0,48.0,124.94,47276482854.0
6.098,0.0,90516.0,4803.0,48.0,124.939,47276495341.0
