elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90516.0,4803.0,45.0,119.31,21556412670.0
0.099,0.0,90516.0,4803.0,45.0,119.255,21556424593.0
0.199,0.0,90516.0,4803.0,45.0,119.228,21556436495.0
0.298,0.0,90516.0,4803.0,45.0,119.223,21556448401.0
0.399,0.0,90516.0,4803.0,45.0,119.249,21556460315.0
0.499,0.0,90516.0,4803.0,45.0,119.233,21556472243.0
0.599,0.0,90516.0,4803.0,45.0,119.192,21556496056.0
0.699,0.0,90516.0,4803.0,45.0,119.148,21556507936.0
0.799,0.0,90516.0,4803.0,45.0,119.143,21556519827.0
0.899,0.0,90516.0,4803.0,45.0,119.143,21556531703.0
1.000,0.0,90516.0,4803.0,45.0,119.095,21556531703.0
1.099,0.0,90516.0,4803.0,45.0,119.01,21556543563.0
1.199,0.0,90516.0,4803.0,45.0,119.022,21556555448.0
1.299,0.0,90516.0,4803.0,45.0,119.003,21556567337.0
1.398,0.0,90516.0,4803.0,45.0,119.006,21556579258.0
1.499,0.0,90516.0,4803.0,45.0,118.947,21556591147.0
1.599,0.0,90516.0,4803.0,45.0,118.925,21556603029.0
1.698,0.0,90516.0,4803.0,45.0,118.916,21556614933.0
1.798,0.0,90516.0,4803.0,45.0,118.929,21556626813.0
1.899,0.0,90516.0,4803.0,45.0,118.906,21556638693.0
1.999,0.0,90516.0,4803.0,45.0,118.939,21556650608.0
2.098,0.0,90516.0,4803.0,45.0,119.014,21556662525.0
2.199,0.0,90516.0,4803.0,45.0,119.03,21556674439.0
2.298,0.0,90516.0,4803.0,45.0,119.067,21556686357.0
2.398,0.0,90516.0,4803.0,45.0,119.079,21556698266.0
2.499,0.0,90516.0,4803.0,45.0,119.065,21556710176.0
2.599,0.0,90516.0,4803.0,45.0,119.111,21556722064.0
2.699,0.0,90516.0,4803.0,45.0,119.059,21556733921.0
2.797,0.0,90516.0,4803.0,45.0,119.059,21556745832.0
2.897,0.0,90516.0,4803.0,45.0,119.053,21556757686.0
2.998,0.0,90516.0,4803.0,45.0,119.005,21556769577.0
3.098,0.0,90516.0,4803.0,45.0,118.996,21556781457.0
3.198,0.0,90516.0,4803.0,45.0,118.959,21556793357.0
3.298,0.0,90516.0,4803.0,45.0,118.933,21556805235.0
3.398,0.0,90516.0,4803.0,45.0,118.927,21556829012.0
3.498,0.0,90516.0,4803.0,45.0,118.91,21556840899.0
3.598,0.0,90516.0,4803.0,45.0,118.962,21556852805.0
3.698,0.0,90516.0,4803.0,45.0,118.954,21556864711.0
3.798,0.0,90516.0,4803.0,45.0,118.954,21556864711.0
