elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90834.0,4485.0,49.0,127.641,157086300399.0
0.103,0.0,90834.0,4485.0,49.0,127.557,157086313138.0
0.199,0.0,90834.0,4485.0,49.0,127.452,157086325831.0
0.299,0.0,90834.0,4485.0,49.0,127.278,157086338476.0
0.405,0.0,90834.0,4485.0,48.0,127.104,157086351125.0
0.498,0.0,90834.0,4485.0,48.0,126.999,157086376453.0
0.601,0.0,90834.0,4485.0,48.0,126.992,157086376453.0
0.702,0.0,90834.0,4485.0,48.0,126.998,157086389168.0
0.798,0.0,90834.0,4485.0,48.0,126.98,157086401857.0
0.898,0.0,90834.0,4485.0,48.0,126.98,157086414498.0
0.998,0.0,90834.0,4485.0,48.0,126.892,157086427107.0
1.102,0.0,90834.0,4485.0,48.0,126.776,157086439738.0
1.198,0.0,90834.0,4485.0,48.0,126.659,157086452359.0
1.299,0.0,90834.0,4485.0,48.0,126.612,157086465054.0
1.410,0.0,90834.0,4485.0,48.0,126.665,157086477726.0
1.499,0.0,90834.0,4485.0,48.0,126.665,157086490371.0
1.605,0.0,90834.0,4485.0,48.0,126.533,157086502961.0
1.698,0.0,90834.0,4485.0,48.0,126.428,157086515566.0
1.800,0.0,90834.0,4485.0,48.0,126.346,157086528168.0
1.897,0.0,90834.0,4485.0,48.0,126.381,157086540805.0
1.998,0.0,90834.0,4485.0,48.0,126.428,157086553487.0
2.109,0.0,90834.0,4485.0,48.0,126.438,157086566120.0
2.199,0.0,90834.0,4485.0,48.0,126.401,157086578714.0
2.299,0.0,90834.0,4485.0,48.0,126.289,157086591293.0
2.399,0.0,90834.0,4485.0,48.0,126.217,157086603887.0
2.498,0.0,90834.0,4485.0,48.0,126.194,157086616485.0
2.606,0.0,90834.0,4485.0,48.0,126.255,157086629138.0
2.697,0.0,90834.0,4485.0,48.0,126.29,157086641783.0
2.801,0.0,90834.0,4485.0,48.0,126.252,157086654378.0
2.898,0.0,90834.0,4485.0,48.0,126.151,157086666912.0
2.998,0.0,90834.0,4485.0,48.0,126.037,157086679465.0
3.109,0.0,90834.0,4485.0,47.0,125.969,157086692027.0
3.197,0.0,90834.0,4485.0,47.0,125.981,157086704625.0
3.305,0.0,90834.0,4485.0,47.0,126.052,157086717273.0
3.398,0.0,90834.0,4485.0,47.0,126.07,157086742484.0
