elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,91062.0,4257.0,48.0,131.803,16780226184.0
0.100,0.0,91062.0,4257.0,48.0,131.679,16780239280.0
0.199,0.0,91062.0,4257.0,48.0,131.679,16780239280.0
0.298,0.0,91062.0,4257.0,48.0,131.537,16780252391.0
0.398,0.0,91062.0,4257.0,48.0,131.484,16780265510.0
0.499,0.0,91062.0,4257.0,48.0,131.46,16780278602.0
0.598,0.0,91062.0,4257.0,48.0,131.461,16780291754.0
0.698,0.0,91062.0,4257.0,48.0,131.456,16780304933.0
0.798,0.0,91062.0,4257.0,48.0,131.456,16780331107.0
0.897,0.0,91062.0,4257.0,48.0,131.399,16780344210.0
0.998,0.0,91062.0,4257.0,48.0,131.199,16780357291.0
1.098,0.0,91062.0,4257.0,48.0,131.148,16780370374.0
1.198,0.0,91062.0,4257.0,48.0,131.154,16780383517.0
1.298,0.0,91062.0,4257.0,48.0,131.189,16780396665.0
1.397,0.0,91062.0,4257.0,48.0,131.184,16780409734.0
1.497,0.0,91062.0,4257.0,48.0,131.126,16780422787.0
1.598,0.0,91062.0,4257.0,48.0,131.039,16780435869.0
1.698,0.0,91062.0,4257.0,48.0,130.958,16780448941.0
1.798,0.0,91062.0,4257.0,48.0,130.936,16780462013.0
1.898,0.0,91062.0,4257.0,48.0,130.973,16780475162.0
1.998,0.0,91062.0,4257.0,47.0,131.029,16780488275.0
2.098,0.0,91062.0,4257.0,47.0,131.04,16780501315.0
2.198,0.0,91062.0,4257.0,47.0,130.99,16780514386.0
2.299,0.0,91062.0,4257.0,47.0,130.893,16780527449.0
2.398,0.0,91062.0,4257.0,47.0,130.846,16780527449.0
2.498,0.0,91062.0,4257.0,47.0,130.845,16780540490.0
2.598,0.0,91062.0,4257.0,47.0,130.875,16780553553.0
2.698,0.0,91062.0,4257.0,47.0,130.915,16780566703.0
2.798,0.0,91062.0,4257.0,47.0,130.896,16780579774.0
2.897,0.0,91062.0,4257.0,47.0,130.808,16780592805.0
2.998,0.0,91062.0,4257.0,47.0,130.734,16780605846.0
3.098,0.0,91062.0,4257.0,47.0,130.7,16780618912.0
3.197,0.0,91062.0,4257.0,47.0,130.701,16780631952.0
3.298,0.0,91062.0,4257.0,47.0,130.753,16780645032.0
3.398,0.0,91062.0,4257.0,47.0,130.806,16780658147.0
3.498,0.0,91062.0,4257.0,47.0,130.789,16780671211.0
3.599,0.0,91062.0,4257.0,47.0,130.753,16780684244.0
3.698,0.0,91062.0,4257.0,47.0,130.685,16780697298.0
3.798,0.0,91062.0,4257.0,47.0,130.653,16780710342.0
3.898,0.0,91062.0,4257.0,47.0,130.677,16780723356.0
3.998,0.0,91062.0,4257.0,47.0,130.677,16780736448.0
4.098,0.0,91062.0,4257.0,47.0,130.723,16780762609.0
4.198,0.0,91062.0,4257.0,47.0,130.746,16780775631.0
4.298,0.0,91062.0,4257.0,47.0,130.631,16780788663.0
4.398,0.0,91062.0,4257.0,47.0,130.554,16780801697.0
4.499,0.0,91062.0,4257.0,47.0,130.534,16780814722.0
4.598,0.0,91062.0,4257.0,47.0,130.577,16780827824.0
4.698,0.0,91062.0,4257.0,47.0,130.629,16780840940.0
4.799,0.0,91062.0,4257.0,47.0,130.664,16780853963.0
4.898,0.0,91062.0,4257.0,47.0,130.655,16780866966.0
4.998,0.0,91062.0,4257.0,47.0,130.56,16780880008.0
5.098,0.0,91062.0,4257.0,47.0,130.507,16780893036.0
5.198,0.0,91062.0,4257.0,47.0,130.525,16780919165.0
5.298,0.0,91062.0,4257.0,47.0,130.525,16780919165.0
5.398,0.0,91062.0,4257.0,47.0,130.637,16780945268.0
5.498,0.0,91062.0,4257.0,47.0,130.637,16780945268.0
5.598,0.0,91062.0,4257.0,47.0,130.581,16780945268.0
5.698,0.0,91062.0,4257.0,47.0,130.48,16780958265.0
5.798,0.0,91062.0,4257.0,47.0,130.457,16780971310.0
5.898,0.0,91062.0,4257.0,47.0,130.468,16780984335.0
5.998,0.0,91062.0,4257.0,47.0,130.534,16780997379.0
6.098,0.0,91062.0,4257.0,47.0,130.594,16781010502.0
6.198,0.0,91062.0,4257.0,47.0,130.596,16781023579.0
6.298,0.0,91062.0,4257.0,47.0,130.534,16781036581.0
6.398,0.0,91062.0,4257.0,47.0,130.45,16781049578.0
6.498,0.0,91062.0,4257.0,47.0,130.425,16781062615.0
6.599,0.0,91062.0,4257.0,47.0,130.433,16781075613.0
6.697,0.0,91062.0,4257.0,47.0,130.499,16781088646.0
6.798,0.0,91062.0,4257.0,47.0,130.559,16781101766.0
6.897,0.0,91062.0,4257.0,47.0,130.529,16781114822.0
6.998,0.0,91062.0,4257.0,47.0,130.47,16781127808.0
7.098,0.0,91062.0,4257.0,47.0,130.384,16781153872.0
7.198,0.0,91062.0,4257.0,47.0,130.382,16781166879.0
7.298,0.0,91062.0,4257.0,47.0,130.41,16781179943.0
7.398,0.0,91062.0,4257.0,47.0,130.493,16781193052.0
7.498,0.0,91062.0,4257.0,47.0,130.532,16781206096.0
7.599,0.0,91062.0,4257.0,47.0,130.537,16781219097.0
7.698,0.0,91062.0,4257.0,47.0,130.537,16781232100.0
7.798,0.0,91062.0,4257.0,47.0,130.436,16781245123.0
7.897,0.0,91062.0,4257.0,47.0,130.366,16781258126.0
7.998,0.0,91062.0,4257.0,47.0,130.366,16781271193.0
8.098,0.0,91062.0,4257.0,47.0,130.46,16781284293.0
8.198,0.0,91062.0,4257.0,47.0,130.498,16781297331.0
8.298,0.0,91062.0,4257.0,47.0,130.469,16781310326.0
8.398,0.0,91062.0,4257.0,47.0,130.387,16781323354.0
8.498,0.0,91062.0,4257.0,47.0,130.337,16781336370.0
8.598,0.0,91062.0,4257.0,47.0,130.313,16781336370.0
9.519,0.0,91062.0,4257.0,47.0,130.459,16781466755.0
9.521,0.0,91062.0,4257.0,47.0,130.459,16781466755.0
9.622,0.0,91062.0,4257.0,47.0,130.417,16781479776.0
9.723,0.0,91062.0,4257.0,47.0,130.344,16781492764.0
9.823,0.0,91062.0,4257.0,47.0,130.324,16781505788.0
9.921,0.0,91062.0,4257.0,47.0,130.337,16781518820.0
10.022,0.0,91062.0,4257.0,47.0,130.382,16781531830.0
10.123,0.0,91062.0,4257.0,47.0,130.476,16781558005.0
10.223,0.0,91062.0,4257.0,47.0,130.484,16781571004.0
10.323,0.0,91062.0,4257.0,47.0,130.447,16781584009.0
10.422,0.0,91062.0,4257.0,47.0,130.346,16781597020.0
10.523,0.0,91062.0,4257.0,47.0,130.29,16781610031.0
