elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,91062.0,4257.0,49.0,128.011,308065053876.0
0.113,0.0,91062.0,4257.0,49.0,128.005,308065066654.0
0.199,0.0,91062.0,4257.0,48.0,127.99,308065079368.0
0.299,0.0,91062.0,4257.0,48.0,127.937,308065092084.0
0.398,0.0,91062.0,4257.0,48.0,127.888,308065104918.0
0.499,0.0,91062.0,4257.0,48.0,127.909,308065117767.0
0.599,0.0,91062.0,4257.0,48.0,127.903,308065130558.0
0.699,0.0,91062.0,4257.0,48.0,127.907,308065143272.0
0.799,0.0,91062.0,4257.0,48.0,127.907,308065155979.0
0.912,0.0,91062.0,4257.0,48.0,127.863,308065168780.0
0.999,0.0,91062.0,4257.0,48.0,127.812,308065168780.0
1.115,0.0,91062.0,4257.0,48.0,127.826,308065181633.0
1.204,0.0,91062.0,4257.0,48.0,127.832,308065194410.0
1.299,0.0,91062.0,4257.0,48.0,127.821,308065207147.0
1.399,0.0,91062.0,4257.0,48.0,127.804,308065219846.0
1.500,0.0,91062.0,4257.0,48.0,127.774,308065232613.0
1.601,0.0,91062.0,4257.0,48.0,127.778,308065258264.0
1.708,0.0,91062.0,4257.0,48.0,127.776,308065270987.0
1.799,0.0,91062.0,4257.0,48.0,127.763,308065283680.0
1.924,0.0,91062.0,4257.0,48.0,127.757,308065296410.0
1.999,0.0,91062.0,4257.0,48.0,127.69,308065309248.0
2.115,0.0,91062.0,4257.0,48.0,127.696,308065322034.0
2.199,0.0,91062.0,4257.0,48.0,127.692,308065334775.0
2.299,0.0,91062.0,4257.0,48.0,127.657,308065347458.0
2.399,0.0,91062.0,4257.0,48.0,127.61,308065360158.0
2.504,0.0,91062.0,4257.0,48.0,127.592,308065372979.0
2.600,0.0,91062.0,4257.0,48.0,127.596,308065385780.0
2.710,0.0,91062.0,4257.0,48.0,127.627,308065398530.0
2.800,0.0,91062.0,4257.0,48.0,127.609,308065411215.0
2.915,0.0,91062.0,4257.0,48.0,127.581,308065423901.0
2.998,0.0,91062.0,4257.0,48.0,127.552,308065436710.0
3.113,0.0,91062.0,4257.0,48.0,127.588,308065449525.0
3.201,0.0,91062.0,4257.0,48.0,127.594,308065462281.0
3.299,0.0,91062.0,4257.0,48.0,127.603,308065474976.0
3.413,0.0,91062.0,4257.0,48.0,127.562,308065487658.0
3.500,0.0,91062.0,4257.0,48.0,127.545,308065487658.0
3.614,0.0,91062.0,4257.0,48.0,127.547,308065500421.0
3.699,0.0,91062.0,4257.0,48.0,127.554,308065513250.0
3.799,0.0,91062.0,4257.0,48.0,127.571,308065526020.0
3.898,0.0,91062.0,4257.0,48.0,127.56,308065538722.0
4.013,0.0,91062.0,4257.0,48.0,127.513,308065551392.0
4.099,0.0,91062.0,4257.0,48.0,127.538,308065576990.0
4.199,0.0,91062.0,4257.0,48.0,127.554,308065589771.0
4.313,0.0,91062.0,4257.0,48.0,127.554,308065602484.0
4.399,0.0,91062.0,4257.0,48.0,127.554,308065615144.0
4.500,0.0,91062.0,4257.0,48.0,127.553,308065627873.0
4.600,0.0,91062.0,4257.0,48.0,127.518,308065640709.0
4.699,0.0,91062.0,4257.0,48.0,127.526,308065653492.0
4.801,0.0,91062.0,4257.0,48.0,127.551,308065666227.0
4.898,0.0,91062.0,4257.0,48.0,127.554,308065678911.0
5.004,0.0,91062.0,4257.0,48.0,127.554,308065691606.0
5.099,0.0,91062.0,4257.0,48.0,127.502,308065704423.0
5.212,0.0,91062.0,4257.0,48.0,127.507,308065717212.0
5.306,0.0,91062.0,4257.0,48.0,127.507,308065729952.0
5.399,0.0,91062.0,4257.0,48.0,127.538,308065742621.0
5.508,0.0,91062.0,4257.0,48.0,127.521,308065755310.0
5.599,0.0,91062.0,4257.0,48.0,127.457,308065768109.0
5.701,0.0,91062.0,4257.0,48.0,127.463,308065780928.0
5.802,0.0,91062.0,4257.0,48.0,127.493,308065793673.0
5.899,0.0,91062.0,4257.0,48.0,127.517,308065806365.0
6.009,0.0,91062.0,4257.0,48.0,127.511,308065819036.0
6.099,0.0,91062.0,4257.0,48.0,127.473,308065831808.0
6.199,0.0,91062.0,4257.0,48.0,127.486,308065844633.0
6.316,0.0,91062.0,4257.0,48.0,127.504,308065844633.0
6.399,0.0,91062.0,4257.0,48.0,127.497,308065857381.0
6.499,0.0,91062.0,4257.0,48.0,127.494,308065870078.0
6.610,0.0,91062.0,4257.0,48.0,127.464,308065882737.0
