elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90834.0,4485.0,47.0,125.294,210266241485.0
0.096,0.0,90834.0,4485.0,47.0,125.294,210266254002.0
0.203,0.0,90834.0,4485.0,47.0,125.276,210266266524.0
0.297,0.0,90834.0,4485.0,47.0,125.268,210266279046.0
0.399,0.0,90834.0,4485.0,47.0,125.268,210266291557.0
0.496,0.0,90834.0,4485.0,47.0,125.274,210266304071.0
0.596,0.0,90834.0,4485.0,47.0,125.251,210266316591.0
0.702,0.0,90834.0,4485.0,47.0,125.257,210266329106.0
0.809,0.0,90834.0,4485.0,47.0,125.234,210266354118.0
0.902,0.0,90834.0,4485.0,47.0,125.234,210266354118.0
0.997,0.0,90834.0,4485.0,47.0,125.248,210266366649.0
1.096,0.0,90834.0,4485.0,47.0,125.24,210266379147.0
1.197,0.0,90834.0,4485.0,47.0,125.229,210266391663.0
1.324,0.0,90834.0,4485.0,47.0,125.224,210266404192.0
1.402,0.0,90834.0,4485.0,47.0,125.224,210266404192.0
1.496,0.0,90834.0,4485.0,47.0,125.213,210266416699.0
1.597,0.0,90834.0,4485.0,47.0,125.213,210266441718.0
1.703,0.0,90834.0,4485.0,47.0,125.201,210266454229.0
1.796,0.0,90834.0,4485.0,47.0,125.213,210266466745.0
1.896,0.0,90834.0,4485.0,46.0,125.196,210266479252.0
1.998,0.0,90834.0,4485.0,47.0,125.183,210266491767.0
2.096,0.0,90834.0,4485.0,47.0,125.178,210266504274.0
2.197,0.0,90834.0,4485.0,46.0,125.178,210266516780.0
2.296,0.0,90834.0,4485.0,46.0,125.175,210266529288.0
2.396,0.0,90834.0,4485.0,46.0,125.19,210266541822.0
2.497,0.0,90834.0,4485.0,46.0,125.198,210266554342.0
2.597,0.0,90834.0,4485.0,46.0,125.196,210266566857.0
2.696,0.0,90834.0,4485.0,46.0,125.205,210266579369.0
2.795,0.0,90834.0,4485.0,46.0,125.206,210266591894.0
2.896,0.0,90834.0,4485.0,46.0,125.222,210266604408.0
2.996,0.0,90834.0,4485.0,46.0,125.222,210266616932.0
3.096,0.0,90834.0,4485.0,46.0,125.243,210266629458.0
3.195,0.0,90834.0,4485.0,46.0,125.254,210266641970.0
3.304,0.0,90834.0,4485.0,46.0,125.254,210266654477.0
3.405,0.0,90834.0,4485.0,46.0,125.246,210266666988.0
3.496,0.0,90834.0,4485.0,46.0,125.252,210266679512.0
3.596,0.0,90834.0,4485.0,46.0,125.245,210266692038.0
3.696,0.0,90834.0,4485.0,46.0,125.245,210266704542.0
3.797,0.0,90834.0,4485.0,46.0,125.221,210266717047.0
3.901,0.0,90834.0,4485.0,46.0,125.222,210266729561.0
3.996,0.0,90834.0,4485.0,46.0,125.222,210266742077.0
4.096,0.0,90834.0,4485.0,46.0,125.221,210266754589.0
4.199,0.0,90834.0,4485.0,46.0,125.217,210266754589.0
4.297,0.0,90834.0,4485.0,46.0,125.232,210266767112.0
4.396,0.0,90834.0,4485.0,46.0,125.235,210266792160.0
4.496,0.0,90834.0,4485.0,46.0,125.229,210266804667.0
4.595,0.0,90834.0,4485.0,46.0,125.229,210266817186.0
4.696,0.0,90834.0,4485.0,46.0,125.222,210266829688.0
4.796,0.0,90834.0,4485.0,46.0,125.245,210266842212.0
4.897,0.0,90834.0,4485.0,46.0,125.231,210266854714.0
4.996,0.0,90834.0,4485.0,46.0,125.214,210266867221.0
5.105,0.0,90834.0,4485.0,46.0,125.209,210266879723.0
5.196,0.0,90834.0,4485.0,46.0,125.209,210266892247.0
5.296,0.0,90834.0,4485.0,46.0,125.192,210266904756.0
5.404,0.0,90834.0,4485.0,46.0,125.198,210266917285.0
5.497,0.0,90834.0,4485.0,46.0,125.186,210266929789.0
5.596,0.0,90834.0,4485.0,46.0,125.179,210266942290.0
5.696,0.0,90834.0,4485.0,46.0,125.18,210266954793.0
5.813,0.0,90834.0,4485.0,46.0,125.169,210266979819.0
5.897,0.0,90834.0,4485.0,46.0,125.169,210266979819.0
5.996,0.0,90834.0,4485.0,46.0,125.163,210266992326.0
6.096,0.0,90834.0,4485.0,46.0,125.165,210267004837.0
6.196,0.0,90834.0,4485.0,46.0,125.151,210267017343.0
