elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89376.0,5943.0,49.0,130.902,7394157163.0
0.098,0.0,89376.0,5943.0,49.0,130.865,7394170225.0
0.197,0.0,89376.0,5943.0,49.0,130.826,7394183284.0
0.296,0.0,89376.0,5943.0,49.0,130.8,7394196341.0
0.397,0.0,89376.0,5943.0,49.0,130.763,7394209406.0
0.497,0.0,89376.0,5943.0,49.0,130.724,7394222452.0
0.597,0.0,89376.0,5943.0,49.0,130.705,7394235498.0
0.697,0.0,89376.0,5943.0,49.0,130.699,7394248555.0
0.797,0.0,89376.0,5943.0,49.0,130.667,7394261611.0
0.897,0.0,89376.0,5943.0,49.0,130.667,7394274660.0
0.996,0.0,89376.0,5943.0,49.0,130.641,7394287705.0
1.097,0.0,89376.0,5943.0,49.0,130.622,7394300741.0
1.197,0.0,89376.0,5943.0,49.0,130.605,7394313797.0
1.297,0.0,89376.0,5943.0,49.0,130.616,7394313797.0
1.397,0.0,89376.0,5943.0,49.0,130.606,7394326849.0
1.497,0.0,89376.0,5943.0,49.0,130.59,7394339901.0
1.596,0.0,89376.0,5943.0,49.0,130.586,7394352945.0
1.696,0.0,89376.0,5943.0,49.0,130.568,7394365987.0
1.797,0.0,89376.0,5943.0,49.0,130.544,7394379006.0
1.897,0.0,89376.0,5943.0,49.0,130.504,7394392029.0
1.997,0.0,89376.0,5943.0,49.0,130.484,7394405046.0
2.097,0.0,89376.0,5943.0,48.0,130.474,7394418072.0
2.197,0.0,89376.0,5943.0,48.0,130.455,7394431099.0
2.296,0.0,89376.0,5943.0,48.0,130.429,7394444133.0
2.397,0.0,89376.0,5943.0,48.0,130.402,7394470187.0
2.497,0.0,89376.0,5943.0,48.0,130.372,7394483214.0
2.597,0.0,89376.0,5943.0,48.0,130.361,7394496254.0
2.697,0.0,89376.0,5943.0,48.0,130.352,7394509289.0
2.796,0.0,89376.0,5943.0,48.0,130.356,7394522303.0
2.897,0.0,89376.0,5943.0,48.0,130.348,7394535326.0
2.996,0.0,89376.0,5943.0,48.0,130.323,7394548338.0
3.097,0.0,89376.0,5943.0,48.0,130.323,7394561361.0
3.197,0.0,89376.0,5943.0,48.0,130.303,7394574375.0
3.295,0.0,89376.0,5943.0,48.0,130.306,7394587403.0
3.396,0.0,89376.0,5943.0,48.0,130.312,7394600421.0
3.497,0.0,89376.0,5943.0,48.0,130.284,7394613436.0
3.598,0.0,89376.0,5943.0,48.0,130.266,7394626461.0
3.696,0.0,89376.0,5943.0,48.0,130.26,7394639478.0
3.797,0.0,89376.0,5943.0,48.0,130.272,7394652496.0
3.897,0.0,89376.0,5943.0,48.0,130.255,7394665508.0
3.997,0.0,89376.0,5943.0,48.0,130.255,7394678523.0
4.096,0.0,89376.0,5943.0,48.0,130.257,7394691538.0
4.197,0.0,89376.0,5943.0,48.0,130.243,7394704549.0
4.297,0.0,89376.0,5943.0,48.0,130.24,7394717570.0
4.397,0.0,89376.0,5943.0,48.0,130.226,7394717570.0
4.497,0.0,89376.0,5943.0,48.0,130.207,7394730572.0
4.596,0.0,89376.0,5943.0,48.0,130.205,7394743578.0
