elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89954.0,5365.0,49.0,126.077,7265767982.0
0.097,0.0,89954.0,5365.0,49.0,125.97,7265780526.0
0.197,0.0,89954.0,5365.0,49.0,125.855,7265793051.0
0.297,0.0,89954.0,5365.0,48.0,125.764,7265805581.0
0.397,0.0,89954.0,5365.0,48.0,125.743,7265818167.0
0.497,0.0,89954.0,5365.0,48.0,125.684,7265830725.0
0.597,0.0,89954.0,5365.0,48.0,125.589,7265843275.0
0.697,0.0,89954.0,5365.0,48.0,125.562,7265855827.0
0.797,0.0,89954.0,5365.0,48.0,125.55,7265868395.0
0.897,0.0,89954.0,5365.0,48.0,125.543,7265880935.0
0.997,0.0,89954.0,5365.0,48.0,125.546,7265893439.0
1.097,0.0,89954.0,5365.0,48.0,125.541,7265905973.0
1.196,0.0,89954.0,5365.0,48.0,125.527,7265918514.0
1.297,0.0,89954.0,5365.0,48.0,125.476,7265931041.0
1.395,0.0,89954.0,5365.0,48.0,125.449,7265943563.0
1.497,0.0,89954.0,5365.0,48.0,125.434,7265956130.0
1.597,0.0,89954.0,5365.0,48.0,125.357,7265968641.0
1.697,0.0,89954.0,5365.0,48.0,125.392,7265981149.0
1.797,0.0,89954.0,5365.0,48.0,125.332,7265993709.0
1.897,0.0,89954.0,5365.0,48.0,125.324,7266006227.0
1.996,0.0,89954.0,5365.0,48.0,125.307,7266031257.0
2.097,0.0,89954.0,5365.0,48.0,125.298,7266043780.0
2.197,0.0,89954.0,5365.0,48.0,125.271,7266056284.0
2.297,0.0,89954.0,5365.0,48.0,125.259,7266068787.0
2.397,0.0,89954.0,5365.0,48.0,125.281,7266081316.0
2.497,0.0,89954.0,5365.0,48.0,125.208,7266093822.0
2.597,0.0,89954.0,5365.0,48.0,125.207,7266106330.0
2.697,0.0,89954.0,5365.0,48.0,125.214,7266118862.0
2.796,0.0,89954.0,5365.0,47.0,125.227,7266131395.0
2.897,0.0,89954.0,5365.0,47.0,125.185,7266143907.0
2.997,0.0,89954.0,5365.0,47.0,125.188,7266156399.0
3.097,0.0,89954.0,5365.0,47.0,125.163,7266156399.0
3.197,0.0,89954.0,5365.0,47.0,125.119,7266168868.0
3.297,0.0,89954.0,5365.0,47.0,125.108,7266181335.0
3.397,0.0,89954.0,5365.0,47.0,125.07,7266193837.0
3.498,0.0,89954.0,5365.0,47.0,125.028,7266206332.0
3.597,0.0,89954.0,5365.0,47.0,125.007,7266218806.0
3.697,0.0,89954.0,5365.0,47.0,124.999,7266231264.0
3.797,0.0,89954.0,5365.0,47.0,124.939,7266243781.0
3.897,0.0,89954.0,5365.0,47.0,124.876,7266256250.0
3.997,0.0,89954.0,5365.0,47.0,124.862,7266268694.0
4.097,0.0,89954.0,5365.0,47.0,124.88,7266281194.0
4.197,0.0,89954.0,5365.0,47.0,124.876,7266293681.0
4.297,0.0,89954.0,5365.0,47.0,124.874,7266306183.0
4.397,0.0,89954.0,5365.0,47.0,124.895,7266318638.0
4.497,0.0,89954.0,5365.0,47.0,124.96,7266331146.0
4.595,0.0,89954.0,5365.0,47.0,124.91,7266343654.0
4.697,0.0,89954.0,5365.0,47.0,124.861,7266356113.0
4.798,0.0,89954.0,5365.0,47.0,124.863,7266368548.0
4.896,0.0,89954.0,5365.0,47.0,124.834,7266381031.0
4.995,0.0,89954.0,5365.0,47.0,124.839,7266393513.0
5.097,0.0,89954.0,5365.0,47.0,124.823,7266418450.0
5.197,0.0,89954.0,5365.0,47.0,124.833,7266430924.0
5.297,0.0,89954.0,5365.0,47.0,124.759,7266443361.0
5.396,0.0,89954.0,5365.0,47.0,124.759,7266455879.0
5.497,0.0,89954.0,5365.0,47.0,124.796,7266468391.0
5.596,0.0,89954.0,5365.0,47.0,124.756,7266480841.0
5.697,0.0,89954.0,5365.0,47.0,124.767,7266493342.0
5.797,0.0,89954.0,5365.0,47.0,124.828,7266505785.0
