elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89954.0,5365.0,49.0,131.328,6428022511.0
0.098,0.0,89954.0,5365.0,49.0,131.227,6428035582.0
0.199,0.0,89954.0,5365.0,49.0,131.135,6428048649.0
0.299,0.0,89954.0,5365.0,49.0,131.037,6428061703.0
0.399,0.0,89954.0,5365.0,49.0,130.953,6428074748.0
0.499,0.0,89954.0,5365.0,49.0,130.87,6428087799.0
0.598,0.0,89954.0,5365.0,49.0,130.81,6428113915.0
0.698,0.0,89954.0,5365.0,49.0,130.739,6428126965.0
0.798,0.0,89954.0,5365.0,49.0,130.702,6428140015.0
0.899,0.0,89954.0,5365.0,49.0,130.669,6428153053.0
0.999,0.0,89954.0,5365.0,48.0,130.6,6428166082.0
1.098,0.0,89954.0,5365.0,48.0,130.572,6428179112.0
1.199,0.0,89954.0,5365.0,48.0,130.534,6428192149.0
1.299,0.0,89954.0,5365.0,48.0,130.507,6428205164.0
1.398,0.0,89954.0,5365.0,48.0,130.471,6428218197.0
1.499,0.0,89954.0,5365.0,48.0,130.447,6428231210.0
1.598,0.0,89954.0,5365.0,48.0,130.371,6428244216.0
1.698,0.0,89954.0,5365.0,48.0,130.325,6428257216.0
1.798,0.0,89954.0,5365.0,48.0,130.282,6428270219.0
1.898,0.0,89954.0,5365.0,48.0,130.257,6428283242.0
1.998,0.0,89954.0,5365.0,48.0,130.231,6428296254.0
2.098,0.0,89954.0,5365.0,48.0,130.203,6428309244.0
2.198,0.0,89954.0,5365.0,48.0,130.164,6428309244.0
2.298,0.0,89954.0,5365.0,48.0,130.164,6428322247.0
2.398,0.0,89954.0,5365.0,48.0,130.15,6428335243.0
2.498,0.0,89954.0,5365.0,48.0,130.123,6428348251.0
2.598,0.0,89954.0,5365.0,48.0,130.108,6428361254.0
2.698,0.0,89954.0,5365.0,48.0,130.114,6428374247.0
2.798,0.0,89954.0,5365.0,48.0,130.1,6428387256.0
2.897,0.0,89954.0,5365.0,48.0,130.097,6428400240.0
2.998,0.0,89954.0,5365.0,48.0,130.083,6428413233.0
3.098,0.0,89954.0,5365.0,48.0,130.051,6428426220.0
3.198,0.0,89954.0,5365.0,48.0,130.051,6428439206.0
3.298,0.0,89954.0,5365.0,48.0,130.033,6428465203.0
3.398,0.0,89954.0,5365.0,48.0,130.027,6428478190.0
3.498,0.0,89954.0,5365.0,48.0,130.014,6428491183.0
3.598,0.0,89954.0,5365.0,48.0,129.994,6428504180.0
3.698,0.0,89954.0,5365.0,48.0,129.994,6428517186.0
3.799,0.0,89954.0,5365.0,48.0,129.984,6428530177.0
3.898,0.0,89954.0,5365.0,48.0,129.967,6428543141.0
3.999,0.0,89954.0,5365.0,48.0,129.952,6428556121.0
4.098,0.0,89954.0,5365.0,48.0,129.933,6428569106.0
4.199,0.0,89954.0,5365.0,48.0,129.923,6428582087.0
4.298,0.0,89954.0,5365.0,48.0,129.924,6428595083.0
4.397,0.0,89954.0,5365.0,48.0,129.927,6428608054.0
4.498,0.0,89954.0,5365.0,48.0,129.912,6428621044.0
4.597,0.0,89954.0,5365.0,48.0,129.892,6428634017.0
4.699,0.0,89954.0,5365.0,48.0,129.883,6428646989.0
4.798,0.0,89954.0,5365.0,48.0,129.847,6428659977.0
4.898,0.0,89954.0,5365.0,48.0,129.856,6428672942.0
4.998,0.0,89954.0,5365.0,48.0,129.839,6428685922.0
5.098,0.0,89954.0,5365.0,48.0,129.835,6428685922.0
5.198,0.0,89954.0,5365.0,48.0,129.821,6428698877.0
5.297,0.0,89954.0,5365.0,48.0,129.804,6428711854.0
5.399,0.0,89954.0,5365.0,48.0,129.804,6428724834.0
5.497,0.0,89954.0,5365.0,48.0,129.818,6428737814.0
5.599,0.0,89954.0,5365.0,48.0,129.818,6428750790.0
5.697,0.0,89954.0,5365.0,48.0,129.809,6428763771.0
5.798,0.0,89954.0,5365.0,48.0,129.803,6428776733.0
5.898,0.0,89954.0,5365.0,48.0,129.801,6428789711.0
5.999,0.0,89954.0,5365.0,48.0,129.818,6428802677.0
6.099,0.0,89954.0,5365.0,48.0,129.818,6428815645.0
6.199,0.0,89954.0,5365.0,48.0,129.812,6428828622.0
6.299,0.0,89954.0,5365.0,48.0,129.821,6428841597.0
6.398,0.0,89954.0,5365.0,48.0,129.822,6428867546.0
6.498,0.0,89954.0,5365.0,48.0,129.811,6428880515.0
6.599,0.0,89954.0,5365.0,48.0,129.811,6428893490.0
6.699,0.0,89954.0,5365.0,48.0,129.788,6428906453.0
6.798,0.0,89954.0,5365.0,48.0,129.797,6428919421.0
6.898,0.0,89954.0,5365.0,48.0,129.79,6428932381.0
6.998,0.0,89954.0,5365.0,48.0,129.788,6428945356.0
7.098,0.0,89954.0,5365.0,48.0,129.77,6428958317.0
7.199,0.0,89954.0,5365.0,48.0,129.775,6428971290.0
7.298,0.0,89954.0,5365.0,48.0,129.772,6428984264.0
7.399,0.0,89954.0,5365.0,48.0,129.758,6428997221.0
7.497,0.0,89954.0,5365.0,48.0,129.753,6429010188.0
7.598,0.0,89954.0,5365.0,48.0,129.749,6429023168.0
7.698,0.0,89954.0,5365.0,48.0,129.753,6429036139.0
7.799,0.0,89954.0,5365.0,48.0,129.756,6429049104.0
7.898,0.0,89954.0,5365.0,48.0,129.754,6429062069.0
7.999,0.0,89954.0,5365.0,48.0,129.744,6429075036.0
8.099,0.0,89954.0,5365.0,48.0,129.751,6429087993.0
8.199,0.0,89954.0,5365.0,48.0,129.738,6429087993.0
8.298,0.0,89954.0,5365.0,48.0,129.744,6429100957.0
8.399,0.0,89954.0,5365.0,48.0,129.734,6429113925.0
8.499,0.0,89954.0,5365.0,48.0,129.734,6429126895.0
8.598,0.0,89954.0,5365.0,48.0,129.749,6429139871.0
8.698,0.0,89954.0,5365.0,48.0,129.752,6429152850.0
8.798,0.0,89954.0,5365.0,48.0,129.745,6429165810.0
8.898,0.0,89954.0,5365.0,48.0,129.745,6429178783.0
8.998,0.0,89954.0,5365.0,48.0,129.762,6429191766.0
9.098,0.0,89954.0,5365.0,48.0,129.773,6429204724.0
9.198,0.0,89954.0,5365.0,48.0,129.761,6429217680.0
9.298,0.0,89954.0,5365.0,48.0,129.762,6429230638.0
9.399,0.0,89954.0,5365.0,48.0,129.769,6429243609.0
9.498,0.0,89954.0,5365.0,48.0,129.768,6429256572.0
9.598,0.0,89954.0,5365.0,48.0,129.758,6429282521.0
9.699,0.0,89954.0,5365.0,48.0,129.737,6429295471.0
9.798,0.0,89954.0,5365.0,48.0,129.739,6429308440.0
9.898,0.0,89954.0,5365.0,48.0,129.747,6429321402.0
9.998,0.0,89954.0,5365.0,48.0,129.721,6429334365.0
10.098,0.0,89954.0,5365.0,48.0,129.709,6429347325.0
10.198,0.0,89954.0,5365.0,48.0,129.709,6429360305.0
10.299,0.0,89954.0,5365.0,48.0,129.729,6429373263.0
10.398,0.0,89954.0,5365.0,48.0,129.707,6429386232.0
10.498,0.0,89954.0,5365.0,48.0,129.709,6429399186.0
10.599,0.0,89954.0,5365.0,48.0,129.727,6429412160.0
10.699,0.0,89954.0,5365.0,48.0,129.722,6429425109.0
10.799,0.0,89954.0,5365.0,48.0,129.714,6429438079.0
10.899,0.0,89954.0,5365.0,48.0,129.723,6429451039.0
10.999,0.0,89954.0,5365.0,48.0,129.73,6429464007.0
11.098,0.0,89954.0,5365.0,48.0,129.73,6429476968.0
11.198,0.0,89954.0,5365.0,48.0,129.73,6429489932.0
11.297,0.0,89954.0,5365.0,48.0,129.721,6429502888.0
11.399,0.0,89954.0,5365.0,48.0,129.705,6429502888.0
11.497,0.0,89954.0,5365.0,48.0,129.714,6429515857.0
11.597,0.0,89954.0,5365.0,48.0,129.71,6429528831.0
11.699,0.0,89954.0,5365.0,48.0,129.707,6429541796.0
11.799,0.0,89954.0,5365.0,48.0,129.697,6429554756.0
11.898,0.0,89954.0,5365.0,48.0,129.715,6429567728.0
11.998,0.0,89954.0,5365.0,48.0,129.7,6429580689.0
12.098,0.0,89954.0,5365.0,48.0,129.691,6429593642.0
12.199,0.0,89954.0,5365.0,48.0,129.691,6429606604.0
12.299,0.0,89954.0,5365.0,48.0,129.695,6429619572.0
12.399,0.0,89954.0,5365.0,48.0,129.705,6429632521.0
12.499,0.0,89954.0,5365.0,48.0,129.687,6429645489.0
12.599,0.0,89954.0,5365.0,48.0,129.661,6429658430.0
12.698,0.0,89954.0,5365.0,48.0,129.673,6429671384.0
12.799,0.0,89954.0,5365.0,48.0,129.67,6429697323.0
12.899,0.0,89954.0,5365.0,48.0,129.655,6429710288.0
12.998,0.0,89954.0,5365.0,48.0,129.656,6429723242.0
13.098,0.0,89954.0,5365.0,48.0,129.656,6429736198.0
13.198,0.0,89954.0,5365.0,48.0,129.672,6429749178.0
13.299,0.0,89954.0,5365.0,48.0,129.667,6429762117.0
13.398,0.0,89954.0,5365.0,48.0,129.658,6429775089.0
13.498,0.0,89954.0,5365.0,48.0,129.67,6429788052.0
13.598,0.0,89954.0,5365.0,48.0,129.69,6429801009.0
13.698,0.0,89954.0,5365.0,48.0,129.695,6429813969.0
13.799,0.0,89954.0,5365.0,48.0,129.684,6429826928.0
13.898,0.0,89954.0,5365.0,48.0,129.684,6429839893.0
13.999,0.0,89954.0,5365.0,48.0,129.686,6429852856.0
14.099,0.0,89954.0,5365.0,48.0,129.689,6429865822.0
14.198,0.0,89954.0,5365.0,48.0,129.695,6429878787.0
14.297,0.0,89954.0,5365.0,48.0,129.689,6429878787.0
14.399,0.0,89954.0,5365.0,48.0,129.708,6429891750.0
14.498,0.0,89954.0,5365.0,48.0,129.689,6429904718.0
