elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,89376.0,5943.0,49.0,132.071,7761569756.0
0.090,0.0,89376.0,5943.0,49.0,131.873,7761582872.0
0.189,0.0,89376.0,5943.0,49.0,131.693,7761595974.0
0.290,0.0,89376.0,5943.0,49.0,131.556,7761609043.0
0.389,0.0,89376.0,5943.0,49.0,131.393,7761622121.0
0.489,0.0,89376.0,5943.0,49.0,131.253,7761635183.0
0.589,0.0,89376.0,5943.0,49.0,131.12,7761648249.0
0.690,0.0,89376.0,5943.0,49.0,131.009,7761661310.0
0.788,0.0,89376.0,5943.0,49.0,130.922,7761674339.0
0.888,0.0,89376.0,5943.0,49.0,130.823,7761687388.0
0.989,0.0,89376.0,5943.0,49.0,130.757,7761700450.0
1.089,0.0,89376.0,5943.0,48.0,130.684,7761713495.0
1.189,0.0,89376.0,5943.0,48.0,130.605,7761726529.0
1.289,0.0,89376.0,5943.0,48.0,130.541,7761739550.0
1.389,0.0,89376.0,5943.0,48.0,130.493,7761752560.0
1.489,0.0,89376.0,5943.0,48.0,130.442,7761765576.0
1.588,0.0,89376.0,5943.0,48.0,130.378,7761778582.0
1.689,0.0,89376.0,5943.0,48.0,130.328,7761791592.0
1.789,0.0,89376.0,5943.0,48.0,130.302,7761804599.0
1.889,0.0,89376.0,5943.0,48.0,130.25,7761817602.0
1.989,0.0,89376.0,5943.0,48.0,130.186,7761830595.0
2.089,0.0,89376.0,5943.0,48.0,130.134,7761843582.0
2.190,0.0,89376.0,5943.0,48.0,130.097,7761869591.0
2.289,0.0,89376.0,5943.0,48.0,130.086,7761882578.0
2.390,0.0,89376.0,5943.0,48.0,130.055,7761895566.0
2.488,0.0,89376.0,5943.0,48.0,130.035,7761908548.0
2.589,0.0,89376.0,5943.0,48.0,130.012,7761908548.0
2.688,0.0,89376.0,5943.0,48.0,129.978,7761921530.0
2.789,0.0,89376.0,5943.0,48.0,129.954,7761934517.0
2.889,0.0,89376.0,5943.0,48.0,129.934,7761947486.0
2.988,0.0,89376.0,5943.0,48.0,129.917,7761960467.0
3.089,0.0,89376.0,5943.0,48.0,129.902,7761973449.0
3.189,0.0,89376.0,5943.0,48.0,129.873,7761986415.0
3.289,0.0,89376.0,5943.0,48.0,129.835,7761999381.0
3.389,0.0,89376.0,5943.0,48.0,129.829,7762012353.0
3.489,0.0,89376.0,5943.0,48.0,129.829,7762025321.0
3.589,0.0,89376.0,5943.0,48.0,129.794,7762038281.0
3.689,0.0,89376.0,5943.0,48.0,129.782,7762051242.0
3.789,0.0,89376.0,5943.0,48.0,129.752,7762064197.0
3.889,0.0,89376.0,5943.0,48.0,129.71,7762077147.0
3.989,0.0,89376.0,5943.0,48.0,129.676,7762090101.0
4.090,0.0,89376.0,5943.0,48.0,129.674,7762103055.0
4.189,0.0,89376.0,5943.0,48.0,129.657,7762116001.0
4.289,0.0,89376.0,5943.0,48.0,129.642,7762128959.0
4.389,0.0,89376.0,5943.0,48.0,129.615,7762141909.0
4.490,0.0,89376.0,5943.0,48.0,129.603,7762154864.0
4.589,0.0,89376.0,5943.0,48.0,129.594,7762167807.0
4.689,0.0,89376.0,5943.0,48.0,129.588,7762180761.0
4.789,0.0,89376.0,5943.0,48.0,129.59,7762193717.0
4.889,0.0,89376.0,5943.0,48.0,129.588,7762206660.0
4.989,0.0,89376.0,5943.0,48.0,129.596,7762219622.0
5.089,0.0,89376.0,5943.0,48.0,129.572,7762232570.0
5.189,0.0,89376.0,5943.0,48.0,129.588,7762245521.0
5.289,0.0,89376.0,5943.0,48.0,129.589,7762258483.0
5.389,0.0,89376.0,5943.0,48.0,129.569,7762284362.0
5.489,0.0,89376.0,5943.0,48.0,129.555,7762297305.0
5.589,0.0,89376.0,5943.0,47.0,129.55,7762310250.0
5.689,0.0,89376.0,5943.0,47.0,129.559,7762323186.0
5.790,0.0,89376.0,5943.0,47.0,129.537,7762323186.0
5.889,0.0,89376.0,5943.0,47.0,129.522,7762336110.0
5.988,0.0,89376.0,5943.0,47.0,129.507,7762349062.0
6.088,0.0,89376.0,5943.0,47.0,129.504,7762362005.0
6.190,0.0,89376.0,5943.0,47.0,129.48,7762374937.0
6.289,0.0,89376.0,5943.0,47.0,129.463,7762387885.0
6.388,0.0,89376.0,5943.0,47.0,129.465,7762400811.0
6.489,0.0,89376.0,5943.0,47.0,129.471,7762413758.0
6.589,0.0,89376.0,5943.0,47.0,129.463,7762426689.0
6.689,0.0,89376.0,5943.0,47.0,129.437,7762439621.0
6.789,0.0,89376.0,5943.0,47.0,129.443,7762452567.0
6.888,0.0,89376.0,5943.0,47.0,129.442,7762465507.0
6.990,0.0,89376.0,5943.0,47.0,129.426,7762478426.0
7.089,0.0,89376.0,5943.0,47.0,129.408,7762491360.0
7.190,0.0,89376.0,5943.0,47.0,129.401,7762504274.0
7.290,0.0,89376.0,5943.0,47.0,129.376,7762517200.0
7.389,0.0,89376.0,5943.0,47.0,129.393,7762530137.0
7.490,0.0,89376.0,5943.0,47.0,129.382,7762543065.0
7.590,0.0,89376.0,5943.0,47.0,129.375,7762555992.0
7.689,0.0,89376.0,5943.0,47.0,129.37,7762568911.0
7.789,0.0,89376.0,5943.0,47.0,129.346,7762581846.0
7.889,0.0,89376.0,5943.0,47.0,129.347,7762594769.0
7.989,0.0,89376.0,5943.0,47.0,129.353,7762607693.0
8.089,0.0,89376.0,5943.0,47.0,129.334,7762620622.0
8.189,0.0,89376.0,5943.0,47.0,129.349,7762633538.0
