elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90246.0,5073.0,47.0,127.04,2348304682.0
0.098,0.0,90246.0,5073.0,47.0,127.092,2348317466.0
0.199,0.0,90246.0,5073.0,47.0,127.21,2348330240.0
0.298,0.0,90246.0,5073.0,47.0,127.3,2348343045.0
0.398,0.0,90246.0,5073.0,47.0,127.393,2348355778.0
0.498,0.0,90246.0,5073.0,47.0,127.399,2348368487.0
0.598,0.0,90246.0,5073.0,47.0,127.389,2348381158.0
0.699,0.0,90246.0,5073.0,47.0,127.382,2348393809.0
0.798,0.0,90246.0,5073.0,47.0,127.356,2348406496.0
0.901,0.0,90246.0,5073.0,47.0,127.356,2348419169.0
0.998,0.0,90246.0,5073.0,47.0,127.333,2348419169.0
1.098,0.0,90246.0,5073.0,47.0,127.264,2348431883.0
1.198,0.0,90246.0,5073.0,47.0,127.143,2348444568.0
1.298,0.0,90246.0,5073.0,47.0,127.0,2348457249.0
1.398,0.0,90246.0,5073.0,47.0,126.895,2348469908.0
1.498,0.0,90246.0,5073.0,47.0,126.886,2348482636.0
1.597,0.0,90246.0,5073.0,47.0,126.955,2348495346.0
1.698,0.0,90246.0,5073.0,47.0,127.075,2348508117.0
1.798,0.0,90246.0,5073.0,47.0,127.191,2348520910.0
1.899,0.0,90246.0,5073.0,47.0,127.264,2348533698.0
1.998,0.0,90246.0,5073.0,47.0,127.257,2348546407.0
2.098,0.0,90246.0,5073.0,47.0,127.229,2348559078.0
2.199,0.0,90246.0,5073.0,47.0,127.22,2348571751.0
2.298,0.0,90246.0,5073.0,47.0,127.252,2348584411.0
2.398,0.0,90246.0,5073.0,47.0,127.21,2348597084.0
2.498,0.0,90246.0,5073.0,47.0,127.166,2348622394.0
2.598,0.0,90246.0,5073.0,47.0,127.091,2348635060.0
2.699,0.0,90246.0,5073.0,47.0,126.965,2348647701.0
2.798,0.0,90246.0,5073.0,47.0,126.841,2348660385.0
2.899,0.0,90246.0,5073.0,47.0,126.746,2348673101.0
2.999,0.0,90246.0,5073.0,47.0,126.777,2348685844.0
3.098,0.0,90246.0,5073.0,47.0,126.851,2348698587.0
3.199,0.0,90246.0,5073.0,47.0,126.949,2348711383.0
3.299,0.0,90246.0,5073.0,47.0,127.053,2348724155.0
3.399,0.0,90246.0,5073.0,47.0,127.138,2348736874.0
3.498,0.0,90246.0,5073.0,47.0,127.225,2348749544.0
3.598,0.0,90246.0,5073.0,47.0,127.191,2348762213.0
3.698,0.0,90246.0,5073.0,47.0,127.202,2348774827.0
3.798,0.0,90246.0,5073.0,47.0,127.202,2348787483.0
3.898,0.0,90246.0,5073.0,47.0,127.166,2348787483.0
3.998,0.0,90246.0,5073.0,47.0,127.151,2348800141.0
4.098,0.0,90246.0,5073.0,47.0,127.086,2348812836.0
4.199,0.0,90246.0,5073.0,47.0,126.926,2348825518.0
4.298,0.0,90246.0,5073.0,47.0,126.8,2348838205.0
4.398,0.0,90246.0,5073.0,47.0,126.783,2348850878.0
4.498,0.0,90246.0,5073.0,47.0,126.809,2348863599.0
4.598,0.0,90246.0,5073.0,47.0,126.935,2348876329.0
4.698,0.0,90246.0,5073.0,47.0,127.085,2348889109.0
4.798,0.0,90246.0,5073.0,47.0,127.211,2348901902.0
4.898,0.0,90246.0,5073.0,47.0,127.27,2348914672.0
4.998,0.0,90246.0,5073.0,47.0,127.255,2348927356.0
5.098,0.0,90246.0,5073.0,47.0,127.212,2348940017.0
5.199,0.0,90246.0,5073.0,47.0,127.16,2348952656.0
5.299,0.0,90246.0,5073.0,47.0,127.178,2348965299.0
5.399,0.0,90246.0,5073.0,47.0,127.144,2348990679.0
5.499,0.0,90246.0,5073.0,47.0,127.091,2349003334.0
5.598,0.0,90246.0,5073.0,47.0,126.992,2349016011.0
5.699,0.0,90246.0,5073.0,47.0,126.868,2349028677.0
5.799,0.0,90246.0,5073.0,47.0,126.792,2349041362.0
5.899,0.0,90246.0,5073.0,47.0,126.771,2349054090.0
5.999,0.0,90246.0,5073.0,47.0,126.832,2349066838.0
6.098,0.0,90246.0,5073.0,47.0,126.953,2349079611.0
6.198,0.0,90246.0,5073.0,47.0,127.114,2349092409.0
6.298,0.0,90246.0,5073.0,47.0,127.235,2349105165.0
6.399,0.0,90246.0,5073.0,47.0,127.25,2349117876.0
6.499,0.0,90246.0,5073.0,47.0,127.29,2349130553.0
6.599,0.0,90246.0,5073.0,47.0,127.29,2349143162.0
6.698,0.0,90246.0,5073.0,47.0,127.229,2349143162.0
6.798,0.0,90246.0,5073.0,47.0,127.185,2349155780.0
6.898,0.0,90246.0,5073.0,47.0,127.162,2349168461.0
6.998,0.0,90246.0,5073.0,47.0,127.128,2349181156.0
7.099,0.0,90246.0,5073.0,47.0,126.987,2349193845.0
7.198,0.0,90246.0,5073.0,47.0,126.888,2349206493.0
7.298,0.0,90246.0,5073.0,47.0,126.774,2349219169.0
7.398,0.0,90246.0,5073.0,47.0,126.786,2349231880.0
7.498,0.0,90246.0,5073.0,47.0,126.821,2349244606.0
7.598,0.0,90246.0,5073.0,47.0,126.959,2349257366.0
7.698,0.0,90246.0,5073.0,47.0,127.127,2349270114.0
7.798,0.0,90246.0,5073.0,47.0,127.214,2349282885.0
7.897,0.0,90246.0,5073.0,47.0,127.189,2349295596.0
7.998,0.0,90246.0,5073.0,47.0,127.148,2349308250.0
8.098,0.0,90246.0,5073.0,47.0,127.147,2349320900.0
8.198,0.0,90246.0,5073.0,47.0,127.166,2349346257.0
8.299,0.0,90246.0,5073.0,47.0,127.157,2349358957.0
8.399,0.0,90246.0,5073.0,47.0,127.12,2349371623.0
8.498,0.0,90246.0,5073.0,47.0,127.058,2349384287.0
8.598,0.0,90246.0,5073.0,47.0,126.957,2349396968.0
8.698,0.0,90246.0,5073.0,47.0,126.87,2349409639.0
8.799,0.0,90246.0,5073.0,47.0,126.783,2349422316.0
8.898,0.0,90246.0,5073.0,47.0,126.827,2349435049.0
8.999,0.0,90246.0,5073.0,47.0,126.878,2349447794.0
9.098,0.0,90246.0,5073.0,47.0,127.011,2349460577.0
9.198,0.0,90246.0,5073.0,47.0,127.119,2349473356.0
9.298,0.0,90246.0,5073.0,47.0,127.194,2349486100.0
9.399,0.0,90246.0,5073.0,47.0,127.201,2349498763.0
9.498,0.0,90246.0,5073.0,47.0,127.164,2349511392.0
9.598,0.0,90246.0,5073.0,47.0,127.164,2349524058.0
9.698,0.0,90246.0,5073.0,47.0,127.141,2349524058.0
9.798,0.0,90246.0,5073.0,47.0,127.116,2349536695.0
9.898,0.0,90246.0,5073.0,47.0,127.067,2349549355.0
9.999,0.0,90246.0,5073.0,47.0,127.046,2349562031.0
10.098,0.0,90246.0,5073.0,47.0,126.9,2349574718.0
10.198,0.0,90246.0,5073.0,47.0,126.805,2349587411.0
10.298,0.0,90246.0,5073.0,47.0,126.732,2349600081.0
10.398,0.0,90246.0,5073.0,47.0,126.742,2349612782.0
10.498,0.0,90246.0,5073.0,47.0,126.857,2349625497.0
10.598,0.0,90246.0,5073.0,47.0,126.981,2349638245.0
10.697,0.0,90246.0,5073.0,47.0,127.061,2349650996.0
10.799,0.0,90246.0,5073.0,47.0,127.164,2349663725.0
10.897,0.0,90246.0,5073.0,47.0,127.134,2349676429.0
10.997,0.0,90246.0,5073.0,47.0,127.104,2349689099.0
11.098,0.0,90246.0,5073.0,47.0,127.127,2349701762.0
11.198,0.0,90246.0,5073.0,47.0,127.085,2349714434.0
11.298,0.0,90246.0,5073.0,47.0,127.061,2349739766.0
11.399,0.0,90246.0,5073.0,47.0,127.06,2349752432.0
11.499,0.0,90246.0,5073.0,47.0,126.935,2349765074.0
