elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90246.0,5073.0,46.0,125.425,7443280336.0
0.098,0.0,90246.0,5073.0,46.0,125.425,7443280336.0
0.198,0.0,90246.0,5073.0,46.0,125.435,7443292860.0
0.298,0.0,90246.0,5073.0,46.0,125.428,7443305418.0
0.398,0.0,90246.0,5073.0,46.0,125.409,7443317936.0
0.498,0.0,90246.0,5073.0,46.0,125.384,7443330421.0
0.598,0.0,90246.0,5073.0,46.0,125.383,7443342959.0
0.698,0.0,90246.0,5073.0,46.0,125.349,7443367998.0
0.797,0.0,90246.0,5073.0,46.0,125.349,7443367998.0
0.898,0.0,90246.0,5073.0,46.0,125.337,7443380490.0
0.997,0.0,90246.0,5073.0,46.0,125.281,7443393023.0
1.098,0.0,90246.0,5073.0,46.0,125.284,7443405559.0
1.198,0.0,90246.0,5073.0,46.0,125.294,7443418045.0
1.298,0.0,90246.0,5073.0,46.0,125.271,7443418045.0
1.398,0.0,90246.0,5073.0,46.0,125.212,7443430556.0
1.498,0.0,90246.0,5073.0,46.0,125.236,7443443070.0
1.598,0.0,90246.0,5073.0,46.0,125.249,7443455611.0
1.697,0.0,90246.0,5073.0,46.0,125.226,7443468111.0
1.797,0.0,90246.0,5073.0,46.0,125.18,7443480596.0
1.897,0.0,90246.0,5073.0,46.0,125.194,7443493103.0
1.997,0.0,90246.0,5073.0,46.0,125.189,7443505621.0
2.097,0.0,90246.0,5073.0,46.0,125.168,7443518134.0
2.197,0.0,90246.0,5073.0,46.0,125.145,7443530618.0
2.298,0.0,90246.0,5073.0,46.0,125.173,7443543149.0
2.397,0.0,90246.0,5073.0,46.0,125.166,7443555654.0
2.498,0.0,90246.0,5073.0,46.0,125.142,7443568157.0
2.598,0.0,90246.0,5073.0,46.0,125.142,7443580670.0
2.697,0.0,90246.0,5073.0,46.0,125.147,7443593181.0
2.797,0.0,90246.0,5073.0,46.0,125.2,7443605702.0
2.897,0.0,90246.0,5073.0,46.0,125.166,7443630704.0
2.997,0.0,90246.0,5073.0,46.0,125.167,7443643218.0
3.097,0.0,90246.0,5073.0,46.0,125.15,7443655722.0
3.197,0.0,90246.0,5073.0,46.0,125.17,7443668191.0
3.297,0.0,90246.0,5073.0,46.0,125.123,7443680697.0
3.397,0.0,90246.0,5073.0,46.0,125.126,7443693187.0
3.498,0.0,90246.0,5073.0,46.0,125.068,7443705662.0
3.598,0.0,90246.0,5073.0,46.0,125.037,7443718131.0
3.698,0.0,90246.0,5073.0,46.0,125.012,7443730647.0
3.798,0.0,90246.0,5073.0,46.0,125.014,7443743125.0
3.898,0.0,90246.0,5073.0,46.0,125.022,7443755644.0
3.997,0.0,90246.0,5073.0,46.0,125.028,7443768151.0
4.098,0.0,90246.0,5073.0,46.0,125.01,7443780651.0
4.198,0.0,90246.0,5073.0,46.0,125.01,7443793124.0
4.298,0.0,90246.0,5073.0,46.0,125.01,7443805611.0
4.398,0.0,90246.0,5073.0,46.0,125.008,7443805611.0
4.498,0.0,90246.0,5073.0,46.0,125.03,7443818097.0
4.598,0.0,90246.0,5073.0,46.0,125.075,7443843081.0
4.697,0.0,90246.0,5073.0,46.0,125.075,7443843081.0
4.798,0.0,90246.0,5073.0,46.0,125.086,7443855609.0
4.898,0.0,90246.0,5073.0,46.0,125.048,7443868082.0
4.998,0.0,90246.0,5073.0,46.0,125.059,7443880599.0
5.097,0.0,90246.0,5073.0,46.0,125.065,7443893096.0
5.198,0.0,90246.0,5073.0,46.0,125.073,7443905596.0
5.298,0.0,90246.0,5073.0,46.0,125.073,7443918100.0
5.398,0.0,90246.0,5073.0,46.0,125.063,7443930600.0
5.498,0.0,90246.0,5073.0,46.0,125.052,7443943097.0
5.597,0.0,90246.0,5073.0,46.0,125.049,7443955588.0
5.697,0.0,90246.0,5073.0,46.0,125.037,7443968069.0
5.798,0.0,90246.0,5073.0,46.0,124.998,7443980539.0
5.898,0.0,90246.0,5073.0,46.0,125.012,7443993020.0
5.998,0.0,90246.0,5073.0,46.0,124.977,7444018020.0
6.098,0.0,90246.0,5073.0,46.0,125.005,7444043029.0
6.198,0.0,90246.0,5073.0,46.0,125.005,7444043029.0
6.298,0.0,90246.0,5073.0,46.0,124.968,7444055505.0
6.398,0.0,90246.0,5073.0,46.0,124.979,7444067976.0
6.497,0.0,90246.0,5073.0,46.0,124.959,7444080494.0
6.598,0.0,90246.0,5073.0,46.0,124.975,7444093006.0
6.698,0.0,90246.0,5073.0,46.0,124.966,7444105474.0
6.797,0.0,90246.0,5073.0,46.0,124.987,7444117971.0
6.897,0.0,90246.0,5073.0,46.0,124.995,7444130463.0
6.998,0.0,90246.0,5073.0,46.0,124.989,7444142937.0
7.098,0.0,90246.0,5073.0,46.0,124.965,7444155422.0
7.198,0.0,90246.0,5073.0,46.0,124.913,7444167924.0
7.298,0.0,90246.0,5073.0,46.0,124.95,7444180404.0
7.398,0.0,90246.0,5073.0,46.0,124.947,7444192886.0
7.497,0.0,90246.0,5073.0,46.0,124.942,7444192886.0
7.598,0.0,90246.0,5073.0,46.0,124.934,7444205369.0
7.698,0.0,90246.0,5073.0,46.0,124.902,7444217842.0
7.798,0.0,90246.0,5073.0,46.0,124.928,7444230355.0
7.898,0.0,90246.0,5073.0,46.0,124.931,7444242854.0
7.998,0.0,90246.0,5073.0,46.0,124.957,7444255368.0
8.098,0.0,90246.0,5073.0,46.0,124.985,7444267871.0
8.198,0.0,90246.0,5073.0,46.0,124.951,7444280339.0
8.298,0.0,90246.0,5073.0,46.0,124.95,7444292833.0
8.398,0.0,90246.0,5073.0,46.0,124.953,7444317777.0
8.498,0.0,90246.0,5073.0,46.0,124.953,7444317777.0
8.598,0.0,90246.0,5073.0,46.0,124.958,7444330283.0
8.697,0.0,90246.0,5073.0,46.0,124.984,7444342783.0
8.798,0.0,90246.0,5073.0,46.0,124.999,7444355279.0
8.898,0.0,90246.0,5073.0,46.0,124.99,7444367764.0
8.997,0.0,90246.0,5073.0,46.0,124.953,7444380251.0
9.098,0.0,90246.0,5073.0,46.0,124.972,7444405258.0
9.197,0.0,90246.0,5073.0,46.0,125.003,7444417751.0
9.298,0.0,90246.0,5073.0,46.0,125.006,7444430244.0
9.398,0.0,90246.0,5073.0,46.0,125.029,7444442699.0
9.497,0.0,90246.0,5073.0,46.0,125.0,7444455169.0
9.597,0.0,90246.0,5073.0,46.0,124.959,7444467651.0
9.698,0.0,90246.0,5073.0,46.0,124.93,7444480131.0
9.798,0.0,90246.0,5073.0,46.0,124.922,7444492624.0
