elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90834.0,4485.0,45.0,123.741,18000209.0
0.090,0.0,90834.0,4485.0,45.0,123.756,18012578.0
0.191,0.0,90834.0,4485.0,45.0,123.721,18024944.0
0.292,0.0,90834.0,4485.0,45.0,123.701,18037289.0
0.391,0.0,90834.0,4485.0,45.0,123.722,18049642.0
0.492,0.0,90834.0,4485.0,45.0,123.703,18061997.0
0.591,0.0,90834.0,4485.0,45.0,123.676,18074348.0
0.690,0.0,90834.0,4485.0,45.0,123.646,18086695.0
0.791,0.0,90834.0,4485.0,45.0,123.641,18099048.0
0.892,0.0,90834.0,4485.0,45.0,123.603,18111404.0
0.992,0.0,90834.0,4485.0,45.0,123.592,18123752.0
1.091,0.0,90834.0,4485.0,45.0,123.597,18136115.0
1.192,0.0,90834.0,4485.0,45.0,123.579,18148464.0
1.292,0.0,90834.0,4485.0,45.0,123.574,18160825.0
1.391,0.0,90834.0,4485.0,45.0,123.575,18173161.0
1.492,0.0,90834.0,4485.0,45.0,123.56,18185512.0
1.592,0.0,90834.0,4485.0,45.0,123.555,18185512.0
1.692,0.0,90834.0,4485.0,45.0,123.557,18197853.0
1.792,0.0,90834.0,4485.0,45.0,123.564,18210192.0
1.891,0.0,90834.0,4485.0,45.0,123.538,18222540.0
1.992,0.0,90834.0,4485.0,45.0,123.521,18234877.0
2.091,0.0,90834.0,4485.0,45.0,123.528,18259560.0
2.191,0.0,90834.0,4485.0,45.0,123.501,18271900.0
2.291,0.0,90834.0,4485.0,45.0,123.501,18284249.0
2.392,0.0,90834.0,4485.0,45.0,123.48,18296574.0
2.491,0.0,90834.0,4485.0,45.0,123.472,18308912.0
2.592,0.0,90834.0,4485.0,45.0,123.478,18321247.0
2.692,0.0,90834.0,4485.0,45.0,123.466,18333596.0
2.792,0.0,90834.0,4485.0,45.0,123.447,18345917.0
2.892,0.0,90834.0,4485.0,45.0,123.457,18358270.0
2.991,0.0,90834.0,4485.0,45.0,123.444,18370604.0
3.091,0.0,90834.0,4485.0,45.0,123.442,18382953.0
3.191,0.0,90834.0,4485.0,45.0,123.43,18395277.0
3.291,0.0,90834.0,4485.0,45.0,123.442,18407606.0
3.392,0.0,90834.0,4485.0,45.0,123.428,18419940.0
3.491,0.0,90834.0,4485.0,45.0,123.426,18432264.0
3.592,0.0,90834.0,4485.0,45.0,123.395,18444582.0
3.692,0.0,90834.0,4485.0,45.0,123.394,18456924.0
3.792,0.0,90834.0,4485.0,45.0,123.385,18469245.0
3.891,0.0,90834.0,4485.0,45.0,123.363,18481556.0
3.991,0.0,90834.0,4485.0,45.0,123.351,18493880.0
4.091,0.0,90834.0,4485.0,45.0,123.336,18506214.0
4.192,0.0,90834.0,4485.0,45.0,123.312,18518526.0
4.291,0.0,90834.0,4485.0,45.0,123.32,18530854.0
4.392,0.0,90834.0,4485.0,45.0,123.33,18543194.0
4.491,0.0,90834.0,4485.0,45.0,123.323,18555534.0
4.592,0.0,90834.0,4485.0,45.0,123.333,18555534.0
4.692,0.0,90834.0,4485.0,45.0,123.31,18567838.0
4.792,0.0,90834.0,4485.0,45.0,123.318,18580155.0
4.892,0.0,90834.0,4485.0,45.0,123.309,18592493.0
4.991,0.0,90834.0,4485.0,45.0,123.313,18604806.0
5.092,0.0,90834.0,4485.0,45.0,123.31,18629456.0
5.192,0.0,90834.0,4485.0,45.0,123.31,18641775.0
5.291,0.0,90834.0,4485.0,45.0,123.282,18654085.0
5.392,0.0,90834.0,4485.0,45.0,123.303,18666409.0
5.492,0.0,90834.0,4485.0,45.0,123.256,18678728.0
5.591,0.0,90834.0,4485.0,45.0,123.25,18691043.0
5.691,0.0,90834.0,4485.0,45.0,123.252,18703373.0
5.792,0.0,90834.0,4485.0,45.0,123.267,18715697.0
5.891,0.0,90834.0,4485.0,45.0,123.262,18728027.0
5.991,0.0,90834.0,4485.0,45.0,123.268,18740343.0
6.091,0.0,90834.0,4485.0,45.0,123.291,18752666.0
6.191,0.0,90834.0,4485.0,45.0,123.285,18764978.0
6.291,0.0,90834.0,4485.0,45.0,123.281,18777309.0
6.392,0.0,90834.0,4485.0,45.0,123.293,18789634.0
6.492,0.0,90834.0,4485.0,45.0,123.329,18801959.0
6.592,0.0,90834.0,4485.0,45.0,123.323,18814292.0
6.692,0.0,90834.0,4485.0,45.0,123.315,18826600.0
6.792,0.0,90834.0,4485.0,45.0,123.326,18838929.0
6.892,0.0,90834.0,4485.0,45.0,123.308,18851255.0
6.991,0.0,90834.0,4485.0,45.0,123.32,18863600.0
7.091,0.0,90834.0,4485.0,45.0,123.318,18875916.0
7.191,0.0,90834.0,4485.0,45.0,123.33,18888234.0
7.291,0.0,90834.0,4485.0,45.0,123.309,18900555.0
7.392,0.0,90834.0,4485.0,45.0,123.285,18912863.0
7.492,0.0,90834.0,4485.0,45.0,123.279,18925185.0
7.592,0.0,90834.0,4485.0,45.0,123.286,18937519.0
7.692,0.0,90834.0,4485.0,45.0,123.276,18937519.0
7.792,0.0,90834.0,4485.0,45.0,123.293,18949837.0
7.892,0.0,90834.0,4485.0,45.0,123.264,18962140.0
7.992,0.0,90834.0,4485.0,45.0,123.251,18986797.0
8.092,0.0,90834.0,4485.0,45.0,123.251,18999098.0
8.192,0.0,90834.0,4485.0,45.0,123.252,19011412.0
8.292,0.0,90834.0,4485.0,45.0,123.251,19023721.0
8.392,0.0,90834.0,4485.0,45.0,123.239,19036037.0
8.492,0.0,90834.0,4485.0,45.0,123.226,19048337.0
8.592,0.0,90834.0,4485.0,45.0,123.227,19060647.0
8.691,0.0,90834.0,4485.0,45.0,123.192,19072969.0
8.792,0.0,90834.0,4485.0,45.0,123.204,19085278.0
8.892,0.0,90834.0,4485.0,45.0,123.204,19097603.0
8.992,0.0,90834.0,4485.0,45.0,123.205,19109903.0
9.093,0.0,90834.0,4485.0,45.0,123.18,19122238.0
9.192,0.0,90834.0,4485.0,45.0,123.186,19134540.0
9.292,0.0,90834.0,4485.0,45.0,123.204,19146862.0
