elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90834.0,4485.0,46.0,123.98,611011926.0
0.092,0.0,90834.0,4485.0,46.0,123.955,611024305.0
0.192,0.0,90834.0,4485.0,46.0,123.946,611036703.0
0.292,0.0,90834.0,4485.0,46.0,123.932,611049081.0
0.392,0.0,90834.0,4485.0,46.0,123.944,611061470.0
0.492,0.0,90834.0,4485.0,46.0,123.923,611073850.0
0.593,0.0,90834.0,4485.0,46.0,123.913,611086232.0
0.692,0.0,90834.0,4485.0,46.0,123.925,611086232.0
0.792,0.0,90834.0,4485.0,46.0,123.933,611098625.0
0.892,0.0,90834.0,4485.0,46.0,123.943,611111032.0
0.992,0.0,90834.0,4485.0,46.0,123.942,611123429.0
1.092,0.0,90834.0,4485.0,46.0,123.967,611135808.0
1.192,0.0,90834.0,4485.0,46.0,123.958,611148200.0
1.292,0.0,90834.0,4485.0,46.0,123.975,611160590.0
1.392,0.0,90834.0,4485.0,46.0,123.964,611172971.0
1.492,0.0,90834.0,4485.0,46.0,123.974,611185365.0
1.593,0.0,90834.0,4485.0,46.0,123.961,611197752.0
1.692,0.0,90834.0,4485.0,46.0,123.955,611222514.0
1.792,0.0,90834.0,4485.0,46.0,123.951,611234917.0
1.892,0.0,90834.0,4485.0,46.0,123.934,611247297.0
1.992,0.0,90834.0,4485.0,46.0,123.917,611259686.0
2.092,0.0,90834.0,4485.0,46.0,123.907,611272067.0
2.192,0.0,90834.0,4485.0,46.0,123.928,611284456.0
2.292,0.0,90834.0,4485.0,46.0,123.896,611296849.0
2.392,0.0,90834.0,4485.0,46.0,123.895,611309233.0
2.492,0.0,90834.0,4485.0,46.0,123.913,611321609.0
2.591,0.0,90834.0,4485.0,46.0,123.919,611333991.0
2.692,0.0,90834.0,4485.0,46.0,123.911,611346392.0
2.791,0.0,90834.0,4485.0,46.0,123.922,611358757.0
2.892,0.0,90834.0,4485.0,46.0,123.913,611371128.0
2.992,0.0,90834.0,4485.0,46.0,123.908,611383518.0
3.092,0.0,90834.0,4485.0,46.0,123.906,611395904.0
3.192,0.0,90834.0,4485.0,46.0,123.909,611408282.0
3.292,0.0,90834.0,4485.0,46.0,123.888,611420652.0
3.392,0.0,90834.0,4485.0,46.0,123.864,611433029.0
3.492,0.0,90834.0,4485.0,46.0,123.871,611445404.0
3.593,0.0,90834.0,4485.0,46.0,123.871,611445404.0
3.692,0.0,90834.0,4485.0,46.0,123.893,611457783.0
3.792,0.0,90834.0,4485.0,46.0,123.876,611470179.0
3.893,0.0,90834.0,4485.0,46.0,123.878,611482568.0
3.992,0.0,90834.0,4485.0,46.0,123.912,611494938.0
4.092,0.0,90834.0,4485.0,46.0,123.899,611507336.0
4.192,0.0,90834.0,4485.0,46.0,123.912,611519715.0
