elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,95.0,90716.0,4603.0,61.0,470.85,202371765887.0
0.096,95.0,90716.0,4603.0,61.0,505.857,202371813485.0
0.195,95.0,90716.0,4603.0,61.0,531.818,202371862525.0
0.296,95.0,90716.0,4603.0,61.0,533.25,202371910553.0
0.396,95.0,90716.0,4603.0,61.0,512.914,202371959263.0
0.496,95.0,90716.0,4603.0,61.0,491.028,202372008448.0
0.596,95.0,90716.0,4603.0,61.0,483.692,202372106779.0
0.710,95.0,90716.0,4603.0,61.0,483.793,202372203773.0
0.806,95.0,90716.0,4603.0,61.0,483.793,202372203773.0
0.903,95.0,90716.0,4603.0,61.0,485.095,202372252505.0
0.999,95.0,90716.0,4603.0,61.0,485.095,202372301141.0
1.097,95.0,90716.0,4603.0,62.0,483.931,202372301141.0
1.195,95.0,90716.0,4603.0,61.0,484.576,202372349957.0
1.296,95.0,90716.0,4603.0,62.0,485.583,202372399589.0
1.395,95.0,90716.0,4603.0,62.0,486.744,202372447773.0
1.497,96.0,90716.0,4603.0,61.0,485.494,202372496364.0
1.596,96.0,90716.0,4603.0,62.0,486.218,202372542296.0
1.697,95.0,90716.0,4603.0,59.0,478.597,202372584318.0
1.797,95.0,90716.0,4603.0,59.0,473.919,202372630692.0
1.895,93.0,90716.0,4603.0,58.0,470.322,202372674785.0
1.997,89.0,90716.0,4603.0,57.0,447.413,202372713766.0
2.100,89.0,90716.0,4603.0,56.0,431.65,202372745326.0
2.197,88.0,90716.0,4603.0,56.0,410.624,202372777488.0
2.297,88.0,90716.0,4603.0,55.0,387.923,202372801921.0
2.396,86.0,90716.0,4603.0,54.0,369.657,202372833692.0
2.497,86.0,90716.0,4603.0,54.0,348.584,202372857987.0
2.595,83.0,90716.0,4603.0,54.0,332.011,202372889351.0
2.697,83.0,90716.0,4603.0,53.0,312.473,202372912791.0
2.796,82.0,90716.0,4603.0,53.0,290.59,202372935468.0
2.896,82.0,90716.0,4603.0,53.0,271.691,202372957705.0
2.997,80.0,90716.0,4603.0,53.0,264.738,202373008840.0
3.099,80.0,90716.0,4603.0,53.0,265.464,202373040402.0
3.209,80.0,90716.0,4603.0,52.0,259.091,202373087332.0
3.322,80.0,90716.0,4603.0,52.0,250.482,202373112629.0
3.399,80.0,90716.0,4603.0,52.0,250.482,202373112629.0
3.495,80.0,90716.0,4603.0,52.0,252.705,202373112629.0
3.596,80.0,90716.0,4603.0,52.0,256.414,202373141675.0
3.697,80.0,90716.0,4603.0,52.0,266.053,202373172330.0
3.797,80.0,90716.0,4603.0,52.0,269.507,202373203188.0
3.895,80.0,90716.0,4603.0,52.0,274.386,202373231417.0
3.996,79.0,90716.0,4603.0,52.0,279.758,202373262467.0
4.097,79.0,90716.0,4603.0,52.0,277.471,202373289452.0
4.196,78.0,90716.0,4603.0,52.0,273.816,202373312409.0
4.298,78.0,90716.0,4603.0,52.0,279.448,202373338471.0
4.410,78.0,90716.0,4603.0,52.0,283.931,202373396218.0
4.503,78.0,90716.0,4603.0,52.0,283.931,202373396218.0
4.596,76.0,90716.0,4603.0,52.0,282.453,202373420140.0
4.696,76.0,90716.0,4603.0,52.0,278.469,202373455467.0
4.813,77.0,90716.0,4603.0,51.0,279.524,202373510554.0
4.909,76.0,90716.0,4603.0,51.0,288.868,202373538939.0
4.996,76.0,90716.0,4603.0,51.0,288.868,202373538939.0
5.095,76.0,90716.0,4603.0,51.0,292.409,202373575179.0
5.199,76.0,90716.0,4603.0,51.0,293.66,202373607450.0
5.307,76.0,90716.0,4603.0,51.0,294.708,202373638153.0
