elapsed_s,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
0.000,0.0,90246.0,5073.0,46.0,124.601,194677863784.0
0.098,0.0,90246.0,5073.0,46.0,124.599,194677876252.0
0.198,0.0,90246.0,5073.0,46.0,124.613,194677888681.0
0.298,0.0,90246.0,5073.0,46.0,124.569,194677913587.0
0.411,0.0,90246.0,5073.0,46.0,124.602,194677926047.0
0.498,0.0,90246.0,5073.0,46.0,124.553,194677938496.0
0.598,0.0,90246.0,5073.0,46.0,124.618,194677950960.0
0.698,0.0,90246.0,5073.0,46.0,124.601,194677963396.0
0.809,0.0,90246.0,5073.0,46.0,124.623,194677975870.0
0.898,0.0,90246.0,5073.0,46.0,124.606,194677988314.0
0.998,0.0,90246.0,5073.0,46.0,124.626,194678000806.0
1.117,0.0,90246.0,5073.0,46.0,124.642,194678013258.0
1.204,0.0,90246.0,5073.0,46.0,124.651,194678025721.0
1.298,0.0,90246.0,5073.0,46.0,124.645,194678038168.0
1.413,0.0,90246.0,5073.0,46.0,124.664,194678050626.0
1.502,0.0,90246.0,5073.0,46.0,124.624,194678063063.0
1.596,0.0,90246.0,5073.0,46.0,124.583,194678075502.0
1.698,0.0,90246.0,5073.0,46.0,124.625,194678087944.0
1.814,0.0,90246.0,5073.0,46.0,124.587,194678100411.0
1.901,0.0,90246.0,5073.0,46.0,124.582,194678112833.0
1.998,0.0,90246.0,5073.0,46.0,124.554,194678125298.0
2.114,0.0,90246.0,5073.0,46.0,124.51,194678137736.0
2.201,0.0,90246.0,5073.0,46.0,124.477,194678150166.0
2.301,0.0,90246.0,5073.0,46.0,124.499,194678162603.0
2.405,0.0,90246.0,5073.0,46.0,124.465,194678175056.0
2.498,0.0,90246.0,5073.0,46.0,124.487,194678175056.0
2.604,0.0,90246.0,5073.0,46.0,124.466,194678187499.0
2.698,0.0,90246.0,5073.0,46.0,124.498,194678199942.0
2.798,0.0,90246.0,5073.0,46.0,124.478,194678212370.0
2.904,0.0,90246.0,5073.0,46.0,124.512,194678224837.0
2.997,0.0,90246.0,5073.0,46.0,124.495,194678249743.0
3.098,0.0,90246.0,5073.0,46.0,124.531,194678262169.0
3.197,0.0,90246.0,5073.0,46.0,124.539,194678274632.0
3.311,0.0,90246.0,5073.0,46.0,124.509,194678287051.0
3.398,0.0,90246.0,5073.0,46.0,124.504,194678299487.0
3.498,0.0,90246.0,5073.0,46.0,124.531,194678311951.0
3.598,0.0,90246.0,5073.0,46.0,124.554,194678324415.0
3.710,0.0,90246.0,5073.0,46.0,124.527,194678336843.0
3.798,0.0,90246.0,5073.0,46.0,124.542,194678349305.0
3.898,0.0,90246.0,5073.0,46.0,124.522,194678361755.0
4.004,0.0,90246.0,5073.0,46.0,124.494,194678374196.0
4.098,0.0,90246.0,5073.0,46.0,124.489,194678386624.0
4.198,0.0,90246.0,5073.0,46.0,124.469,194678399062.0
4.312,0.0,90246.0,5073.0,46.0,124.507,194678411502.0
4.398,0.0,90246.0,5073.0,46.0,124.474,194678423940.0
4.498,0.0,90246.0,5073.0,46.0,124.448,194678436353.0
4.616,0.0,90246.0,5073.0,46.0,124.408,194678448763.0
4.698,0.0,90246.0,5073.0,46.0,124.388,194678461185.0
4.798,0.0,90246.0,5073.0,46.0,124.343,194678473616.0
4.896,0.0,90246.0,5073.0,46.0,124.347,194678486044.0
5.009,0.0,90246.0,5073.0,46.0,124.347,194678498490.0
5.100,0.0,90246.0,5073.0,46.0,124.332,194678498490.0
5.198,0.0,90246.0,5073.0,46.0,124.356,194678510928.0
5.309,0.0,90246.0,5073.0,46.0,124.366,194678523371.0
5.405,0.0,90246.0,5073.0,46.0,124.381,194678535803.0
5.501,0.0,90246.0,5073.0,46.0,124.401,194678548270.0
5.598,0.0,90246.0,5073.0,46.0,124.439,194678573145.0
5.715,0.0,90246.0,5073.0,46.0,124.45,194678585588.0
5.799,0.0,90246.0,5073.0,46.0,124.477,194678598015.0
5.898,0.0,90246.0,5073.0,46.0,124.452,194678610479.0
6.011,0.0,90246.0,5073.0,46.0,124.512,194678622907.0
6.098,0.0,90246.0,5073.0,46.0,124.496,194678635365.0
6.198,0.0,90246.0,5073.0,46.0,124.518,194678647802.0
6.311,0.0,90246.0,5073.0,46.0,124.496,194678660242.0
6.398,0.0,90246.0,5073.0,46.0,124.482,194678672650.0
6.498,0.0,90246.0,5073.0,46.0,124.467,194678685109.0
6.615,0.0,90246.0,5073.0,46.0,124.462,194678697553.0
6.699,0.0,90246.0,5073.0,46.0,124.483,194678710010.0
6.797,0.0,90246.0,5073.0,46.0,124.493,194678722434.0
6.900,0.0,90246.0,5073.0,46.0,124.483,194678734893.0
7.006,0.0,90246.0,5073.0,46.0,124.494,194678747322.0
7.097,0.0,90246.0,5073.0,46.0,124.456,194678759763.0
7.198,0.0,90246.0,5073.0,46.0,124.463,194678772193.0
7.314,0.0,90246.0,5073.0,46.0,124.47,194678784633.0
7.398,0.0,90246.0,5073.0,46.0,124.478,194678797066.0
7.498,0.0,90246.0,5073.0,46.0,124.474,194678809508.0
7.598,0.0,90246.0,5073.0,46.0,124.461,194678821950.0
7.703,0.0,90246.0,5073.0,46.0,124.449,194678834392.0
7.812,0.0,90246.0,5073.0,46.0,124.449,194678846826.0
7.915,0.0,90246.0,5073.0,46.0,124.462,194678846826.0
7.998,0.0,90246.0,5073.0,46.0,124.482,194678859284.0
8.098,0.0,90246.0,5073.0,46.0,124.499,194678871723.0
8.214,0.0,90246.0,5073.0,46.0,124.502,194678884188.0
8.298,0.0,90246.0,5073.0,46.0,124.505,194678896606.0
8.398,0.0,90246.0,5073.0,46.0,124.475,194678921441.0
8.510,0.0,90246.0,5073.0,46.0,124.461,194678933919.0
8.598,0.0,90246.0,5073.0,46.0,124.473,194678946334.0
8.698,0.0,90246.0,5073.0,46.0,124.464,194678958753.0
8.798,0.0,90246.0,5073.0,46.0,124.427,194678971146.0
8.908,0.0,90246.0,5073.0,46.0,124.388,194678983602.0
8.998,0.0,90246.0,5073.0,46.0,124.392,194678996019.0
9.098,0.0,90246.0,5073.0,46.0,124.356,194679008450.0
9.214,0.0,90246.0,5073.0,46.0,124.335,194679020849.0
9.298,0.0,90246.0,5073.0,46.0,124.341,194679033294.0
9.398,0.0,90246.0,5073.0,46.0,124.352,194679045711.0
9.507,0.0,90246.0,5073.0,46.0,124.332,194679058157.0
9.599,0.0,90246.0,5073.0,46.0,124.329,194679070577.0
9.698,0.0,90246.0,5073.0,46.0,124.342,194679083039.0
9.811,0.0,90246.0,5073.0,46.0,124.349,194679095429.0
9.898,0.0,90246.0,5073.0,46.0,124.316,194679107862.0
10.020,0.0,90246.0,5073.0,46.0,124.329,194679120263.0
10.106,0.0,90246.0,5073.0,46.0,124.34,194679132720.0
10.198,0.0,90246.0,5073.0,46.0,124.336,194679145120.0
10.298,0.0,90246.0,5073.0,46.0,124.349,194679157591.0
10.410,0.0,90246.0,5073.0,46.0,124.328,194679170001.0
10.498,0.0,90246.0,5073.0,46.0,124.324,194679182430.0
10.600,0.0,90246.0,5073.0,46.0,124.324,194679194838.0
10.698,0.0,90246.0,5073.0,46.0,124.309,194679194838.0
10.798,0.0,90246.0,5073.0,46.0,124.316,194679207305.0
10.900,0.0,90246.0,5073.0,46.0,124.342,194679219707.0
10.998,0.0,90246.0,5073.0,46.0,124.315,194679232128.0
11.099,0.0,90246.0,5073.0,46.0,124.292,194679244520.0
11.205,0.0,90246.0,5073.0,46.0,124.266,194679269332.0
11.298,0.0,90246.0,5073.0,46.0,124.262,194679281778.0
11.400,0.0,90246.0,5073.0,46.0,124.23,194679294168.0
11.514,0.0,90246.0,5073.0,46.0,124.257,194679306644.0
11.599,0.0,90246.0,5073.0,46.0,124.269,194679319049.0
11.698,0.0,90246.0,5073.0,46.0,124.306,194679331509.0
11.810,0.0,90246.0,5073.0,46.0,124.281,194679343882.0
11.898,0.0,90246.0,5073.0,46.0,124.275,194679356333.0
11.998,0.0,90246.0,5073.0,46.0,124.293,194679368729.0
12.104,0.0,90246.0,5073.0,46.0,124.343,194679381173.0
12.198,0.0,90246.0,5073.0,46.0,124.339,194679393563.0
12.314,0.0,90246.0,5073.0,46.0,124.338,194679406013.0
12.398,0.0,90246.0,5073.0,46.0,124.339,194679418393.0
12.498,0.0,90246.0,5073.0,46.0,124.301,194679430847.0
12.614,0.0,90246.0,5073.0,46.0,124.269,194679443233.0
12.698,0.0,90246.0,5073.0,46.0,124.273,194679455701.0
12.798,0.0,90246.0,5073.0,46.0,124.271,194679468070.0
12.913,0.0,90246.0,5073.0,46.0,124.254,194679480523.0
12.998,0.0,90246.0,5073.0,46.0,124.27,194679492917.0
13.098,0.0,90246.0,5073.0,46.0,124.266,194679505383.0
13.217,0.0,90246.0,5073.0,46.0,124.275,194679517752.0
13.308,0.0,90246.0,5073.0,46.0,124.257,194679530220.0
13.398,0.0,90246.0,5073.0,46.0,124.266,194679542603.0
13.498,0.0,90246.0,5073.0,46.0,124.233,194679542603.0
13.612,0.0,90246.0,5073.0,46.0,124.26,194679555051.0
13.701,0.0,90246.0,5073.0,46.0,124.255,194679567413.0
13.798,0.0,90246.0,5073.0,46.0,124.317,194679579898.0
13.898,0.0,90246.0,5073.0,46.0,124.299,194679592289.0
14.005,0.0,90246.0,5073.0,46.0,124.289,194679617149.0
14.098,0.0,90246.0,5073.0,46.0,124.265,194679629586.0
14.198,0.0,90246.0,5073.0,46.0,124.301,194679641982.0
14.298,0.0,90246.0,5073.0,46.0,124.266,194679654449.0
14.407,0.0,90246.0,5073.0,46.0,124.298,194679666825.0
14.498,0.0,90246.0,5073.0,46.0,124.279,194679679292.0
14.660,0.0,90246.0,5073.0,46.0,124.265,194679704149.0
14.769,0.0,90246.0,5073.0,46.0,124.293,194679716529.0
14.884,0.0,90246.0,5073.0,46.0,124.273,194679729006.0
14.967,0.0,90246.0,5073.0,46.0,124.299,194679741383.0
14.998,0.0,90246.0,5073.0,46.0,124.299,194679741383.0
15.098,0.0,90246.0,5073.0,46.0,124.296,194679753846.0
15.205,0.0,90246.0,5073.0,46.0,124.29,194679766232.0
15.298,0.0,90246.0,5073.0,46.0,124.312,194679778685.0
15.412,0.0,90246.0,5073.0,46.0,124.345,194679791087.0
15.499,0.0,90246.0,5073.0,46.0,124.347,194679803554.0
15.598,0.0,90246.0,5073.0,46.0,124.336,194679815937.0
15.697,0.0,90246.0,5073.0,46.0,124.35,194679828413.0
15.812,0.0,90246.0,5073.0,46.0,124.346,194679840801.0
15.900,0.0,90246.0,5073.0,46.0,124.301,194679853256.0
15.998,0.0,90246.0,5073.0,46.0,124.328,194679865638.0
16.097,0.0,90246.0,5073.0,46.0,124.297,194679878087.0
16.198,0.0,90246.0,5073.0,46.0,124.297,194679890447.0
16.298,0.0,90246.0,5073.0,46.0,124.308,194679890447.0
16.398,0.0,90246.0,5073.0,46.0,124.254,194679902878.0
16.513,0.0,90246.0,5073.0,46.0,124.227,194679915242.0
16.598,0.0,90246.0,5073.0,46.0,124.236,194679927707.0
16.699,0.0,90246.0,5073.0,46.0,124.242,194679940101.0
16.816,0.0,90246.0,5073.0,46.0,124.226,194679964946.0
16.901,0.0,90246.0,5073.0,46.0,124.232,194679977383.0
16.998,0.0,90246.0,5073.0,46.0,124.252,194679989795.0
17.101,0.0,90246.0,5073.0,46.0,124.285,194680002236.0
17.198,0.0,90246.0,5073.0,46.0,124.249,194680014620.0
17.297,0.0,90246.0,5073.0,46.0,124.287,194680027062.0
17.397,0.0,90246.0,5073.0,46.0,124.238,194680039437.0
17.512,0.0,90246.0,5073.0,46.0,124.284,194680051872.0
17.598,0.0,90246.0,5073.0,46.0,124.197,194680064257.0
17.698,4.0,90248.0,5071.0,49.0,125.261,194680107188.0
17.808,4.0,90248.0,5071.0,56.0,182.165,194680176554.0
17.898,100.0,90248.0,5071.0,59.0,234.889,194680243294.0
18.012,100.0,90248.0,5071.0,60.0,292.821,194680314920.0
18.100,100.0,90248.0,5071.0,61.0,349.882,194680381503.0
18.196,100.0,90248.0,5071.0,60.0,403.895,194680421222.0
18.314,21.0,90248.0,5071.0,53.0,407.179,194680434271.0
18.400,21.0,90248.0,5071.0,52.0,407.979,194680447112.0
18.497,0.0,90248.0,5071.0,50.0,408.373,194680459941.0
18.596,0.0,90248.0,5071.0,50.0,408.768,194680472669.0
18.715,0.0,90248.0,5071.0,49.0,407.727,194680472669.0
18.798,0.0,90248.0,5071.0,49.0,358.616,194680485379.0
18.897,0.0,90248.0,5071.0,48.0,305.615,194680498075.0
18.996,0.0,90248.0,5071.0,48.0,251.318,194680510641.0
19.106,0.0,90248.0,5071.0,48.0,188.307,194680535848.0
19.196,0.0,90248.0,5071.0,48.0,140.815,194680548396.0
19.316,0.0,90248.0,5071.0,47.0,127.021,194680560923.0
19.402,0.0,90248.0,5071.0,47.0,126.57,194680573434.0
