task,model,language,format_mode,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
EE,12B,en,dst__false,1,0.301264,1629.74,7.71929,22.3251,2.31068e-05
EE,12B,en,dst__false,2,0.310327,1686.58,7.57164,21.9037,2.29997e-05
EE,12B,en,dst__false,3,0.299871,1597.79,7.57694,22.0005,2.34599e-05
EE,12B,en,dst__false,4,0.311649,1679.41,7.55642,21.74,2.31963e-05
EE,12B,en,dst__false,5,0.318782,1614.18,7.37069,20.5628,2.4686e-05
EE,12B,en,dst__false,6,0.314054,736.16,3.35763,9.51418,5.33263e-05
EE,12B,en,dst__false,7,0.30214,1642.4,7.77009,22.4219,2.29952e-05
EE,12B,en,dst__false,8,0.306302,782.698,3.71828,10.5592,4.89176e-05
EE,12B,en,json__false,1,0,41.9084,,,
EE,12B,en,json__false,2,0.236081,702.101,3.62843,12.7365,4.20312e-05
EE,12B,en,json__false,3,0.129424,567.362,7.45303,25.0768,2.85145e-05
EE,12B,en,json__false,4,0.24546,345.254,2.25288,6.59196,8.88694e-05
EE,12B,en,json__false,5,0.238605,291.929,2.16044,5.98828,0.000102167
EE,12B,en,json__false,6,0.20071,612.147,5.3756,15.7465,4.09848e-05
EE,12B,en,json__false,7,0.189258,1230.7,7.39716,29.5664,1.92226e-05
EE,12B,en,json__false,8,0.249659,1367.26,7.38559,23.8822,2.28248e-05
EE,12B,en,json__json_xgrammar,1,0.289333,1690.4,3.95647,16.6747,2.13953e-05
EE,12B,en,json__json_xgrammar,2,0.320046,1610.26,4.1825,15.2812,2.48442e-05
EE,12B,en,json__json_xgrammar,3,0.330288,1497.62,5.47076,16.5712,2.75677e-05
EE,12B,en,json__json_xgrammar,4,0.354517,1492.17,5.38203,15.2847,2.96981e-05
EE,12B,en,json__json_xgrammar,5,0.345599,1489.68,5.65882,16.0613,2.89993e-05
EE,12B,en,json__json_xgrammar,6,0.345599,1484.03,5.63734,16.0003,2.91098e-05
EE,12B,en,json__json_xgrammar,7,0.284505,1766.16,4.35282,18.2785,2.01359e-05
EE,12B,en,json__json_xgrammar,8,0.320755,1564.28,5.52749,17.527,2.56312e-05
EE,12B,en,yaml__false,1,0.302122,1526.35,6.72032,20.1832,2.47422e-05
EE,12B,en,yaml__false,2,0.319128,1496.24,6.1637,18.1637,2.66609e-05
EE,12B,en,yaml__false,3,0.301199,1482.9,6.53259,19.6736,2.53894e-05
EE,12B,en,yaml__false,4,0.315483,1468.76,6.05985,18.0492,2.68495e-05
EE,12B,en,yaml__false,5,0.335241,1378.06,5.49575,15.682,3.04088e-05
EE,12B,en,yaml__false,6,0.334445,540.208,2.15008,6.15622,7.7388e-05
EE,12B,en,yaml__false,7,0.302622,1500.27,6.6055,19.8056,2.52139e-05
EE,12B,en,yaml__false,8,0.308497,772.638,3.38691,9.98563,4.99098e-05
EE,27B,en,dst__false,1,0.230816,2265.4,16.5358,47.8185,1.27359e-05
EE,27B,en,dst__false,2,0.296513,1786.82,7.47234,23.5108,2.0743e-05
EE,27B,en,dst__false,3,0.311733,1595.63,6.76833,20.1025,2.44208e-05
EE,27B,en,dst__false,4,0.286825,1450.99,6.02697,19.6745,2.47094e-05
EE,27B,en,dst__false,5,0.313088,1766.28,8.0883,22.9387,2.21572e-05
EE,27B,en,dst__false,6,0.331703,2031.71,8.55458,23.973,2.04078e-05
EE,27B,en,dst__false,7,0.292709,2363.71,11.7378,34.0102,1.54793e-05
EE,27B,en,dst__false,8,0.297025,2273.8,10.847,31.6906,1.63286e-05
EE,27B,en,json__false,1,0.315494,3974.99,13.0008,43.5019,9.92124e-06
EE,27B,en,json__false,2,0.335179,2593.38,7.72126,25.3941,1.61556e-05
EE,27B,en,json__false,3,0.301335,2657.29,12.4463,36.2152,1.41749e-05
EE,27B,en,json__false,4,0.332377,2483.02,9.96195,28.5815,1.67325e-05
EE,27B,en,json__false,5,0.352615,2379.28,8.91952,24.9793,1.85253e-05
EE,27B,en,json__false,6,0.355566,2434.25,9.40772,25.7252,1.82585e-05
EE,27B,en,json__false,7,0.29979,3354.96,12.8113,41.8064,1.11696e-05
EE,27B,en,json__false,8,0.328982,2924.67,11.5542,33.7624,1.40606e-05
EE,27B,en,json__json_xgrammar,1,0.305432,3180.49,8.52392,32.2075,1.20041e-05
EE,27B,en,json__json_xgrammar,2,0.324934,3080.48,8.88708,30.5755,1.31852e-05
EE,27B,en,json__json_xgrammar,3,0.296409,3103.16,14.2756,42.6551,1.19398e-05
EE,27B,en,json__json_xgrammar,4,0.332769,3010.12,12.3682,35.0014,1.38188e-05
