task,model,language,format_mode,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,12B,ewe,dst__false,1,0.7745970651912438,13909.868000000017,6.472716612377858,8.639669565217401,5.568687389350085e-05
NER,12B,ewe,dst__false,2,0.7796610169491527,5900.202000000048,2.860010664081458,3.717833648393225,0.00013214141091256643
NER,12B,ewe,dst__false,3,0.7749397590361445,8248.162999999942,3.8506830065359208,5.129454601990014,9.395301220843356e-05
NER,12B,ewe,dst__false,4,0.782415411212645,8223.458999999799,4.029132288093973,5.191577651515025,9.514431958773846e-05
NER,12B,ewe,dst__false,5,0.756235294117647,8190.785000000149,3.6533385370205838,5.09694150591173,9.232757228002362e-05
NER,12B,ewe,dst__false,6,0.799501246882793,11174.111999999965,5.5814745254745075,6.970749844042398,7.154942127685811e-05
NER,12B,ewe,dst__false,7,0.7722676937891189,4460.692000000039,2.0786076421249016,2.7809800498753363,0.0001731273295240093
NER,12B,ewe,dst__false,8,0.7761194029850746,2021.6359999999404,0.942048462255331,1.2541166253101368,0.0003839065998948859
NER,12B,hau,dst__false,1,0.6346049046321526,11392.338,2.8566544633901705,4.89151481322456,5.570453620952544e-05
NER,12B,hau,dst__false,2,0.6607570001407064,9603.349000000002,2.557483089214381,4.090012350936968,6.880485132225291e-05
NER,12B,hau,dst__false,3,0.6360424028268552,9872.605000000003,2.464454568147779,4.219061965811967,6.442498234527311e-05
NER,12B,hau,dst__false,4,0.6598083427282976,6948.505999999994,1.8559043803418787,2.9681785561725733,9.495686450127526e-05
NER,12B,hau,dst__false,5,0.6820276497695853,2703.6059999999998,0.8010684444444444,1.1785553618134261,0.0002522659180995993
NER,12B,hau,dst__false,6,0.6765788311497131,8896.226000000024,2.5853606509735614,3.8712906875544055,7.605234299912247e-05
NER,12B,hau,dst__false,7,0.6345392491467576,11919.339000000007,3.0000853259501654,5.128803356282275,5.323611058857855e-05
NER,12B,hau,dst__false,8,0.6359434475258292,6603.584999999992,1.649247002997001,2.8232513894826816,9.630275789981199e-05
NER,12B,ibo,dst__false,1,0.5429071803852891,15792.744999999995,4.647658917010005,9.262607038123164,3.437699908314161e-05
NER,12B,ibo,dst__false,2,0.5068425391591097,24435.737999999954,7.679364550597095,15.898333116460607,2.0741855194187737e-05
NER,12B,ibo,dst__false,3,0.5455704270235818,21561.38500000001,6.354666961391102,12.594266939252343,2.530312533371959e-05
NER,12B,ibo,dst__false,4,0.5069352708058124,18189.551999999967,5.732603844941685,11.849871009771965,2.786958528752183e-05
NER,12B,ibo,dst__false,5,0.6210507311789133,20092.065000000002,7.564783509036145,11.681433139534887,3.091024895544152e-05
NER,12B,ibo,dst__false,6,0.5857418111753372,7695.587999999989,2.7231380042462807,4.602624401913869,7.611397740826796e-05
NER,12B,ibo,dst__false,7,0.5443541965281096,4345.552999999956,1.2796092461719542,2.5427460503218002,0.00012526695601874262
NER,12B,ibo,dst__false,8,0.543661523779227,17748.07799999998,5.213888954171557,10.385066120538314,3.063213514044888e-05
NER,12B,kin,dst__false,1,0.6562685680332739,18551.966999999946,4.957767771245309,8.398355364418265,3.5374608419326954e-05
NER,12B,lug,dst__false,1,0.7642976788705431,4503.962000000291,2.0242525842697936,2.82026424546042,0.00016969452203870588
NER,12B,lug,dst__false,2,0.7776980138789183,23264.57899999991,10.455990561797712,14.316663999999944,3.342841552726664e-05
NER,12B,lug,dst__false,3,0.767123287671233,9367.25,4.2443362029904845,5.869204260651629,8.189418320971822e-05
NER,12B,lug,dst__false,4,0.7844080846968238,12308.87900000019,5.589863306085463,7.55145950920257,6.372701240273884e-05
NER,12B,lug,dst__false,5,0.8194615954556681,8663.879999999888,4.135503579952214,5.222350813743152,9.458367330291724e-05
NER,12B,lug,dst__false,6,0.8329374505146477,7177.699000000022,3.9115525885558706,4.548605196451218,0.00011604519087727768
NER,12B,lug,dst__false,7,0.7633221315410466,1790.3219999996945,0.8093679927665889,1.1259886792450908,0.0004263602477884854
NER,12B,lug,dst__false,8,0.7670837343599615,7255.981000000145,3.295177565849294,4.552058343789301,0.00010571743977278139
NER,12B,nya,dst__false,1,0.6877900464074252,7941.951000000001,2.427988688474473,3.6956496044671945,8.660215183994778e-05
NER,12B,nya,dst__false,2,0.7024358130348914,8187.96399999992,2.642983860555171,3.8369090909090535,8.578882528488135e-05
NER,12B,nya,dst__false,3,0.6869495596477181,7939.119999999995,2.430094888276705,3.701221445221443,8.652716669451004e-05
NER,12B,nya,dst__false,4,0.7015810276679842,8214.904000000097,2.6551079508726882,3.8567624413145993,8.54034359583479e-05
NER,12B,nya,dst__false,5,0.7176428054953002,8027.657999999938,3.14317071260765,4.044160201511303,8.93962853792857e-05
NER,12B,nya,dst__false,6,0.7292302171182486,7953.570999999996,3.0649599229287077,3.9141589566929116,9.16858876494909e-05
NER,12B,nya,dst__false,7,0.6868492711837259,8108.410999999964,2.483433690658488,3.7819081156716248,8.470824569496156e-05
NER,12B,nya,dst__false,8,0.688813994543412,3586.871000000043,1.1026347986474156,1.6714217148182866,0.0001920375710594007
NER,12B,pcm,dst__false,1,0.6282362459546925,6557.074000000008,2.1952038834951484,4.2221983258209965,9.581045538828626e-05
NER,12B,pcm,dst__false,2,0.6276484161946717,4104.959000000003,1.4608395017793603,2.7439565508021406,0.00015290004509050428
NER,12B,pcm,dst__false,3,0.6267392619479734,3600.826000000001,1.1994756828780815,2.3171338481338486,0.0001740543036369914
NER,12B,pcm,dst__false,4,0.6343906510851418,3389.7949999999983,1.1956948853615514,2.230128289473683,0.00018714720243706245
