task,model,language,param_changed,param_value,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,12B,ewe,batch_size,128,1,0.6933598607311614,46727.00499999989,23.212620466964673,33.520089670014265,1.4838525617705716e-05
NER,12B,ewe,batch_size,128,2,0.718324078748107,5846.673999999883,2.9921566018423147,4.108695713281716,0.00012286029266350774
NER,12B,ewe,batch_size,128,3,0.634192480491842,14520.499000000069,6.537820351193187,10.828112602535475,4.367566710288943e-05
NER,12B,ewe,batch_size,128,4,0.6721230158730158,20600.263999999966,10.177996047430813,15.20314686346861,3.2626912736313324e-05
NER,12B,hau,batch_size,128,1,0.6446186742694227,15948.286000013351,4.353886431890077,7.053642636007674,4.041930739572158e-05
NER,12B,hau,batch_size,128,2,0.6809744779582367,12586.59500002861,3.5515222912044613,5.36056005111951,5.410315323220369e-05
NER,12B,hau,batch_size,128,3,0.6190410770710262,15498.050000071526,3.9465367965550104,6.878850421691756,3.9943159111512045e-05
NER,12B,hau,batch_size,128,4,0.6724978491540006,11871.559000015259,3.2776253451174098,5.0624985074691935,5.664781257062667e-05
NER,12B,hau,batch_size,128,5,0.6937518333822236,11837.293999910355,3.4152608193624796,5.005198308630171,5.860729938679207e-05
NER,12B,hau,batch_size,128,6,0.6881010477967561,12023.37199997902,3.325967358223795,5.016008343754284,5.723028845800968e-05
NER,12B,hau,batch_size,128,7,0.6385663082437277,10406.294000029564,2.8722865029063107,4.6727858105206845,6.13634698617888e-05
NER,12B,hau,batch_size,128,8,0.4966317365269461,23957.12200009823,12.026667670732042,18.053596081460608,2.0730024938926714e-05
NER,12B,ibo,batch_size,128,1,0.41229068444155426,29737.391999999993,9.099569155446755,23.452201892744473,1.3864386104926564e-05
NER,12B,ibo,batch_size,128,2,0.45656903765690376,19787.316999999923,6.399520375161683,14.506830645161234,2.3073822371011974e-05
NER,12B,ibo,batch_size,128,3,0.40697674418604646,23214.580000000075,6.354935669312914,17.454571428571484,1.7531083663199814e-05
NER,12B,ibo,batch_size,128,4,0.448557612139403,20002.23199999996,6.423324341682711,14.871547955390305,2.242537793479267e-05
NER,12B,ibo,batch_size,128,5,0.5386124487248083,19219.279000000097,7.05553560939798,12.72799933774841,2.8024591803095507e-05
NER,12B,ibo,batch_size,128,6,0.4980505170367859,19896.53999999992,6.596996021220133,13.544275017018325,2.5032016473054505e-05
NER,12B,ibo,batch_size,128,7,0.4240143955504662,18590.013000000035,5.75542198142416,14.34414583333336,2.280871969000051e-05
NER,12B,ibo,batch_size,128,8,0.25956907477820024,21899.841000000015,20.621319209039562,42.77312695312503,1.1852555220752518e-05
NER,12B,kin,batch_size,128,1,0.6506683846029956,41876.68900000001,13.009223050636848,20.73103415841585,1.553772277944408e-05
NER,12B,kin,batch_size,128,2,0.662731595343499,23223.14399999997,7.469650691540679,11.490917367639767,2.8537548376029527e-05
NER,12B,kin,batch_size,128,3,0.5988903883640726,33749.60599999991,9.173581407991279,16.900153229844722,1.7745107553672603e-05
NER,12B,kin,batch_size,128,4,0.6356835906414132,17994.831000000006,5.464570604312179,9.010931897846772,3.532589945642796e-05
NER,12B,kin,batch_size,128,5,0.589464123524069,16945.66399999999,4.68630088495575,8.703474062660499,3.478554298751995e-05
NER,12B,kin,batch_size,128,6,0.6177570093457944,25266.158000000054,7.36622682215745,12.741380736258222,2.4449978083165355e-05
NER,12B,kin,batch_size,128,7,0.6142009937489983,28523.090000000084,8.779036626654381,14.886790187891485,2.153346617596468e-05
NER,12B,kin,batch_size,128,8,0.35377900298644616,38630.16500000004,28.34201393983862,50.169045454545504,9.158102301308986e-06
NER,12B,lug,batch_size,128,1,0.7319028531006838,14935.4169999999,6.530571491036248,9.623335695876223,4.900451410902613e-05
NER,12B,lug,batch_size,128,2,0.7452274334197502,10346.291000000085,4.520004805591999,6.544143580012704,7.202846251084026e-05
NER,12B,lug,batch_size,128,3,0.6743772241992884,13649.815999999992,5.369715184893781,9.003836411609491,4.940559082989022e-05
NER,12B,lug,batch_size,128,4,0.7286420334196282,9786.990999999922,4.264484095860532,6.322345607235092,7.445005655156258e-05
NER,12B,lug,batch_size,128,5,0.754315441002601,10314.92799999984,4.534034285714215,6.467039498432501,7.312852217704406e-05
NER,12B,lug,batch_size,128,6,0.7953419226957382,8704.094000000041,4.180640730067263,5.423111526479777,9.137561275139429e-05
NER,12B,lug,batch_size,128,7,0.7078624669391681,10221.806000000099,4.635739682539727,6.944161684782676,6.925023493296207e-05
NER,12B,nya,batch_size,128,1,0.6471509079524109,21815.061,6.397378592375367,10.553972423802612,2.9665326535296457e-05
NER,12B,nya,batch_size,128,2,0.6785946649316851,16616.513000000006,5.241802208201895,7.965730105465008,4.083857214396816e-05
NER,12B,nya,batch_size,128,3,0.6282722513089004,19885.657999999996,5.101502821959978,9.206323148148146,3.1594239994919984e-05
NER,12B,nya,batch_size,128,4,0.7126816380449141,10266.307,3.335382391163093,4.75732483781279,6.941947460220253e-05
NER,12B,nya,batch_size,128,5,0.7391598915989159,20432.951,6.9832368421052635,9.364322181484876,3.6174896694996036e-05
NER,12B,nya,batch_size,128,6,0.7368245496997999,15453.011999999988,5.120282306163018,6.995478497057487,4.768161376564002e-05
NER,12B,nya,batch_size,128,7,0.6121363778542384,25023.619000000006,7.325415398126466,12.786724067450182,2.4462344069985967e-05
NER,12B,nya,batch_size,128,8,0.3676718938480097,42902.16200000001,36.762778063410465,56.30204986876642,8.570008519570868e-06
NER,12B,pcm,batch_size,128,1,0.6297608503100088,36742.556000000004,14.358169597499025,25.83864697609002,1.7139821473226e-05
NER,12B,pcm,batch_size,128,2,0.6478616924476797,23377.069999999992,9.584694546945466,16.41648174157303,2.771355402741575e-05
NER,12B,pcm,batch_size,128,3,0.5946055566822145,25001.32100000001,8.406631136516479,17.054107094133705,2.3782965575387567e-05
NER,12B,pcm,batch_size,128,4,0.6428412874583795,26444.93299999999,10.378702119309258,18.26307527624309,2.4308675217985228e-05
NER,12B,pcm,batch_size,128,5,0.6492101276779918,27987.282999999996,10.50573686186186,18.658188666666664,2.319661139232386e-05
NER,12B,pcm,batch_size,128,6,0.7196457702167326,30232.427000000025,12.953053556126832,19.580587435233177,2.3803771037526427e-05
NER,12B,pcm,batch_size,128,7,0.6419973250111458,34135.011,13.497434163701067,23.704868749999996,1.8807590980742494e-05
NER,12B,pcm,batch_size,128,8,0.49793322734499207,40406.23700000002,34.011984006734025,51.60438952745852,1.2323177418005834e-05
NER,12B,swa,batch_size,128,1,0.6385177716158306,17288.3449999094,4.114313422158354,6.825244769012792,3.693342373831484e-05
NER,12B,swa,batch_size,128,2,0.6452033368091763,13774.78100001812,3.496137309649269,5.565568080815402,4.6839462406576743e-05
NER,12B,swa,batch_size,128,3,0.5797277588721439,16501.009000062943,3.6701532473449605,6.918662054533729,3.5132867261022195e-05
NER,12B,swa,batch_size,128,4,0.621728584195072,13073.863999962807,3.1879697634632547,5.369143326473432,4.7555075086970524e-05
NER,12B,swa,batch_size,128,5,0.6097406704617331,13279.013000011444,3.1821262880449184,5.509963900419687,4.591761981566006e-05
NER,12B,swa,batch_size,128,6,0.629867674858223,13107.495000004768,3.1186045681667305,5.245096038417274,4.8054008401910045e-05
NER,12B,swa,batch_size,128,7,0.6110542476970318,13015.055999994278,3.1868403525940936,5.4501909547714735,4.694979781088152e-05
NER,12B,swa,batch_size,128,8,0.4699672369858027,26949.65600001812,15.294923950067037,20.87502401240753,1.7438710052012787e-05
NER,12B,tsn,batch_size,128,1,0.6499007279947054,17993.860999999975,10.615847197640104,18.323687372708733,3.611791421500401e-05
NER,12B,tsn,batch_size,128,2,0.6875631951466128,11609.340000000026,7.078865853658552,11.381705882352966,5.9225002898236355e-05
NER,12B,tsn,batch_size,128,3,0.607771706132362,14052.399999999965,7.144077275038112,14.038361638361604,4.325038471238817e-05
NER,12B,tsn,batch_size,128,4,0.6845901639344262,8685.39499999996,5.040856065002879,8.319343869731762,7.882084394946105e-05
NER,12B,tsn,batch_size,128,5,0.6517829457364341,9685.076000000001,5.102779768177029,9.215105613701239,6.729765938196396e-05
NER,12B,tsn,batch_size,128,6,0.6603595080416272,8214.55899999995,4.454749999999973,7.845806112702913,8.038891777898622e-05
NER,12B,tsn,batch_size,128,7,0.6021220159151194,7594.755999999994,4.49659917110716,8.364268722466955,7.92812851282016e-05
NER,12B,tsn,batch_size,128,8,0.4648401826484019,21762.178000000014,25.216892236384723,42.75477013752459,2.136000278319576e-05
NER,12B,twi,batch_size,128,1,0.5407454200884396,14281.665999999736,15.049173867228383,33.36837850467228,3.786290899734314e-05
NER,12B,twi,batch_size,128,2,0.55875,12308.85300000012,12.7420838509318,27.536583892617717,4.539415654732367e-05
NER,12B,twi,batch_size,128,3,0.45408450704225356,13446.859000000171,11.78515249780909,33.36689578163814,3.376881597719198e-05
NER,12B,twi,batch_size,128,4,0.5837018319646242,9443.949000000022,9.95147418335092,20.4414480519481,6.18069657051963e-05
NER,12B,twi,batch_size,128,5,0.6077127659574467,9010.776999999769,10.35721494252847,19.7172363238507,6.744288155810119e-05
NER,12B,twi,batch_size,128,6,0.6088631984585742,16270.722000000067,17.628084507042328,34.32641772151913,3.742078553481349e-05
NER,12B,twi,batch_size,128,7,0.4902576995600252,8723.245000000112,9.115198537095205,22.36729487179516,5.620129889278805e-05
NER,12B,twi,batch_size,128,8,0.33421750663129973,25676.220999999903,51.66241649899377,135.85302116402065,1.3016615904314775e-05
NER,12B,wol,batch_size,128,1,0.4978301301921885,14333.391999999993,7.656726495726492,17.849803237858023,3.473219250489966e-05
NER,12B,wol,batch_size,128,2,0.5678294573643412,11268.69200000004,6.468824339839288,12.819899886234401,5.0390005988657714e-05
NER,12B,wol,batch_size,128,3,0.3822685788787484,13445.449000000022,5.41936678758566,18.343040927694435,2.8431075740107135e-05
NER,12B,wol,batch_size,128,4,0.5836253583943931,6777.888000000035,3.7971361344538015,7.399441048034974,8.610725913358115e-05
NER,12B,wol,batch_size,128,5,0.5961917268548917,12596.945999999996,7.445003546099288,13.873288546255502,4.7328275191057575e-05
NER,12B,wol,batch_size,128,6,0.6186612576064908,6891.798999999999,4.296632793017456,7.532020765027322,8.976774534580752e-05
NER,12B,wol,batch_size,128,7,0.4448305821025196,12004.882999999973,5.719334444973784,15.631358072916631,3.705413722920253e-05
NER,12B,xho,batch_size,128,1,0.4034242910647405,17866.206000000006,15.0769670886076,23.69523342175067,2.258029998449253e-05
NER,12B,xho,batch_size,128,2,0.5395220588235294,15390.54700000002,8.555056698165659,13.109494889267479,3.50554180318301e-05
NER,12B,xho,batch_size,128,3,0.45139876718824085,22000.969999999972,13.213795795795779,23.11026260504199,2.051722115835081e-05
NER,12B,xho,batch_size,128,4,0.5578231292517006,15847.589999999967,8.533974151857818,12.884219512195095,3.519924034201426e-05
NER,12B,xho,batch_size,128,5,0.535838552540014,14814.608999999939,8.426967576791775,12.826501298701245,3.616960478268554e-05
NER,12B,xho,batch_size,128,6,0.5256157635467981,12997.011000000057,8.624426675514304,12.18089128397381,4.044128019486909e-05
NER,12B,xho,batch_size,128,7,0.5003723008190618,7809.975999999908,5.291311653116469,7.747992063491971,6.406835319584435e-05
NER,12B,xho,batch_size,128,8,0.2967164179104478,32171.677000000025,40.36596863237143,64.73174446680086,9.222908022806755e-06
NER,12B,yor,batch_size,128,1,0.45000000000000007,23748.825000047684,10.683232118779884,26.926105442230934,1.894830586351521e-05
NER,12B,yor,batch_size,128,2,0.49281532730175626,17568.524000048637,8.524271712784394,18.972488121002847,2.8051037599993712e-05
NER,12B,yor,batch_size,128,3,0.4318026045236463,20910.225000023842,7.802322761202926,22.12722222224745,2.0650308857181306e-05
NER,12B,yor,batch_size,128,4,0.48804573804573803,16592.105000019073,7.713670385875906,17.669973375952157,2.9414335194068323e-05
NER,12B,yor,batch_size,128,5,0.5738022708391027,15492.639999985695,8.094378265405274,14.954285714271906,3.703708798756265e-05
NER,12B,yor,batch_size,128,6,0.6100193744810406,16281.047999978065,8.497415448840327,14.774090744081729,3.746806559883998e-05
NER,12B,yor,batch_size,128,7,0.45883252612796327,17346.12099993229,7.7925071877503544,19.273467777702542,2.645159261426542e-05
NER,12B,yor,batch_size,128,8,0.22799188640973633,29447.554999947548,38.34317057284837,104.79556939483113,7.742302761982868e-06
NER,12B,zul,batch_size,128,1,0.4550016728002676,18773.794000000053,13.496616822429944,27.608520588235372,2.4236000075438472e-05
NER,12B,zul,batch_size,128,2,0.4745547073791349,11509.579000000027,7.444747089262631,15.42839008042899,4.123128286266021e-05
NER,12B,zul,batch_size,128,3,0.4135046310128473,16849.09700000001,9.633560320182967,24.348406069364174,2.4541649384109255e-05
NER,12B,zul,batch_size,128,4,0.45998160073597055,14255.360999999975,8.572075165363785,19.00714799999997,3.22672712908478e-05
